这是哪啊？剪个头138？
啊啊啊啊啊
这些男的怎么不纹，为什么让女孩纹，纹上这个她一辈子跟面的世界无缘了真是糟粕
人品不好怪不得火不了
养这种还不如养个叉烧
法律规定不能堕胎
看着也不像那个样
这是中国人吗？看着不太像
可怜天下父母心
道德绑架
我还以为她是很有智慧的女性
没礼貌当个性
太可怕了
舔着个bilan，傻叉
很勇敢也有好的家人
这位女士太勇敢了，如果她不站出来以后肯定还会有别的受害者，老变态那么大岁数了，看着是老手，说不定以前就有受害者退缩了
保护自己的磁场
真羡慕这样的人生
这男的满眼小心思
8000万降到5000万，这幅度还不大啊？
继承你家的锅碗瓢盆
不愿意养，生了干嘛
风水微信头像
男的长这样照样找富婆，真不公平
自己的人生自己过
骂成这样又不离，不明白是为什么
这种人都能有老婆
太阳底下无新鲜事
真是疯子
有种怪异的畸形感，跟之前看的金三角毒贩电影里的小孩子一个感觉
很好奇，她真的是这么认为的吗？很有意思
看着她这张脸，说服力很强👍
长长脑子吧
真抗造啊
感觉她心如死灰了，心如槁木了，活的很不快乐
//@孙菲菲:我的经验告诉大家：女孩子千万不要未婚先孕，因为这是对方拿捏你的把柄，他知道怀有身孕的你进退两难——打掉孩子是对女方精神和肉体上的双重损伤，他料定你不会这样决绝，因此这是最好拿捏女方的时机。我怀孕前三个月孩子爸爸没有给我买过一粒葡萄干。因为他知道你跑不掉了。女孩子们切记！ ...展开
这人脑子不清楚，还欺软怕硬，典型什么都想捞最后却什么都捞不着的人
谁说外国人都AA的来着
心理上离婚了
人品可真是
//@吃百家饭的小萌子:你报警吧，我说真的你要是个人你就报警让警察把他抓了呗，大家就都老实了。这么多年你污蔑他给他泼脏水不说，现在还要拉着他家人出来垫背，你疯没疯不知道，但是你这做法真的挺缺德的。在微博升堂勒索上瘾了是吧，你就这么缺钱吗？
像无骨鸡一样巴在男的身上
视频都拍出来了，屎盆子直接扣脸上了，看怎么应对吧
神神叨叨的
坏种
笑得开心
好夸张
发疯失败
脑残也能当明星了？？
男人就像食堂里的饭菜，虽然难吃，但是你去晚了，就没了
这样的是得上新闻，因为十万个里面也不会有一个的
到底凭什么？
生4个？
牛
胆子是真大
越是这样越要挣扎着活出来
费那么大劲真不值得
太缺德了
男的还在PUA，不断贬低，那么看不上人家，人家要离婚，干嘛不同意呢？
唉
一天8趟真折腾人啊
打击范围全球
了解饥饿才能减肥
自找麻烦
好歹想点办法啊，俩伥鬼
太扎心了…一般也就只有妈妈不会放弃…唉
哇哦
坚持400天
//@张歆艺:抱抱这个女生，你要好好的，有人陪你吗？天亮以后走出门去，散散步，晒晒太阳，陪你在公园的树影下坐坐，允许自己无所事事一整天，也可以更多时间，抱紧自己，不要着急，慢慢走，慢慢走，走出来，你需要有人在身边。太心疼，你们有谁是她的朋友吗？陪陪她，家人们她需要陪伴。。。
晒黑了吧
女人啊
如果真是事实，也算是报应吧
这种是真的吗？
对环境已经麻木了
跑酷
这是什么恶霸啊啊啊
冤有头债有主，谁妈不易谁弥补
这男的活该
没有富贵命非要有富贵病，脑残
做一行爱一行
15年，天呐
女的家人也是拎不清，闺女都叫打死了，这老毕登帮着毁灭证据，竟然还跟她面对面唠开了
没有心力了，孩子心里太苦了
这有什么好哭的，他自己决定自己承担后果就行了
真狠
如果不是摆拍的话，这个小孩真的很棒很豁达
鼻歪嘴斜，一脸衰样
太惨了
这谁啊
上嫁吞针
我的个天，装给谁看呢？？一天逛吃逛吃折磨谁呢？？
神经病长的又丑，又懦弱，又穷，还摊上个孤拐婆婆，上赶着要嫁，脑子有病
#中国中铁回应尖扎黄河特大桥事故# ​​​
这哪是嫁人，这是赴死啊
我的天呐
这是谁啊那么有才
平行世界的王者
还真有脑残去买
那么有钱还长这样子，就是反噬，太贪婪了
就算是神做了妈妈都要被扒一层皮
