真希望睡一晚 醒来变成sql大神 ​​​
为什么不下班 ​​​
 ​​​
小狗狗的生活太令🧱羡慕了 ​​​
"Plus one plus one, give me another one  ​​​"
一分钟都不想和不喜欢的人呆在一起 ​​​
run run run ​​​
飞去有海的地方  ​​​
对自己今天的手艺 很满意远离工作 满血复活 ​​​
Why is working is so disturbing ​​​
