置顶 ​​​
我是被你遗忘的精彩 ​​​
…要不是因为怄气我已经买好机票买好门票擦我的大炮了 朋友在等定酒店我直接说这次绝对不会去的 因为的确是在生气不想见她 只能说少管别人钱包真的…想见她没有错… ​​​
不是我真的想缺德…不会有一天真和捞月一样设置屏蔽词吧😂 ​​​
🚬 ​​​
on fire
乖女儿
深爱妹放过move on吧我耳朵都要起茧子了 ​​​
나의 어깨에 기대어요
yysy我不明白…以前下黑水自导自演的不报警就算了 现在真的收到了sw威胁之后却不报警？我不能理解逻辑真的…还开新闻发布会把艺人推出来是在?…甚至在小孩说自己受到了这个威胁之后两个烂人还笑的开心我不懂哈…粉丝平时在推特上说一点你九星不行你就律师函 都要告150个人的程度了不知道给自家艺人安全 ​​​ ...展开
有时候我真觉得是场梦 不仅她们连粉丝和她们都这么有缘分
那谁俩
分享图片 ​​​
😢卧槽尼玛我不是野孩子
11
怎么了
有点艺术了哈。 ​​​
 ​​​
我很想你们…
好美的评论区
😂 ​​​
让让 四代美帝袭来👊🏻
cnm ​​​
🙌🏻 ​​​
们cpf也好虚伪 嘴巴上说着不想看她们合体 随缘了 实际想得很吧 为什么不能坦诚一点…说自己move on不了很难吗 说fayo就不应该是这样的结局很难吗 说实话你们真的不受伤吗😂 ​​​
你们都在感谢自己的粉丝 那我们呢cpf呢…我们的爱呢…你们对我们的爱呢…babebie你们还记得吗?…你们取的名字啊…我甚至都在怪自己是不是不该手贱看你们的剧…我甚至宁愿我们从来没遇到过…会不会就不是这么痛 ​​​
其实大家都说要向前看 我不行 我做不到像你们开始释怀开始move on了 我不是听不进看不进 从始至终我才是你们这场爱情游戏里的输家 我不想再让自己这么难受我也做不到 我就这么折磨自己…直到我真的意识到我需要走出来了…我现在不想梦醒 ​​​
。。
 ​​​
小粗眉毛乱糟糟的萌狗一只૮・ᴥ - ა ​​​
只有我能骂她你懂吗 你们这群早就跑路了的凭什么骂她呢 现在知道站出来心疼女儿了 之前为什么在她们这么需要你们的时候走了 你的目的不就是想怪她没有坚定守护她吗？ ​​​
你们复婚我钱包都是你们的我就一句话 我可以等 你们长嘴说开行吗 别不要我 ​​​
看到你们这张照片就想哭… ​​​
朋友都说最起码爱过 已经超越了大部分人了 但我不接受 我为什么要接受…2.1号还好好的你跟我说要我接受????你到底怎么想的?因为她没跟你走就闹脾气生气?你问过她吗长过嘴吗?move on?我允许了? ​​​
#Irene0329生日快乐#💝
宝贝你真的很棒 妈妈没有不相信你的话 你的痛苦我真的能理解…但你请对自己一定要有信心 你真的很棒 妈妈300天看着你成长我很欣慰很骄傲 你不用担心出去这个破公司之后会没有戏拍了没有代言了根本不是这样的…做妈妈的小孩吧 不用这么坚强的 ​​​
到底谁他妈的能把她俩绑一起说开啊 我要是你我今天立马去找她 你能不能长嘴长嘴长嘴？？？说了理解尊重 你们到底有没有真正的敞开心扉谈过？？？就一味的理解理解理解…这么爱到底在理解了个什么几把东西？ ​​​
你问问你自己记不记得… ​​​
就这么逼着她在全世界面前说自己的感情问题 她以后怎么办 她最喜欢演戏啊她只想当演员啊… 你他妈的到底为什么要这么对她？@9starstudiosth 是我女儿你不心疼我心疼啊 ​​​
我是不是活在只有空白的世界里太久了…导致我对你的滤镜也是大N了…你是这样的人吗…你会是吗？你会利用我们吗？你的小狗你都不需要了吗？ ​​​
你之前谈了几个月的恋爱都像只落水小狗一样去祖蓝姐节目上哭 这次你就这么抽离了？？？ ​​​
到底谁在撒谎 ​​​
公司的确该死 我会一直等着公司倒闭的那天 因为公司你们的事业本来就能再上一个高度 这是我追星途中一辈子的意难平…但我不相信…2.1我们不还是很幸福吗…2月份半个多月来你到底怎么了？？？ ​​​
为什么我只骂你 我就是要马后炮 我他妈当你梦女300天我会不知道你?直播那天后半夜破防也是因为你 统统都是因为你…怎么可以… ​​​
