//@野利娘烈:心中默念虎不吃素虎不吃素虎不吃素虎不吃素虎不吃素虎不吃素虎不吃素虎不吃素虎不吃素虎不吃素虎不吃素
//@茨威格死于昨日世界:罗琳写得非常准确。观点的变迁完全没有问题，但起码自己要知道这到底是真实的，还是你只是在跟随浪潮——用罗琳的话说，fashionable。
Who are you to judge? ​​​
确实伤害了零个人，但“无奈这是一个拜高踩低的世界”
//@就爱吃果子O:“虚荣是上层对底层最大的谎言，所有人都配得好的东西。”特别对啊，这个许我耀眼才是我们大女人该看的
这段看得我在电影院流泪
看到许我耀眼播得这么好替露思开心 这可能就是剧花吧 一播剧就能让人忘记之前关于她的所有争议露思在我还分不清浓颜淡颜颅骨面中这些概念的高中时代 就是我心里最漂亮的女演员了（素的 可能因为我比较吃淡颜系）看到她后来被列为四大真的在怀疑到底是我有问题还是这个世界有问题…这部剧播了以后 ​​​ ...展开
从18年哦皇到现在 是露思的剧都会尝尝咸淡 替她开心 余生请多拍戏
要看 爱看 看一辈子
想到我在日记本写下的“告别虚假的伊甸园，不再装饰，而是成为”，许妍，希望我们都。好久没实时追露思的剧了，上一部还是她跟王安宇的那个仙侠，有点老套但还是看完了。这部感觉大事很妙！如果生活是一场被精心设计的谋划，是顺从还是绝地反击？ ​​​
素、//@入洛称仙舟:谁做1的区别
最爱二代的时期就是上火 后来怼脸麦麸浓度过高直接下楼 我说练习室和舞台就是养成系最动人的//@-初童-:就这样集训考核集训考核集训继续 无谓的刻意卖腐策划我们再也不要见面了
经历了看re被suffer惊艳到幻梦都破碎到官抖感觉我又要上楼了……怎么想都是sdfj的错！ ​​​
“童年的纸飞机，现在终于飞回我手里。”
我的天 才知道折月亮影视化女主是卢昱晓 竹已三部曲女主选角都素我的取向狙击 嗯嗯剧是不会看的 剧照是存了1GB的 ​​​
一直都！
火海浮槎，水魄自醒。
素的 触发被动技能一样…
咋说呢 感觉成员这两年都在卷外貌…
开启美好一天
好想这样活一次//@黄腿肠:我每次回老家就是这个精神状态//@百变女孩韩小红:我态度: //@堪破三春景不长:我不行了//@旧厂街清纯女神:我今天就这样//@枝钕釹籹nv:我//@头七还魂夜生吃大学同学头盖骨:笑死我了
我曾以看起来「不争不抢」、「人淡如菊与世无争」为荣，但我同时又十分欣赏有野心家特质的人，实在是拧巴得不行。人还是得知行合一。
VOGUE她的回答看得我想去搓澡了//@丝绸尾巴第二季:辛芷蕾的气质可以用两句话形容：职业演员和非职业女明星，并且这两种气质的反差非常大。这样一张浓到有点庄严的脸，现实中却很少表现出一种明星姿态的自律克己。所以看她拿奖你会产生某种“拨乱反正”的观感
去年奥运女乒决赛后就取关了一部分自我标榜爱女但捧一踩一的kol，再到如今张昊玥被霸凌那些“爱女”kol无人发声的局面，有一个算一个的没取关错。“不参与任何一场对女性的围剿”只是她们吃爱女流量维护自身利益的虚伪假面。
#张昊玥 被她改变的我的人生#痛苦是主观的、不可比较的，没人有资格去评价别人“就这点事儿至于吗？” ​​​
最好的报复是美丽，最美的盛开是反击，你的世界在未来无限的天空里，不在过去的泥潭里，而有的人永远会被困在嫉妒和狭隘里//@依古比古不知道:现实生活中经历过群体性霸凌，直接创伤后应激反应了了 特别特别特别理解你公开羞辱弱者带来的权力快感让ta们欲罢不能…或许，没有权力，就 ...展开
现实生活中经历过群体性霸凌，直接创伤后应激反应了了 特别特别特别理解你公开羞辱弱者带来的权力快感让ta们欲罢不能…或许，没有权力，就没有公平。想跟你说，那时的你已经做得足够好了，不是你的错。
不知道咋说 我喜欢过的艺人都是她对家 比如那个婧1再比如那个肉丝//@·啵啵雪公主·:终于等到她翻车了 大快人心//@ll人间正好:果然第一眼不喜欢的人是有原因的
诚心祝福你 捱到新天地
哈哈哈哈哈//@翹首以盼的肥貓:术业有专攻//@端木磕点甜的:哈哈拖轮胎拖木头//@喀喀喀客喀秋莎:大学毕业都有年头了又做上高考真题了这是//@可能会拖到夏天:好嘴//@凡请上座:救命🆘//@肆邑_:地狱笑话
哈哈哈哈太好笑了
#王鹤棣把虞书欣大粉告了#什么程度的发言会被告呀 ​​​
看到现在雁回时最戳我的点 这个庄寒雁宝宝抢走柴婧的鞋之后还扔回去一只 一人一只吗心软软 ​​​
#禹宙中欣昀牵孟绕cp站发声明#昀牵孟绕女的美鼠男的也还行 我是真能磕到 ​​​
#赵露思最基本的尊重不过就是允许万物如其是# 天老爷我不会再为你说话了 红薯上发布了几乎一模一样内容的帖子被举报违规了 然后再发帖就不给推流了…还我红薯使用体验 ​​​
#赵露思最基本的尊重不过就是允许万物如其是#额滴神啊 露思你怎么了…真的蛮喜欢陈芊芊程少商和桑稚的…可能我喜欢上的不是你 是原作者和编剧赋予那些角色的灵魂 ​​​
白露霜降好贴啊
暖暖的
陈都灵的形象好贴剧里庄寒雁的人设 刻意扮弱的清白面孔 站在那里就对味了 ​​​
看到一些花粉自我高潮所有合作的男艺人都爱你女就觉得好笑 也不知道是通过男的赋魅赋到厌倦还是代入了自己 ​​​
分享图片 ​​​
最好的报复是美丽 最美的盛开是反击
#似锦#女主哥和女主爹的一言一行宛若智障是认真的吗 真的很没脑子啊 戏份那么重也不请平头整脸些的演员来演 女主是基因突变了吗又聪明又漂亮 ​​​
#电视剧爱你# 把张凌赫大帅哥拍得跟没见过女患者一样 #滤镜# 李兰迪演的女主人设其貌不扬真的一点都说服不了我，滤镜变身之后的苏渺跟女主苏橙橙只能说美得各有千秋，完全没有剧里渲染的天差地别那么夸张。还有男主檀健次真的不够高也不够帅，说女主因为脸暗恋他一个学生时代，主创团队不觉得牵强嘛… ​​​
看了几个难哄预告 白敬亭甚至不如马伯骞桑延… ​​​
刷到宁宁被金冬天霸麦本来很气 看到这个视频瞬间就心软软 我要爱上这个柳智敏了 ​​​
开眼了
能不能封了这个超雄男
#五福临门#五娘这对出乎意料的好看 饰演五娘的演员好灵 还有就是我们康宁柴安能否再来点戏份 ​​​
真正的艺术//@青梅脆啵啵:真正需要大套转的东西在这儿好吗//@春梦四重:哇好塞雷//@想到这春日短绝一幕:我们的大导演正在后台举着身份证删帖让我们把他请出来好吗//@浪味地三鲜:6
#邓为第一部男主口碑#去年因为涂山璟后期人设崩掉就没再追长相思了 抱着审判的心态点开仙台有树 一口气追平 只能说脸在江山在 ​​​
//@Sleepy_oung:真的，就算他这些情绪都是真的也没有任何意义和价值，反复横跳内核不稳没有能力搞定亲妈也没有能力经营家庭和事业，只顾自己发泄给别人添麻烦然后再等着别人来擦屁股收拾烂摊子，大s真的白白付出这么多年//@Ztaataa:对，汪不是单纯意义的坏，而是幼稚和弱。内核不稳，上蹿下跳， ...展开
才知道五福临门的片头曲竟然是吴宣仪唱的 也太好听了 每次都不跳片头 ​​​
从来都以最大的恶意揣测顺直男 出轨家暴就是不可原谅 ​​​
前两天看到有博主发虞书欣旧照，有网友评论普，然后评论区🐟丝对网友各种人身攻击，我评论了几句真美女的明星被说普粉丝不会跳脚，一直被追鲨到现在…突然想到沈月说的那句话，我觉得我很普通，但普通并不是个贬义词。 ​​​
网盘给我推送了22年夏天的照片 真希望速速瘦下来 ​​​
晚安
天呢//@我就是李清华:求辟谣🙏🏻//@北极星Polaris_D:假的吧……//@老魚u:？快出来辟谣吧。。//@橄榄不菜:别吧 快出来辟谣..//@金瓜刘亮:？？？//@爱踢答人:我是还没睡醒是不是//@伤心人类回收站:？？？？//@请你吃垃圾:啊？//@老透明儿:？//@DustSettles_:啊？？？？？//@豆你玩:卧槽求是假的// ...展开
五福临门是什么大乱炖的剧情 看得小女子好累… btw康宁柴安的戏份摩多摩多 ​​​
才知道逐玉的选角 速速拍完抬上来好吗 对我的眼睛很好 ​​​
deep seek说学法跟我的八字冲突😫😫😫 ​​​
let's 审判 ​​​
看了几部电影选座 肖战粉丝好努力在填场 天呢 ​​​
#赵露思长文谈抑郁症#感觉她的焦虑大于抑郁 抑郁症的人一般没有这么强烈的表达欲望 ​​​
新年快乐 ​​​
莫文蔚毛不易这首歌好好听 ​​​
好无聊 我要去看五福临门了 ​​​
#赵露思康复过程公开#其实没必要自证的 露思快快好起来 ​​​
好欢螺螺蛳粉加辣加臭➕椰子水➕五福临门＝幸福 ​​​
#五福临门#卢昱晓你美 ​​​
#五福临门开播#片头曲好抓人 ​​​
#杨紫娜扎撞高定了#看了一圈 感觉大家心里明镜一样 ​​​
为了戒色 违心地把张凌赫的推送点了不感兴趣 ​​​
啊啊啊啊啊//@自闭但爱女人:有钱人炫富被当猴子了 这还不好笑吗
自己不是那样子，就不要寄希望于世界会先是那样子。 ​​​
等春天
已经不想再看到李明德这三个字了 ​​​
想暴食来着 结果点了这些 ​​​
爱男的嘴脸看得我反胃//@逆向阿格隆:赵露思那种程度了都没见这么多人共情心疼
天呢露思…
刚刚吃了我妈买回来的烤面筋和鱼豆腐，陷入明天不掉秤的数据焦虑。本来今天晚饭就多吃了几口，又和两个朋友约了饭…那就允许自己年底这几天再吃点，然后别说什么慢慢来比较快，就要吊着一口气，速战速决。 ​​​
我妹好像吃了那个炸药 ​​​
蒽
离职以后失去做饭动力 主打一个凑合吃吧 ​​​
好多年来第一个不在准备考试的跨年 虽然没办法出远门 但胜在会和好朋友在一起 ​​​
请千万次提醒自己 不要转移自己的人生课题 不要败给那些瞬间 ​​​
不管怎样 给自己一个交代 ​​​
求仁得仁
分享图片 ​​​
我的2024年度总结@怼怼模拟器 ​​​
我的2024年度总结@怼怼模拟器 ​​​
服了 被领导勒令去做头发 ​​​
上头快下头也快 ​​​
//@babykapy://@郭爹与郭爹在2065://@西湖阿拉蕾://@快乐玩家007:我需要听到这猪死的消息
口语竟然是最高的 谢谢白男考官T T ​​​
#打起精神的莎莎 努力睁眼的大头#我说 适可而止吧。。 ​​​
霏文仙品
转载了@吴艳妮Jennie 的微博图片渴爱鼠了 ​​​
//@仲夏夜最后的流萤://@赫海女孩绝不认输丶:“其实我每个比赛的亚军也都拿了，我觉得亚军对我来说也是一种财富” sys 别放弃
离了tzm谁还逗我笑//@林中鹿与折耳猫:先整顿王楚钦大粉造谣樊振东找人撅断他拍子
