生活就是在你万事都很顺的时候 一定要有点不顺的 ​​​
如果你觉得活着太难了你可以先瞎活一活你不做什么也不会死你就这样子自然地，胡乱的瞎活不必为一些事情上感到内疚把钱花在喜欢的东西上美美睡到自然醒离开一份正在消耗你的工作删除拉黑你不喜欢的人勇敢表达自己的观点拒绝任何人提出的无理要求不去参加你不感兴趣的聚会把自己当成一株植物 ​​​ ...展开
《三十岁一切刚刚开始》我想把孩子教育好，也想把父母照顾好，还想把婚姻经营好，我更想挣很多钱。我想什么都顾好，我却什么都没顾到。三十岁了，以前发个脾气，牛都拉不回来，如今生个气，转眼就觉得没必要了。生活嘛，就这样，对自己笑一笑就好了，凡事慢慢来，你又不差，到人间也 ​​​ ...展开
有3件事，千万别急着说出口：1. 《不成熟的观点，先别说。》在自己的思想尚未成熟，观点还没有成系统的时候，贸然说出口，容易留下漏洞和把柄，未来想要找补回来需要付出更多成本。尤其是没有成行的计划，尚未成功的经验，缺乏实战的总结，这些最好都等肚子里踏实有货了再讲。不然人家追问细节 ​​​ ...展开
职场上有一种非常有效、大家又心照不明的管理方法，叫做暧昧管理。就是一个领导，不管他是男性还是女性，在面对身为异性下属的你时，他会时常似有似无地给你制造一种他对你有意思的感觉，让你觉得自己似乎很有魅力，能被领导这样有能力的人欣赏。而他就是靠这么点男女之间的情愫，来调动起你对他的服从 ​​​ ...展开
1. 真正见不得你好的人，往往不是陌生人，而是你身边最熟悉的那些亲戚朋友，同学老乡。陌生人对你没啥感觉，甚至有点佩服你，但熟人不一样，你一旦变好了，距离感就出来了。你不再是他们眼里的同类，他们心里会很不舒服。更扎心的是，你越好，他们越容易自卑，自恋一受损，就开始扭曲，见不得你 ​​​ ...展开
当你明白了人性，你会发现只有自己才是最可靠的，一切你想依靠的都是虚无的。当你看透人性，方知自己才是那座山。朋友发来微信，长达60秒的语音里，满满都是对合作伙伴的失望。“我把他当兄弟，他却在背后这样对我？”我能理解他的感受。曾经，我也以为真心能换真心，后来才明白，人心隔肚皮，不 ​​​ ...展开
活得爽的人，绝不轻易原谅别人今天看到一篇爽文，是JK罗琳对艾玛沃森的回应。原文写得非常漂亮，建议大家一定要看全文欣赏下大作家的逻辑和文笔。这里摘取一小段：「最大讽刺在于，若非艾玛最近采访中突然宣称她爱我珍视我——我猜她改变策略是因为发现对我的全力谴责已不再时髦——我可能永远不会 ​​​ ...展开
人生变好的第一步：筛选你身边的人《不要低估环境对人的影响。一个人的性格、成就、人生轨迹，很大程度上会受到周围人的影响。》我们常听到一种说法是“某人的另一半很旺ta”。这并非迷信，从心理学的角度来看，和相互滋养的伴侣在一起，会让你的心情更加平和、愉悦，整个人的状态更乐观积极。另一 ​​​ ...展开
提前焦虑就是贷款吃屎睡眠，饮食，力训，有氧，就是一个中年妇女全部的自我修养。.............................................学习笔记：1，提前焦虑就是贷款吃屎。2，- 临时工拿日薪，每天都要求立刻兑现回报。- 普通牛马拿月薪，按月兑现回报。- 管理层拿年薪，按年兑现回报。- 老 ​​​ ...展开
你的精力是奢侈品Taylor swift 在播客里讲的一段话，成为了我的人生金句：《你应该把自己的精力当成奢侈品一样宝贵，并不是人人都负担得起，也不是人人都会真正投入在你身上，值得你为他们耗费精力。你把精力花在何处，便决定你会如何度过这一天。》当我们观察那些年纪轻轻便取得很大成就的人，会 ​​​ ...展开
先上车，再调整姿势《一个粗糙的开始，就是最好的开始。先上车，再调整姿势。》拖延症患者最大的问题，就是执行力不足。明明有想把事情做好的决心，也很好的能力，但却自己给自己设置了很多障碍：一定要等到完美的时机再行动，一定要等到准备万全再开始……在这犹豫和拖延的过程中，早已错失了最好 ​​​ ...展开
反复发生价值交换的关系，才是最舒服的关系想得到，先付出。Halo，我是茹雅学姐。很多认知层次低的人，都喜欢吹嘘自己朋友多，路子广。实际上，他们的通讯录，好多都是“僵尸关系”，加了一次就再无互动。最多有酒肉朋友，吃吃喝喝，看似亲密无间，全是无效社交。人一过了30岁，深谙人性的人 ​​​ ...展开
关系里高位者的关键素质：买单离场绝非逃避。Halo，我是茹雅。很多人都在问，为什么自己足够用心，付出那么多，却还是得不到想要的结果？刚开始的你侬我侬，满心满眼。随着时光流逝，却发现那个人，早已渐行渐远。也是不舍怀念过去，所以更加努力，但是消耗的，总是自己。《燃烧殆尽的，不 ​​​ ...展开
其实，没有人真的爱你尽早放弃“被爱”的执着。Halo，我是茹雅学姐。当你真正成熟，就会明白一个道理：《没有人会按照你的期待和想法，爱你。》换句话说，真正能给予真爱的对象，也只能是自己。这并非是对人性绝望，而是清醒。这世上所有的关系，其实都和价值挂钩。说白了，从世界政治到男 ​​​ ...展开
读懂了权力本质，也就看透了男人权力比爱，更能滋养。Halo，我是茹雅学姐。总有人咨询学姐，被对方在权衡利弊后放弃，一直走不出来怎么办？关系被单方面终止，这种情况很常见。就算你再优秀，光芒耀眼，也都避免不了这一关。也许你会疑惑，不是说关系，是讲利益互换的吗？我这么好，条件也不差 ​​​ ...展开
这就是一个人敢在你身上越界的原因。都是你惯的。Halo，我是茹雅学姐。为什么在一段关系中，会有人不受重视？要么是性格太软，过度在意他人感受；要么就是付出太多，被人当血包压榨。这和价值高低无关，很多人价值高，照样被人轻视，看不起。他们会浪费很多时间和金钱帮助别人，结果对方不感 ​​​ ...展开
真正通透的人，只会在关系里计较一件事没想到保持共情，也是一项特权。Halo，我是茹雅学姐。对于上升期的普通人来说，单生存就很艰难了，更别说还有高度共情力。学校里还好说，但凡走进社会，被“丛林法则”审视，就很容易被利用，被拿捏，被压榨。如果你也经常被背刺，被甩锅，还得不到周围人 ​​​ ...展开
节约：怎么看待节约这件事首先，过度的节约就是浪费。节约是过程，不应该是目的，也不应该是结果。用更完整的话来说，节约是用更少的代价，得到更多的东西。可能在老一辈的人眼里，二十块钱的饭和四块钱的饭，吃四块钱的饭，就叫节约。她们的节约只是单纯从物理角度。而我的节约，是我要用四块 ​​​ ...展开
太清醒的人结不了婚没有人愿意婚后生活不如婚前。01哈喽大家好，我是嘟子。结婚，往往需要那么一点冲动和头脑发热。或许在谈恋爱时还有几分激情，但一旦步入婚姻，就会考虑更多。性格、生活习惯、兴趣爱好、家庭背景、工作发展、沟通方式……恋爱只需考虑喜不喜欢，而婚姻则需要考虑是否 ​​​ ...展开
爱的本质是被看见哈萨克语中的“我喜欢你”是“我清楚地看见你”01哈喽大家好，我是嘟子。与他人建立联系，是人类天生的渴望。每个人都想要被认同，无论是我们的观念、行为还是梦想。小时候，如果我们的需求或者话语被大人所忽视，可能会通过夸张的行为来寻求关注。比如装病或者犯错，哪 ​​​ ...展开
结婚的意义到底是什么一个温暖的拥抱就是心灵的避风港。////01ONE哈喽大家好，我是嘟子。“婚姻既是柴米油盐，也是诗和远方”。我们生来孤独，却渴望持久的陪伴。希望在病痛时有人递水送药，在遭遇挫折时有人提供肩膀依靠，在万千灯火中有人等候我们归家。婚姻，无疑是实现这一愿望的 ​​​ ...展开
说真的，半斤八两的爱驯服不了我这世间人潮汹涌，你独独钟情于他。////01ONE哈喽大家好，我是嘟子。我始终说不清爱究竟是什么。但我知道，我们常被那些具象的浪漫场景触动——当爱意在某个瞬间悄然发生，便有了可感知的温度。于是有人将爱意诉诸诗歌、影像、节日、亲吻，用所有可触及 ​​​ ...展开
一定要谈一场充电式的恋爱生活中的小确幸，能够迅速提升我们的幸福感。////01ONE哈喽大家好，我是嘟子。在爱情中，最难的是，爱你的人能够接纳和理解你的全部，并时刻给予你力量。《无论你情绪多么低落，心情多么糟糕，状态多么不堪，只要他在，他的拥抱和陪伴，就能让你立刻恢复活力。 ​​​ ...展开
原来放下真的是一瞬间的事尽管这一瞬间的到来经历了漫长的等待。# 01哈喽大家好，我是嘟子。并非所有的爱都能以努力换取回报和结果，不是所有的事，只要努力就能如愿以偿。尽管知道爱而不得时，应该坚决地放弃对方，但一想到永不再见，内心便痛不欲生，只能带着疲惫继续这份爱。之所以难以 ​​​ ...展开
因为在乎，所以无端生出许多情绪害怕失去，害怕伤害，害怕对方不够理解我们。# 01哈喽大家好，我是嘟子。真正深爱一个人时，大多数时候并不感到快乐，因为在乎，所以常常无故涌现诸多情绪。一个眼神、一句言语，都可能触动我们心底最脆弱的地方，激起一连串复杂的情绪波动。《我们可能因为 ​​​ ...展开
我们究竟需要怎样的恋爱观？与错的人相互消耗，与对的人相互滋养。# 01哈喽大家好，我是嘟子。恋爱无优劣之分，情感本就是个人色彩的体现。有人追求一见钟情的浪漫，有人相信日久生情的真挚，有人寻求灵魂的契合……恋爱的方式也有很多种，例如：缺乏亲密和激情仅有承诺的“空洞式爱情”， ​​​ ...展开
爱是不需要教的爱是下意识的惦记。# 01哈喽大家好，我是嘟子。关于爱情，有心之人无需指导，无心之人难以教会。一个爱你的人，必定会想方设法地表达他的爱意，就算方式比较简单，也无法做到事无巨细，却能在各个方面让你感受到他对你的关心。爱意会从每一个微小的举动中悄然流露，无论是对 ​​​ ...展开
偏爱是所有关系的杀手锏“喜欢是评判，而爱是撑腰。”# 01哈喽大家好，我是嘟子。无论是爱情还是友情，每一段关系的核心都是相似的，那就是人与人之间建立了一种比路人或陌生人更为紧密的情感联系。“如果你给我的，和你给别人的是一样的，那我宁愿不要。”这句话听起来可能有些强势和固执 ​​​ ...展开
越“明确表达需求”越能得到爱没有人是一座孤岛。# 01哈喽大家好，我是嘟子。成长过程中，我们形成了一种局限的认知，将表达需求看作是软弱的表现。为了避免成为他人眼中不完美的人，我们常常避免表达自己的需求。不索取的负面影响是显而易见的：我们会错过很多本可以通过提出需求就能得到 ​​​ ...展开
一次只干一件事一次只干一件事如果你的意志力不高，那就不要让过多的琐事抢占自己的精力。因为人的意志力有限，你消耗在了琐事上，你就没办法专注地去解决其他事了。今天刷到晓辉博士的视频，讲AI时代的来临我们的生活好像进入了一种熵增的状态，就是信息越来越多，你每天睁眼看到闭眼都能不带重 ​​​ ...展开
优秀的人都能做到容忍模糊什么叫做容忍模糊？简单来说就是，不要一开始就去追求完美。  许多时候，很多人要去做一件事情时，都会在最开始时在脑海中将事情勾勒出一种近乎完美的构思，也只有自己有了十足的把握才肯定去实行。   但这种目的性过强的设定，很容易再去做的时候失去创造性。   武志 ​​​ ...展开
我发表了头条文章:《你想要的那个家，让我来给你。》  ​​​
人生回报率最高的事情：培养输出型爱好人需要靠“我能做出来点什么”来确认自我价值。  今日有感，从稳定自我内核的角度来谈一谈这个话题。  真正自信的人，往往都有一个能拿得出手的“输出性爱好”。  《什么叫输出性爱好？就是能留下痕迹的，能把内心的东西转化为外在的东西。  比如写作、 ​​​ ...展开
重男轻女从不仅仅是对女儿的惩罚，而是对子女的双重诅咒。它能同时养出“普信”没有同理心的“巨婴”，和“缺爱”“低自信”者。01在诸多失败的教育模式中，“低认知父母溺爱男孩”现象尤为突出，危害也尤为深远。需要强调的是，这里的“低认知”，并非指学历高低，而是指对教育规律、社会需求和 ​​​ ...展开
也就是钱大于感情。男女关系中不是谁掌控谁。  而是谁可以带着你发展的更好。  不管这个人是男人还是女人，只要这个人可以带你发展的更好，那这个人就应该说了算。因为认知比你高的人，财富比你多的人，能让你学到很多。  而这本身就是提升。  这种提升在很多人看来是梦寐以求的，而你轻而易 ​​​ ...展开
任何没有事业的男人，都只是一副空洞而可怜的皮囊。这个世界没有人会给你面子，除非拥有强大的赚钱能力，而不是长得多帅，学历有多高任何没有事业的男人，都只是一副空洞而可怜的皮囊。这个世界没有人会给你面子，除非拥有强大的赚钱能力，而不是长得多帅，学历有多高。我们通常称这样的男人，有气 ​​​ ...展开
我忽然意识到什么才是真正的爱爱是最小规模的共产主义。////01ONE哈喽大家好，我是嘟子。你究竟渴望拥有怎样的爱情？是每日清晨与夜晚准时响起的早安晚安问候，还是彼此保持独立的空间？是热烈似火、轰轰烈烈的爱恋，还是无拘无束、自由自在的相处模式？有人说，爱是最小规模的共产主义 ​​​ ...展开
童年的创伤需要用一生来抚慰有人这样说：“我一直以为只有自己会这样，和亲近的人聊起童年的伤害总是会忍不住哽咽、忍不住流泪。《曾几何时，我会觉得自己已经足够强大，会觉得那些事情已经过去了，但再次提起时，还是一样会哽咽流泪。》有的时候，我甚至还会在心底暗自鄙视自己矫情。”这几年，我 ​​​ ...展开
那些“暧昧但不跟你在一起”的人是怎么想的？归根结底，不过是在他眼里你还不够有分量。&gt;&gt;#  PART 1哈喽大家好，我是嘟子。没人规定过暧昧该持续多久，也没有时限或频率的红线，到了就得给出“恭喜中奖”或“谢谢惠顾”的答案。这份不确定性，正是暧昧最磨人的地方。有时会有似是而非的进 ​​​ ...展开
千万别把分享欲当成喜欢别不舍那些廉价的“陪伴”。- PART 01 -哈喽大家好，我是嘟子。人每天会和很多人交流分享，但很少有人能产生“好想进一步知道你是什么样子”的冲动。《很多人的分享欲，不过是想用对方的回应填补内心的空白。》对方滔滔不绝或许只是需要听众或因有共同话题。他分 ​​​ ...展开
好男人不会让喜欢的女生吃苦好男人不会让喜欢的女生跟自己一起吃苦，因为这样会让他产生挫败感，在你面前丢掉面子，失去成就感。只有劣质男才会利用甜言蜜语牵制女生，让你陪他吃苦，给他提供价值。《等到他事业起来了，就可能会把陪他吃苦的你踹掉。》因为这类男人当初找你时就不是真的喜欢你 ​​​ ...展开
男人装傻减少付出的表现一个男人说他恋爱经验少，不会追女生，没追过，不懂怎么追，就代表他在向你装傻充愣，希望你反扑他，这样他就能不花任何成本拥有女朋友。当男人说这样的话，你就告诉他，追求你要请你吃好吃的，送礼物。只有你直截了当地告诉他，他才没有装傻充愣的机会。不然他会用尽各种 ​​​ ...展开
成败无非这三点：护利益、搞关系、做成事一个人若想在社会中立足，活得舒展且护住自身利益，身上总得带点 “兽性”。这种 “兽性” 并非野蛮，而是一种主动争取、坚决捍卫自身利益的本能。反观那些过于懦弱、一味谦让、从不敢得罪人的 “老好人”，往往缺乏自我保护的底气，更谈不上主动维护自身利 ​​​ ...展开
一个人这么回你微信，其实就是不喜欢你他的每一个举动，都在给你递台阶。- PART 01 -哈喽大家好，我是嘟子。成年人的社交里藏着太多心照不宣的潜台词。“下次一起聚”是客气的婉拒，“有空再说”是委婉的疏离.而那些隔着屏幕的敷衍，其实从来都不是没看见，而是不想回应。微信聊天从来不 ​​​ ...展开
不要和曾经伤害过你的人再次产生链接。《有句话这样说的：“人情世故里，最该警惕的是好了伤疤忘了疼，不是心不够宽，是有些伤口再碰一次，就再也长不好了。”明明被某个人戳过刀子，隔段时间，就忘了当初的疼，还觉得时间能改了他的性子。有些关系就像是已经结痂的伤口，如果你非要撕开看个究竟 ​​​ ...展开
和男人进行有效沟通需要注意什么1️⃣《一定要选择正确的时机和时间点，不要在对方情绪很不好/高度疲劳/工作压力很大的时候，强行和对方进行沟通。要选择双方都有充分时间的时候，并且在比较轻松的氛围环境进行。》2️⃣放下对抗性，带着包容和求同存异的态度去沟通。可以主动强调出发点是为了双方 ​​​ ...展开
