叶童老师的作息时间表！
叶童老师，您好！我在30多年前小孩子时看到您饰演的《新白娘子传奇》认识了您，已关注您30多年了，并喜欢您30多年，只是一直没机会告诉您！祝您永远健康长寿，平安快乐，万事如意！！！
好喜欢听叶童老师唱歌！！叶童老师，加油！！！
我好喜欢叶童老师姐姐！！
好心疼叶童老师啊！！！
好喜欢看叶童老师的状元步！好像文曲星许仕林妙附体的神韵和体态！
赵雅芝老师的眼神和演技演古典女性是一绝，无人能及！叶童老师和赵雅芝老师演的夫妻，比现实中真正的夫妻感情可要好上万倍了！！！我那时十几岁看电视剧《新白娘子传奇》，就从未怀疑过饰演许仙的叶童老师是女儿身，一直都以为他是男生！是后来十几年以后才听别人说她是女生，我当时还挺惊讶的！但是不 ...展开
好喜欢你，叶童老师！！！已爱你30多年了！祝您越来越好，永远健康快乐漂亮平安！🌸🌸🌸
好喜欢你们两人，太爱了！！！从小到大看着你们的《新白娘子传奇》，喜欢已有30多年了！！！
好喜欢看叶童看赵雅芝的这个充满宠溺和爱惜的小眼神！还有她是帅气！
叶童，是我心中女扮男装的反串天花板！！！
好喜欢她们两个演员！！！
好喜欢叶童老师啊！
