#如懿传 吐槽#有个up主说的很好，甄嬛传是身临其境的宫斗神剧，不是所有剧都能和甄嬛传相提并论其他宫廷剧都在给观众造梦，可人家延禧攻略造的是一个独立自强有情有义感人肺腑的梦，而大如传只是一坨又当又立逻辑不通自我催眠的🐶💩 ​​​
老婆啊啊啊啊啊啊啊
老婆
老婆就这样美
此女怎么如此貌美
姐姐姐姐
好！姐姐永远开心幸福
老婆啊啊啊啊啊啊啊啊啊啊
好啊好啊期待
黎晋千帆超话终于有人懂我了！小屋的戏份没一个浪费的，每场戏都有重点，弹琴之后登子就彻底爱上了还喝那个安神汤真的笑死我。感觉已经尽可能压缩了，如果想多拍，发挥空间大的要命！一点点恢复，不同的相处模式，完全恢复之后谈心，把这两种性格融合的更好啥的，哎好可惜#与晋长安#
#永远的白真上神# 不能接受我当年是真的很喜欢很喜欢白真白月光级别三生三世我还给他剪了单人cut，把他所有戏份拼到一起去年他去客串的剧和海陆演夫妻，也是古装一袭白衣，我当时还说看到了白真的影子走路动作完全爷青回怎么 ​​​ ...展开
太短了
老婆啊啊啊啊啊啊啊啊啊
老婆晚安
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊怎么能好看成这样美死我了啊啊啊啊啊啊啊啊啊啊啊啊啊啊
姐姐好米
宝宝宝宝！在拍新剧哎
哇靠就是今天！来迟了期待老婆
延禧攻略超话 利落99！我们天选乾隆令妃！！谁懂最近延禧又火起来，但是所有评论区都是某对cp的ex感。。。我早说了某人就是相由心生，本来就从来没觉得他帅过啊！别来沾边！吴姐最牛！@吴谨言 #延禧攻略# ​​​
就是全世界最好看的大美女啦
漂亮老婆啊啊啊啊啊啊啊啊
太好看啦啊啊啊啊啊啊啊
啊啊啊啊啊啊啊老婆好美
老婆好美呜呜呜
宝宝宝宝
好美啊啊啊啊啊啊啊啊啊
大侦探超话#大侦探8# 再次感叹第八季有多伟大往日回响简直封神的不能再封神了看到一条滑稽弹幕“这集适合出大神版”真的给我无语笑了任何一期你都可以这样说（虽然我不赞同）唯独往日回响！就是不行！这一期连助理都没有还不明白嘿嘿嘿侦探社的意义吗？还什么大神版， ​​​ ...展开
老婆啊啊啊啊啊啊啊啊
老婆美死了啊啊啊啊啊啊啊
#墨雨云间优酷拉新榜TOP1#内容发男的超话里干嘛？谁是一番没点数啊大女主戏就知道给男的抬咖，滚 ​​​
老婆好米
老婆大人
老婆啊啊啊啊啊啊啊啊啊啊啊
老婆啊啊啊啊啊啊啊啊啊啊啊
