//@我心焕然:是的//@JYL要稳稳的WiFi:说明把对方看太高把自己看太低了
//@林奶粒:我们能做的，是坚持过与自己道德准则相符的生活。//@麦卡PU10P:好人的德行是做不到真正踏破底线以毒攻毒的，但是好人有别的办法//@酒精胶囊:这也是为什么我说对付这种人渣只能用他的办法，你跟他讲体面，他就把你生生吃掉骨头都不吐！//@西子阿瓜://@SpicyPiggy:“我不相信都是时代所迫，如 ...展开
//@落在最后的马拉松选手:好骂。
//@神丙:记得张国荣死的时候他伴侣悲痛到要被人搀扶，而汪的腿还那么有劲，要是有人跟拍能不停地从白天走到黑夜吧，下雪下冰雹都不在话下。甚至失联的现老公都比他强，这个时候难过自责到不能面对任何人才是正常的。
//@宋松松松松子:他跟他妈都更擅长耗别人//@在也门钓鲑鱼:还有一种自我感动。这个人什么事情都做不到，事业做不到，和人沟通做不到，耐心对待小孩做不到。表演就变成了一种“自我成全”，“我爱她”“死的应该是我”这些动作完成，就舒服了，完成了一整套自我谴责，自我感动，自我原谅，重新出发。完全 ...展开
//@大心脏排排:不管做什么事要想取得成果，最基础也最被人忽略的一点是：连续地show up。只要你连续地show up了，获得成果几乎就是一件板上钉钉的事情。可是这么简单的事情，很多人就是做不到，因为得失心太重，太计较一两次的得失。
//@严艺家:文中的孩子无疑是很幸运的，养育者能看清现实，而不是逼着孩子去迎合病态无用的标准，这本身需要极大的智慧、勇气与底气。“初中都没上完”这个描述是动态的：在中学阶段这可能是件大事儿，20出头可能就是个描述，到了30岁阶段说不定就变成了一个勋章，这一路上孩子也许会有自己的动力再深造 ...展开
//@顾扯淡:这里法官的倾向性就很明显了，力求公平的话，男方全家闹事是大概率，反之女方全家闹事则是小概率，那只好不维护了//@深垄:博主说了，不是法律上女方不能拿更多，而是男方支付能力非常有限，多了根本拿不出来，只能卖房子，会导致一家人走极端。这里维护的不是法律公平。// ...展开
//@顺水_而来:很有禅意的“不学”，这里的“不学”不是停止学习，而是如果学校已经蚕食了孩子的生命力，绞杀了他们的学习兴趣，以至于都完全无法进入那个场域，那就远离它，不要拼命再试图把孩子塞进去。天地广阔，去愿意学习的地方学习，去学习愿意学习的东西。
//@淘淘娘again:天性是怕考试吧，天性并没有那么怕学习吧。君不见，多少孩子为了学玩新游戏，披荆斩棘见缝插针宵衣旰食甚至废寝忘食地学？//@顺水_而来:人的天性除了”怕苦怕累怕学习，又馋又懒又爱玩“，还有另一面，”充满好奇，热爱学习，通过努力拓展边界来搞清楚我是谁“   // ...展开
//@严艺家:今早编辑老师说这本书已经卖出500本啦，想到撒出去500粒好种子就很开心
//@严艺家:特别容易被唤起羞耻感的人一般会毫不含糊不断激起周围人的羞耻感，周知。//@罗套套:我就是⬇️这个态度：
//@严艺家:是的，那些自以为是“忠言逆耳”、“给你提意见是为你好”的人只是在诉说他们自己曾经是如何被对待的。
//@严艺家:也想告诉家长们，每天和孩子一起骂骂学校里的各种不爽5分钟，可以节约不少未来可能要花的心理咨询费
//@沈言心理:有时候不得不感叹，这个世界上真正的成年人还是太稀少了，大量的“成年孩子”挤占了真正孩子的位置。
//@淘淘娘again:吴军的《阅读与写作讲义》可以与逻辑学基础训练搭配食用。对于真正要具备阅读理解能力的孩子，逻辑基础约等于内功，阅读理解的步骤与方法约等于武功招式，深厚内力搭配纯熟的招式，才能成为武林高手。
我免费围观了 @顺水_而来 的回答，问题价值 199.00 元  ​​​
//@严艺家:最近自己的播客没怎么更新，但是串门没少串，谢谢小畅让我有机会与更多中小学生家长聊聊天
