#周迅如懿传谣言澄清#看过两遍如懿传，很喜欢，无论是剧情还是演员。至于说什么讨厌某个角色的，如果连电视和现实都分不清，那你脑子有必要去医院看看了。 ​​​
#官方通报周口六院邵医生坠亡#只想问问这几个网暴的家庭被拘留了么？把人逼死了就不用承担后果？？ ​​​
#赵露思粉丝不限圈抽奖#   #银河酷娱还赵露思自由#  #支持赵露思维权# 转一下吧，支持一下小姑娘。这么红的顶流都被公司压榨。可想而知那些十八线们。
来看看傻缺言论🤏
原来是精选评论了啊，大河报这是精选的全部支持开除的人的评论？//@奇妙螃蟹在瑜伽:前排支持开除的，无一例外全是男性🤏
前排支持开除的，无一例外全是男性🤏
//@JCT-尤莉娅:首先 她都不应该被处分
//@机械科技:它知道自己的使命，也是个有信念的物种🙏//@思想品读://@皓伦王明川://@阿武看世界://@宋英杰:神奇的本能//@彩蛋爱看山://@兰德先生W:鲑鱼的这一生真壮烈！
现在的小孩子好容易破防啊 ​​​
回复@y1233y:外国人经常说love。即便是工作搭档也会对对方说love。一般都是开玩笑的说love ya～ 即便是电话中也会这样说，有时候甚至跟通话中的人没在现实中见过面，只是在工作中有很多的交流，这种也会说love。电影中的那段对白确实不是情侣间的对白，如果看英文版就很清楚可以辨别。不过我也觉得蛮好 ...展开
//@Liayaaa:回复@汪小争今天被反噬了么:跟汪小菲用表格开销当证据一样搞笑//@葡萄果果_0416:图片评论 查看图片
//@一碗冷掉的粥:知道了//@M大王叫我来巡山:🐎//@-秦闲-:马一下//@钩钩人://@鲛猫_Shark-Cat://@卮司://@-滴滴歼星舰-://@小犬麻_://@米津瞳://@玄菌铲子://@比比井:m//@回藏剑蹲着的石头二少://@你的伞要修吗://@戈芭嘎吧旮了巴爬爬公主:体态好真的整个人都不一样// ...展开
a a
//@桃子与司康:麦琳遭受的网暴是铺天盖地、旷日持久、随着节目每周播出而不断被推向更高潮的。能从这种风暴中走出来、站起来，真的很了不起。看但最后忍不住流泪，一次次海浪击打她，让她的脚长出了根。可为什么她要遭受这一切呢？这才是问题的本质。//@孟大明白_:这个表达能力超越同组所有嘉宾，包括 ...展开
#金秀贤举报人遭歹徒袭击#我只想知道微博什么时候会把他的超话给封了？你们自己都不看看里面的粉丝已经疯成什么样子了吗？ ​​​
笑死，你说这话不就相当于是在说“我是嫖客，付了钱的，所以我说的你都要听”么 把自己位置摆正点吧，一张电影票钱还算不上金主。
#马丽说可能与沈腾不再合作#粉圈就是毒瘤，特别是CP粉圈。绝大部分人可能分得清现实和臆想。但极端CP粉把自己的臆想强加给别人，甚至希望双方都离婚然后自己CP再婚的。你们还有脑子么？ ​​​
你这是把自己带入渣男了吧 笑死，还真是蛆帮助蛆啊。这么深有体会，怕火烧到自己吗？
