靠近你就靠近了痛苦 远离你就远离了幸福 ​​​
喜欢你一点都不幸福  21年追到23年我就已经精疲力尽  为了你我学会了很多东西  我也第一次对对家这么一个人恶意会这么大  其实这并不是你的问题 同担在反黑的时候我在上课 我甚至做不到卡点祝福你的每一次生日  为了攒钱买专辑冲销量每天早餐都吃不饱 上课了还在担心你会不会被骂的更惨 看到有关于你的 ​​​ ...展开
可我的性格总让我感觉亏欠 ​​​
频繁回忆过去是一种自虐行为 ​​​
眼泪掉在屏幕的时候 你的世界在下雨吗 ​​​
不觉得爱人是一件很累的事 爱人是一件很幸福特别幸福非常幸福的事 ​​​
我是一个不喜欢平平淡淡的人 更喜欢充满惊喜的生活 还有。突然发现自己总是在某个音乐软件会员到期前几天就开始喜欢听歌（特殊癖好？^^特喜欢把自己代入某首歌或者某个文案的当事人 小时候看别人发伤感文案其实根本没有感触 而且觉得很幼稚 现在看特别适合我 有时候甚至会因为了解到一首歌主要讲什么 ​​​ ...展开
下辈子不会谈爱打巅峰赛的这辈子先谈着吧 ​​​
这个世界就是一堆讨好型人格在讨好一堆自恋型人格 ​​​
你的眼泪 每一滴 都是我的软肋 ​​​
麦恩莉
⁺₊♡₊⁺ 許願日.ᐟ.ᐟ ​​​
我糙
我信了 ​​​
同学这么喜欢把我聊天记录发朋友圈 ​​​
其实我今天开心的嘞 这几天都好开心 微博也只是我觉得好笑或者好看好听才发的 我要一直幸福下去呀 ​​​
就忘了吧
今晚吃晚饭听见妈妈说的：“你姐姐不敢吃烤鱼 不能吃甜的 你生日的时候我们不吃烤鱼了好不好 蛋糕也省了吧买了也浪费 到你生日那天中午请你吃顿饭好不好？”  “给你去路边买块提拉米苏你自己吃得了” “给你买个纸杯蛋糕吃” 我好想说不要 我就要正正经经地过生日 最后还是说不出口然后沉默到吃完饭自 ​​​ ...展开
亲爱的 如果我的爱是一场暴雨 你可不可以不撑伞 ​​​
就是如此
现在跟谁都是自来熟 聊得来就一直聊 聊不来就放弃沟通平常打打招呼 我也不会再因为让我反感的事而多想了 我要一直保持这种现状 ​​​
老师这次调的位置我都不敢说好只能说特别好非常好 ​​​
突然好想你 你会在哪里 ​​​
你说你喜欢我黏人 我很幸运能够遇到不嫌我烦的你 我是个什么大事小事都要分享的人 就连零杠五的队友我也能说一整天  好想了解你的生活 想让你跟我互相分享 看看我们有没有遇到同样的事或者遇到同一个人  我太喜欢你了 喜欢到让我会觉得自己是很烦的一个人 我缺安全感 我的敏感多疑你都包容我 一个个解 ​​​ ...展开
一边说着自己是个拧巴的人需要一个赶不走的人留在身边  一边又觉得让别人时时刻刻在意我的情绪是很麻烦的事 我真的太奇怪了 ​​​
 ​​​
多想是好事还是坏事呢 男朋友的游戏cp一直都不是我  有点意见不过我不常玩了 他说解了的但是我又不太相信 怀疑的点太多了 甚至在想我是不是他养的小三…还有我自己是不是名侦探噢。。光看游戏主页和胜率都能认出来是谁 他的每个关系我都要自己深究一遍看到有点不对劲的我就去问 有时候觉得这很 ​​​ ...展开
和男朋友认识是在游戏里面 追了两个月 出动了五个军师 ​​​
没刷抖音的话其实根本不知道引导性恋人这个词 刷到之后恍然大悟 男朋友一直都是引导性恋人  我的坏情绪太多太多了 我提供的情绪价值别人也能提供 这让我觉得自己好像不是那么重要 没谈恋爱之前一直都把这些事憋在心里 不敢跟别人讲只能自己偷偷哭 谈恋爱之后觉得自己找到了一个真正的支柱 什么事都跟 ​​​ ...展开
明明我已经快忘记你的爱 为什么你的存在还在使坏 ​​​
