#日本男团拉下裤子#其实筒的业务能力非常不错！看京本大我就知道了。不必太深究了 ​​​
写了一些我的事情，也写了我的朋友。今日有些感性了。  ​​​
如果早起的代价是看到我喜欢的永野芽郁搞不伦恋，那我真的太心痛了。 怎么说呢，咩酱看起来就是那种太好说话，拒绝不了的性格，希望是假的吧！#永野芽郁 田中圭#
//@视奸我你真的s了:八点回答学生问题嫌麻烦嫌晚，这会儿凌晨三点骚扰女同学不嫌晚了
哈哈哈哈哈哈哈哈哈哈//@给小巴打包一麻袋的快乐:煮熟后日的一声打成糊糊，喂给小宝宝吃，他们不会说话，难吃也不说
十年磨一剑，我们的小花间令值得
鞠婧祎超话今天是我关注超话的第100天，希望能继续伴你一路前行～ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添安康#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#江小宴曝柳岩知三当三#相信柳岩的品行，她是一个温暖而内核强大的人。既温柔又敢于拒绝，既热心又敢于应对困难。相信柳岩，她非常非常棒。 ​​​
开始准备考试了。加油加油加油！ ​​​
新年快乐！ ​​​
#生日晚安# 是《猫和老鼠》首播日欸 ​​​
真是服了。男作家一写女性角色就脑瘫了。一描绘女的就是胸大腿长腰细。没有人关注女性的思想女性的地位女性的向上。都把我整笑了。一会儿去作协我指定反映反映这个问题。 ​​​
啊啊啊啊啊啊明年我一定要买车车上班至少能迟起一个点太幸福了果然睡觉才是幸福的源泉！加油加油加油！买我喜欢的星越L或者帕萨特！啊啊啊啊啊 ​​​
最近总会因为一些小事发脾气。也会因为一些周围在意的人和事产生嫉妒的情感。想想那又有什么必要呢？人生并不应该囿于眼前的人或事。要多看、多想、多去接触外界的环境。未来不知会如何，但绝不可以有超越底线的想法和做超脱底线的事情。所幸我周围的每一个人都是温柔善良的人，祝我周围的朋友一 ​​​ ...展开
文案真的很奇怪。因为喜欢绿色的人更容易原谅别人，所以想和他们做朋友。这意味着你就已经站在了冒犯别人的立场上考虑问题。正因为他们容易原谅别人，所以比较倾向于自己消化情绪。我们该去更照顾，而不是去冒犯。
鞠婧祎超话#恭喜鞠婧祎超话发帖量破9000万# ​​​
我服了，上班时候工作脑，下班时候恋爱脑。唯一共同点是上班单位领导画饼，下班crush画饼。一个不承认工作量，一个不承认关系。但是都很上头。 ​​​
煲仔饭真的是我这种主食星人的天菜。路上忽遇暴雨，去买牛肉饼，老板娘非常好地让我先在店里避避雨。其实我非常喜欢吃主食，也喜欢吃特别粘的枣糕。其实比起裙子来说，我更喜欢穿裤子。比起温温柔柔的音乐，我更喜欢说唱和摇滚。比起稳定的工作环境，我更喜欢有创造性的工作。为什么人不能干一些自 ​​​ ...展开
老婆真的好甜好甜！
差不多的年龄，有人结婚，有人生子，有人买房子。而我还在当小朋友。今天才知道朋友们一直觉得我是一个特别简单的小妹妹。28岁了，朋友还会在我不开心的时候塞给我东西吃，过马路的时候朋友还会领着我过，小伙伴儿们都说我是小姑娘。聊起晚上在单位的事情时朋友还会担心我晚上一个人在单位不安全。 ​​​ ...展开
虽然我感觉自己是有问题的，但是我依旧在坚持着自己的行事方式。因为我也改变不了。我不关注男的还是女的，也不关注外在的评价与环境的变化。我只关注我的情绪，我的欲望和我的思想。于是便有了许多倾听我讲话的人。虽然有时有些过界，但是我也不想去处理，我只想关注我今晚到底要吃什么晚餐。随机 ​​​ ...展开
今天听了一些故事，我可真的震惊啦！搞得我现在都无语了。有人厌男，有人厌女，而我真的厌人了。希望在未来的岁月里我能够依然保持天真直率，坦坦荡荡，不搞影响别人的事情。保持热爱，保持读书，有可以交心的好朋友，肯好好帮助他人。努力工作，努力生活，洒脱自在。也要好好激励自己，做一个认真 ​​​ ...展开
分享一个新鲜事。我从小就非常讨厌的一个特别“自闭”的男孩和我高中时候非常讨厌的一个特别做作的女孩喜结连理啦！哈哈哈哈哈哈哈哈哈哈哈哈哈我都能想象到他们未来的生活啦，一个不作声，一个“今天的阳光好明媚啊～”哈哈哈哈哈哈哈就离谱～ ​​​
从3月17日到4月25日，Keep居家健身累计40天，瘦了整整13斤，感觉身上也硬了起来。也终于明白，加强核心训练是多么的重要。每一次运动都会让我忘记周遭的欢喜悲愁。我似乎也慢慢开始从主观思维中脱离出来，可以接受外界事物的改变了。希望自己可以瘦瘦硬硬，充满力量。多体验，多学习，多感受。 ​​​
#用20元做了一家四口的饭菜#算了，如果结婚以后是这种窒息的家庭环境和把钱算来算去的消费观念，结婚这种高风险的投资确实不适合我。PS：20块钱还想要油酥辣子，先好好收拾收拾这乱七八糟的家吧 ​​​
我太羡慕南京的朋友了，又是一首我爱的歌
做好万全准备要去挨骂啦！估计是一个狂风暴雨的一天，但是咋也得面对，工作就是这样。我甚至还化了个妆，哈哈哈哈望今日和明日顺利！ ​​​
每天上班都是做梦的一天。好想成为一只小猫猫啊！这样我只要和好心人撒个娇，说想要一百万，就拥有一百万啦！ ​​​
#为什么男生对女生是不是独生女这么看重#现在的男宝真是打着一手好算盘，又怕分遗产吃亏，又怕承担养双方父母的责任。对比来看，女的却一直在弱化自己，真是让人恨铁不成钢。 ​​​
太牛了
她真的好好看啊
#春晚#现在这个小品唯一的看点，就是章若楠真好看呀。这小品真的是太尬了，谢谢春晚带给我如此难看的节目。 ​​​
好运来
