奉行不想干活的时候就去干活之宗旨 进度缓慢但至少在前进 感觉本月有望达成目标 ​​​
转身正准备下脚发现孩子突然出现在脚下于是展现了体操选手般的反射能力扬起一足摔了个四脚朝天 可怜天下父母心 ​​​
mini好！单手可持 比大屏轻便了许多 用来随身携带看书看漫画恰到好处 对不需要太多功能对我来说更适用 喜欢☺️ ​​​
优雅 ​​​
小缸爆螺 买了两只据说是除螺高手的巧克力娃娃 放进缸里几分钟正面的螺已经被吃得干干净净 虽然长得像蛤蟆但爱一些吃饭很香的动物 ​​​
试了试朋友的观影眼镜 戴上的一瞬间真感觉原始人走进未来世界了 可以平躺无压力看剧 比想象中轻便好多 我种草 ​​​
前段时间因为阳台鱼缸温度一直不降 鱼死的最多的时候 本想要不夏天就放弃养鱼等换季再说 没想到大缸4条企鹅灯8条喷火灯1条安德拉斯双剑竟然就这么稳定下来了 目前已大半个月没有减员 ​​​
开头即巅峰 设定很有趣但作者非常不会讲故事 且越看越感受到一股不属于一个年代的登味 买漫画的手还是太快 刚收到已经想出 ​​​
锡器好美啊狠狠心动了 ​​​
2025年度最爱书影剧漫音 书西西弗神话 影奇迹 剧风骚律师 漫地。音所以我伸出了手 ​​​
有人摔一次跟头就能记住，有人摔了一百次依然不长记性，那这一百次摔倒就失去了意义。经验的意义不在于数量，而在于人是否能觉知它意味着什么并融会贯通。只有保持足够的敏感清醒，去尽可能地生活，尽可能地感受，才可以真正地吃下这份经验继续向前走啊 ​​​
朋友借我的书，角角落落里散落了很多她的划线，和随手写下的段评，打开书也像打开了对方的内心，这何尝不是一种复古而隐秘的交流。无关躯壳和时间，我们都在翻开这一页的时候为同一行字思考。某种程度上或许比面对面的即刻交谈还要更亲密深刻 ​​​
抹头上香味一天不散 清爽顺滑 非常不错 就是盲买的味道一般 以后试试别的 ​​​
每每开始自己做饭就想买锅碗瓢盆 然后就会进入沉迷日本作家器的状态 日本人做的器物咋这么美但真的好贵啊啊 ​​​
入间和银他妈一样 只适合轻巧的日常剧情 这类喜剧类作者都是角色驱动型 擅长小而美的段子 但没有构建长篇的规划能力 他们的作品也缺少承载厚重主题的基础 一旦进入长篇主线就优点尽失 又臭又长 实在是无聊 ​​​
房子老了啥问题都有 受不了我这个天天漏水积水的空调管道和下水了 找师傅上门讨价还价半天又支出大几百 虽然宅家但一点没省 ​​​
遇事不决 冰花煎饺 ​​​
人还是要多尝试各种事情多去碰撞才会意识到自己有多么混沌无知 认识世界才能更清晰地建立自己的认知和边界 反之也亦然 ​​​
擅长叙述的人颠倒黑白也很容易 故事可以编 细节可以修饰 但人的习惯很难一直装下去 总有暴露的一天 看人主要看这个人在不同情境下实际是怎么做的 ​​​
家里使人快乐的小垃圾持续增加中 杯垫属于单抽出奇迹一包回本 没忍住立马又下了两单以及miss了好多次养出来的甲壳虫越看越可爱啊 ​​​
请师傅上门把发霉的空调大清洗了 感觉出来的风都清爽了不少 换了茶几地毯电视柜又开始看餐桌餐椅餐边柜不顺眼了 慢慢整改吧 ​​​
总是会被某种简单而专注的为人吸引，只是踏实地做着想做的事，过着一种不求结果不会横生枝节的极简生活。因为内心和生活的无限趋近，安贫楽道，不轻易动摇，呆在一起给人感觉如同背靠大树一样安心松弛，简称为充电宝型人格 ​​​
近期云南菜已在我心里跻身一线 和湘菜粤菜平齐了 ​​​
在gaf偏远的展馆旁边商场偶遇了就来上海一天的网友 之前还在曼谷偶遇过朋友 离奇的偶遇经历又增加了 ​​​
怎么有吉高这样古灵精怪的萌女子 没忍住看她的综艺到太阳升起 昏迷醒来抓了件亚麻T恤就冲出家门 打扮计划再次破灭了 ​​​
买到一块丑地毯 果然便宜没好货 自我安慰养猫家庭地毯是消耗品 丑就丑吧 孩子们已经开始快乐地磨爪了 ​​​
越发感受到人的爱和感受力之有限 且会随着时间逐步衰减 人最浓烈的情感还是献给了中学到大学初步建立自我的时候接触到的世界 也不完全是因为那时候有多好 只是人在最柔和没有形状的时候最容易被留下痕迹 等步入社会工个几年很难不变硬变淡 所以就算现在我看到了非常喜欢的作品 也很容易忘记 对它们的喜 ​​​ ...展开
狠狠工了一天 爆买了一通又跑到遥远徐汇还没去过的jump cafe新店猛吃了一顿棋魂主题餐犒劳自己 吃完收拾战果时发现多了一个jump购物袋 e如我直接询问邻座的初中生小女孩想不想要 对方点头点头两眼亮晶晶 还得到了真情百分百的甜甜感谢 我心已化 小朋友真可爱 多拿了一个购物袋就这么开心 贪婪的大人已 ​​​ ...展开
定妆用到现在还是最爱ct粉饼 fair色和我肤色巨贴 哑光妆面这一块无敌 回购了起码五块 ​​​
佐为消失堪称我童年数大心碎场景之一 每次重温到这里都会把我带回与小学生时期初看时别无二致的弱小无助状态 但是虽然右脑在恸哭这种事怎么可以发生拒绝be左脑还是在感叹就是这个悲剧味儿美就该这样 总之真是神中之神现在看动画完全没有这样的心情了 ​​​
期待 ​​​
我的孩子怎么这么可爱 ​​​
效率惊人 明天感觉能完成本月任务1/5 争取月中前完成3/5 ​​​
好奇点进了给某高分作品打了超低分的人的豆瓣主页 发现他给他看过的上千部影视全都打了三星以下的低分 还都留下了各种视角神奇的长篇巨论极尽批判 颇有一种不小心误入了什么黑暗巢穴的心情 迅速点击退出离开了这位路人的精神世界 ​​​
怀疑一直看不进金卡姆剑风jojo之流的根本原因是无论是现实还是二次元都不爱看肌肉虬结的好战男子凑作堆，画面里的男性荷尔蒙过于浓厚也不喜欢刀刀到肉鲜血淋漓的写实硬汉战斗番。金卡姆看了几集，各种剥皮断指开膛破腹血肉横飞没有停歇，虽然故事真是少见的厚重充满质感但我感同身受地幻痛了，就算 ​​​ ...展开
想换个茶几 猛猛搜寻一个多小时好不容易选定一款 付款前临门一脚查了下钢化玻璃爆炸事故 还是决定买全木的了……从头再来吧人生就在这些无用功里前进 ​​​
限制自己每个月最多买一套漫画 本月额度献给石纪元 ​​​
最近的感受是身体亢奋但精神上非常累 累到甚至都记不住和谁在一起做了什么事 回家开始报复性高强度看剧然后在沙发上睡着 基本不做梦的晚上都开始做噩梦了 可以说是相当病态 不能再继续答应邀约了 急需一个人呆着 ​​​
住顶楼属于冬冷夏热暴雨天还漏水 和物业报修了五六年都没修好 前面发现暴雨下了几小时都没有停歇不禁感到不妙 跑去厨房一看 果不其然又发大水了 屋外大雨屋里小雨 调味料已全被屋顶渗透出来的污浊液体淋湿 想到消停了又要进行一轮清洗换新我敲会木鱼去 ​​​
每看完一部不错的大长篇都要失魂落魄一阵 跟着角色们上山下海历经千辛一起抵达结局 想到至此所有人的轨迹已经不会再增加了那这和他们都死了有什么区别别了我的萌萌西瓜人生真是寂寞如雪 ​​​
石纪元就是我小时候很爱看的金手指现代人勇闯石器时代基建题材啊 两天看了三季唤醒了我的种田魂 感觉很适合给小学生看培养对世界和知识的好奇心 ​​​
半夜叫到了一辆女司机的宽敞香车的幸福与安全感谁懂 感觉可以安心睡去了 ​​​
已进化成密室坦克型角色 不怕黑也不怕恐怖单人剧情……玩剧场抽到一个和邪恶npc单独关小黑屋的角色 对方忽然变身突脸我还是心率平稳 感觉变老之后以前害怕的事都一件件消失了 不过可能也生出了相应的新恐惧吧 ​​​
睡了四小时起床脑子感觉还在床上人却已经走出家门 越忙越爱给自己加塞事情每年这个时候好像所有认识的朋友都组团来上海了！！约完这波真的再也不出门了 ​​​
昨天看冰箱里有瓶果酒放了好久好占地方 就当饮料喝了 结果起床嗓子撕裂 眼睛脖子全都过敏 本来今天还打算打扮一下去看舞台剧 现在只能素颜猪头出门了 再也不会喝一滴 ​​​
疼痛难免的疼痛指数逐集递增 e5痛得我偏头痛大爆发 不过真的太好看了 ​​​
看了海街diary。想到四重奏里小雀在他父亲病逝的医院前久久徘徊，想着要不要去见他最后一面，maki对她说，你不去看他也可以。血缘就意味着无法割舍的羁绊吗？不太喜欢亲情片里时常出现的那种无论发生什么，家人永远是家人的暧昧论调。建立在创伤和牺牲上的接受与和解很多时候更像美化过的压迫和道德绑 ​​​ ...展开
新手玩了几分钟已经爱上了 幼儿期还没度过听友安利又入了彩屏的机器 热爱养成的一生 ​​​
看了三集 玄幻重生版回家的诱惑 比起这种类型的其他“爽”剧 加了一个过去的既定事件可以换当事人 但必然会发生的设定 模糊了道德边界 让之后的悲剧转嫁也多了一丝不得已为之 女主的价值观也显得没有太崩坏 虽然还是以恶制恶的思路 但下饭ok 节奏很不错 ​​​
买了台制冰机 非常不错 几分钟就能出冰 比自己冻冰块方便太多了 助力我冰冰凉凉的夏天 ​​​
找寻真实的东西不意味着找寻希望。荒诞之人选择直面冲突本身，宁可诚实地绝望，也不想依靠幻想来安慰自己，对于他们来说，荒诞远不如逃避荒诞来得可怕。人虽然没有办法改变没有回声的宇宙，但可以选择如何回应它。 ​​​
事实证明人尴尬的时候会想说些什么来缓解尴尬结果只会更尴尬 ​​​
看中一个隐形书架 tb六七百 上海鲜市场一搜 同城有人出全新的还只要六折 我立马拍下 省钱小秘诀 ​​​
现在出门主打一个怎么舒服怎么来 越来越不爱穿难受的衣服 化妆率也直线下降 精气神颇有点一去不回头了 ​​​
是我在沪吃到最美味的肠粉了 肠粉皮滑嫩轻薄 包裹的虾仁q弹大个 叉烧也是新鲜出炉 油脂香气四溢 和着鸡蛋皮玉米粒一口下去美得不行 艇仔粥的配料很多 店里提供的辣椒酱油特别鲜美 配粥吃一绝 但是沪国真是血贵 谁能想到这几样东西要八十几 ​​​
昨天白天腰痛得站也站不直 贴了膏药好点了 半夜又开始牙痛脸痛连着太阳穴和脑仁一起痛 一晚上辗转反侧 醒来依然头痛欲裂 合理怀疑又是因为姨妈快来了 每次来之前都给我翻着花样难受 🍠上搜到的这个办法管用 救我狗命了 ​​​
因为夜宵在家经常对人又咬又挠 本以为她会比较难洗 结果洗澡的时候出乎意料地安静 原来只是窝里横 毛豆一如既往地恐男 明明平时女生朋友来了都热情似火 争做迎宾第一人 男师傅一进门吓得飞机耳躲起来 有点好笑了 ​​​
上门洗猫的人和我商量中午早点来行不行，我说行的我努力爬起来，结果对方迟到半小时，问他怎么还没来一句解释道歉都没，只冷冷一句“还要五分钟”现在又过去十五分钟了还是没一点消息，有没有一点职业道德了，懂不懂早上一刻值千金啊啊 ​​​
花ynh没品出什么滋味只顾着看张my了 简直天姿国色 曼妙多姿 仪态气质皮相骨相无一不佳 美得人目瞪口呆 ​​​
看文，向往光明的主角前期被小人摧残身心饱尝苦痛，于是选择黑化，以其人之道还治其人之身。看似爽了，实际是被痛苦和愿望吞噬腐蚀成了自己厌恶的样子，赢了世界输了自己，这何尝不是精神上的同归于尽和更彻头彻尾的一桩悲剧 ​​​
家中无老虎🫛称大王 小胖墩子真的很欠 天天主动挑起战争轮番去俩妹妹那找打 ​​​
喜欢甜鸡蛋卷 但在家怎么都复刻不出店里的感觉 总感觉自己做出来的鸡蛋有股腥味 放弃 ​​​
把绒面的沙发盖布换成了冰丝的 纵享丝滑 太舒服了 完美适配夏天空调房 不躺上面午睡一个简直对不起自己 ​​​
秒空都被我抢到 时来运转了 ​​​
有一种出门前一天晚上必通宵的病 艰难爬行 ​​​
？就这么坑人 ​​​
我饭呢
夜宵最近开始时不时蹲守在我的目之所及处 日常冷不丁回头就能看见不远处有一坨长着两个探照灯的黑色不明物体 我想她一定是爱上我了 虽然还是久摸不得 时常摸得好好的突然回头给我来一口 人都还没叫呢她先吓得像兔子一样飞机耳跳走 此情此景让我梦回大崽儿童时期 虽然现在五岁的中年猫已经变得完全处事 ​​​ ...展开
很多时候真善美之所以存在 不是因为它天然就在那里 而是有人选择相信它 并愿意为之实现而努力 哪怕代价高昂 甚至不得善终 依然有明知不可为而为之的勇气 ​​​
尝试清炖牛肋条中 香气扑鼻 ​​​
之前天气还没那么热的时候就想着给阳光房降温解救鱼命 当时买了便宜的diy粘贴式塑料铝箔挡板 果不其然它遮阳水平一般 且丑不服贴还老是掉 每礼拜都要头顶烈日踩梯子重新粘 最近发现鱼缸水温竟然变成34度了 还是把挡板拆了 找人定制了据说更能有效降温使用寿命更长的蜂巢帘 装上虽然美观很多 人的体感上 ​​​ ...展开
我身边的绿老头人均文豪啊骗人给我写小作文真是愉快 我将通通打印成册永久保存 ​​​
虽然家里阳台又堵了积水三厘米深一回家就化身水管疏通工人但看到咪和外卖和芝士蛋糕还是幸福 事实证明我过不得一点茹素饮水的苦行僧生活 ​​​
石斑鱼火锅我惊为天人 活到现在才吃实在是错过了太多 被治愈了 ​​​
尊重说起来简单其实很难 人很难放下自己的自恋去承认标准答案不止一个 ​​​
在末日后酒店的评论里看到有人提了这部 凑单购入 看了一卷 比起前者更有文学感 描述在文明衰退的末日 没有生命限制的机器人留守经营着主人的咖啡馆 四处游历  与人交汇 看岁月变迁感受生活的日常 淡淡哀愁之美 不错 ​​​
饭也没吃在银行办事两小时 自己事情半天没搞完中途因不忍业务员百般恳求答应助力她指标办了一张我不需要的信用卡 属于又给自己找了麻烦 现在拿着一盒同样不需要的办卡礼品回家 我真是服了 新的一年我要做一个冷酷说不的人 ​​​
昨晚看了个矫正牙齿牙龈萎缩的帖子 晚上又梦到我牙齿全都掉光什么都吃不了了 看鬼片晚上都不会做梦 牙齿变坏真是我的心魔 ​​​
匹夫之义……我感动 ​​​
事情怎么这么多啊7月绝对哪里都不去 专心干活！！！ ​​​
不苟言笑的外卖员看到阴影中的巨兽忽然露出慈祥的微笑并感叹好胖 是毛豆获得外卖员恶评的一天 该和我一起减肥了 ​​​
写得真好啊 我爱老作者平时不太爱看古代文 但这篇已经让我熬了两个夜 事实证明我的雷点只有文笔 ​​​
😭
yhy的汽锅鸡属于青天白日撞到僵尸了 特别是刚吃了不少好鸡后冷冻千年老尸鸡真实难以下咽 由奢入俭难 价格上僵尸鸡还更贵 没天理 ​​​
随着放风时间增长 家里两只原住民已经基本习惯了夜宵 但夜宵依然是见猫哈 但至少从十米外都哈变成了五米哈 算是有点进步 以及好在目前大家也只是嘴上骂骂咧咧没有打架 ​​​
这个过敏药简直蒙汗药 吃了几颗脑子直接飞走 讲话颠三倒四 看emi的live都能坐边上睡着 回家洗完澡直接昏迷十二小时 醒来像是被打晕苏醒完全没有神清气爽的感觉 出门前不敢吃了 ​​​
友们都太好了 ​​​
一消耗脑力体力就想奖励自己吃大餐 减肥是没办法减肥的 ​​​
刷到雷人言论，这完全是偷换概念的诡辩。傲慢根本不取决于你受没受苦，完不完整，而在于你是否站在对方的角度思考，是否把对方当作一个同等有尊严的人。当一个人完全不考虑他人处境，因为自己完整就认为其他人都应该理解自己的状态并让步，这就是傲慢啊。平视起码需要愿意看见不一样，承认每个人都可能 ​​​ ...展开
每天三次夜宵放风以及和家人相互熟悉时间 都是睡饱夜宵对哈 夜宵朝着毛豆狂哈毛豆傻傻看着巍然不动 怜爱了……不知道什么时候三小只能和谐相处 还需努力 ​​​
鱼们依然全员存活 新加入了十条青鳉 希望水里不要孵化蚊子卵 ​​​
服了这天气 天气原因航班取消 改签了结果又取消 斥重金重新买了当天回去的机票 希望不要有后续了啊啊啊 ​​​
排了长队买到了路边流动小摊上热气腾腾的牛杂和冰凉香甜的绿豆沙 穿过油烟缭绕的小摊长街走回朋友家 窄窄的道路两旁古木虬结 绿荫如盖 虽然广州的空气一如既往地潮湿闷热 但这样的夏天不令人讨厌 ​​​
过于罪恶了 广的友们都百分之两百热心好客 好吃是一方面我也是真能吃 这两天胡吃海喝得整个飘飘欲仙 胖得人不人猪不猪的 不想管了两眼一闭继续吃吧  回去再绝食 ​​​
我爱广州 做好胖五斤的准备了 ​​​
每当一天睡二十小时也睡不够醒来依然像吃了蒙汗药头昏眼花水肿成猪头那姨妈就是快来了 ​​​
归国咪咪新宅一日游 浅浅种草了轻井泽 说好的暂时不想去日本了现在又心动了 ​​​
这次出远门想着草缸有藻，多喂坏水不如少喂，只让上门喂猫的人喂了一次鱼，回来看大多数确实还活蹦乱跳，只跳缸死了一条仅剩的孔雀母鱼，至此买的母鱼全军覆没了。目前我买的母鱼基本上都是生完小鱼开始肠炎，然后在鱼缸里乱撞，最后跳缸……繁育真是对什么母体来说都伤害很大，以后还是少买母鱼，就算 ​​​ ...展开
看不得角色行动内驱力潦草的故事 人物就是死的 再整个跌宕起伏的剧情那更是雪上加霜 看它那么努力煽动观众情绪就像围观小学生演伦理剧 代入情绪为零 只想着说这是在做什么 ​​​
杀 ​​​
