有点想要这个粉色的杯子！！！
樊振东这么会写，果然是老球迷了，哈哈
@王曼昱  继续拼，相信你、支持你！ ​​​
王曼昱决胜局加油！ ​​​
曼昱今天打得也太好了，一整个爱住 ​​​
这是在干嘛？？！
恭喜国际巨星
congratulations
#樊振东收获德甲首胜#  樊振东！樊振东！樊振东！今晚打得太好了！@樊振东 ​​​
好看！
哇 大家周年快乐 和朋友老喜欢用你们的表情包了
继续为王曼昱加油❤️❤️
支持樊振东来噜#樊振东# ​​​
今晚跟一个陌生帅哥组队打混双我妥妥被带飞了技术好、球品佳还教我纠正了接发球站位的小毛病运动的快乐就是这么简单直接么们女孩子就要过这样的元气生活呀💙💚💛💜❤️🧡 ​​​
支持
以史为鉴
"下个赛场见//@AllForWangMY :王曼昱2-3陈熠（11-9,11-8,10-12,9-11,10-12）//第四局：王曼昱9-11陈熠 大比分2-2//第三局：王曼昱10-12陈熠 大比分2-1//第二局：王曼昱11-8陈熠 大比分2-0//第一局：王曼昱11-9陈熠 大比分1-0"
太blingbling了，我也想要
"Happy anniversary, haha"
#樊振东是首位超级金满贯得主# 去年今日，@樊振东 闪耀巴黎，成为乒坛首位“超级金满贯”。胜利的呐喊犹在耳边，热爱的力量始终滚烫。致敬东哥的坚定与赤诚，愿你快乐向前。 ​​​
恭喜樊振东！一周年快乐
当红不让！
祝樊振东越来越好。
女性力量是乘法！
很开心今年看到曼昱越来越多商务，那我必须支持一下子啦。 ​​​
已经下单啦，支持王曼昱@王曼昱
"Not loud, but proud. Cheers to us. ​​​"
祝你祝我
耶耶耶，王曼昱我们爱你🥰。你打球超好看的！
属于是采访的小彩蛋了
//@樊振东 :有些话藏在心里很久， 只想说给真正热爱体育、尊重竞技的人听。 一路走来，我始终把热爱当作信仰，也努力守护自己的人生。 但那些以“爱”之名做出伤害的人， 他们伤害的，从来不只是运动员本人， 甚至殃及我们的队伍、队友、朋友、家人。 直至今日，我依然无法释怀， 也依然认为，他们不该
维护女性权益
Share ​​​
风物长宜放眼量。乒超见呀，樊振东！
so heartwarming to see this moment!  Wishing Timo all the best for what’s ahead.🏓
天啦 你来啦
叮，下班卡。 ​​​
Repost Weibo
想去 这个b班是一点都不想再上了
恭喜陈雨菲！！娘们要战斗！！
支持樊振东一直打球
振东玩的开心！（这个发型永久好吗，太青春帅气了就是说）
恭喜王曼昱！实在是优秀
永远支持王曼昱 
背靠背耶耶耶
面对毒品，坚决说不！
优秀优秀太优秀！
你太厉害啦苏阿姨！
Repost Weibo
看看我
哇哇哇！听起来
今年生病的频率属实是太高了……弱不禁风的体质啊啊啊😷 ​​​
女英雄
非常喜欢！！
一起拒绝月经羞耻！支持为女性运动员发声的黄东萍！！这次打得超级好
永远为黄东萍高呼呐喊！
强烈呼吁给女运动员合理权益！！
就这个黄东萍！！帅得很 ​​​
脚踏实地、精益求精！恭喜王曼昱
一口气删了相册里的500张照片，真不知道是怎么存下来这么多可有可无的照片的，看来得让自己养成定期清理照片和手机app的习惯。不然256G的内存会一直向往1G的内存 ​​​
樊振东！！
东哥来啦哈哈，刚点开也以为东哥会跳舞
还会支持你噶王曼昱
王曼昱厉害了！
Repost Weibo
Repost Weibo
我的老天鹅，居然是樊振东！！
盼平安！！
接不完的骚扰电话，收不完的涉黄短信
what？……市场监管在哪啊？
太恶劣了……感谢博主科普
ltp啊啊啊
维护女职工合法权益和特殊权益，建议全国推广
所有女性朋友们！妇女节快乐！！
祝我不痛经，健康有活力，不为工作和生活焦虑！
妇女节快乐，每一位女性存在就值得庆祝🎉
Repost Weibo
Repost Weibo
Repost Weibo
恭喜你
替我自己点了
1
心疼，太可恶了，定罪！！！
王曼昱26岁生日快乐啊
生日快乐
"没事哒，好好总结，我们再来。曼昱加油嗷！//@王曼昱球迷会 :曼途长风超话王曼昱0-3蒯曼（9-11,9-11,13-15）//第二局：王曼昱9-11蒯曼 大比分0-2//第一局：王曼昱9-11蒯曼 大比分0-1"
王曼昱，新年快乐呀
菲姐！ ​​​
转发转发，，谢谢博主
过去皆圆满，未来皆可盼。樊振东生日快乐@樊振东
Repost Weibo
祝贺
King of Paris 2024
Share ​​​
从我做起
这个标题，还以为是指出像棺材的人被处理了……这标题起的
感谢王曼昱、樊振东😎
伟大的女性
Repost Weibo
Repost Weibo
