//@踏着雪去洗澡:原盘写女主是男主唯一的信徒。反盘说野良神并没有指明女主是男主的信徒，女主既不是信徒，也不是唯一的信徒，女主只是一个记得夜斗的人。用天官赐福的“信徒词汇”强行套用到野良神作品里。 原盘都是动画漫画跟网文原文，反盘没有一张动画、漫画，全都是那个连“日和是夜斗信徒都不知 ...展开
#墨香铜臭抄袭# 贼喊捉贼这一套，仙人跳玩的很强哦 ​​​
//@-大锤八十小锤四十-:这个链接里有，如何评价《魔道祖师》作者墨香铜臭？ - 蟹籽的回答 - 知乎 蟹籽: 如何评价《魔道祖师》作者墨香铜臭？ - 知乎 //@你娘甜小草:老大，我想要那张就是魔道祖师第一章第一页和霹雳的一个同人文一模一样的图还有她说自己没有任何借鉴抄袭融梗的在作者有话说里面发的那张图
//@地狱笑厕厕厕厕:网页链接我码
//@-大锤八十小锤四十-:回复@卡布叻一墨铜:原来抄袭、撒谎、亲自下次引导大粉撕b叫很好？真不愧是墨香铜臭抄袭粉，墨香铜臭及其粉丝曾经的所作所为 - 大锤八十小锤四十的文章 - 知乎 墨香铜臭及其粉丝曾经的所作所为 //@卡布叻一墨铜:回复@灏水清丶:你不喜欢你就别看，墨香很好！
//@-大锤八十小锤四十-:回复@清梅甜酒_:墨香铜臭抄袭粉，请欣赏下浙江法院网【编号6223】的【袁依楣】，编号【6231】即白衣逆粉丝爆料提到的ID是【少年A】的墨香铜臭的亲友【杨旸】墨香铜臭为什么会退圈？ - 大锤八十小锤四十的回答 - 知乎 大锤八十小锤四十: 墨香铜臭为什么会退圈？ - 知乎  开不开心
//@-大锤八十小锤四十-:对着墨香铜臭这个霹雳老粉抄霹雳原剧视频，标到哪集哪分哪秒，回答下，怎么就她墨香铜臭喜欢哪个霹雳角色，哪个角色的剧情就出现在的小说里，备份：墨香铜臭这个霹雳老粉《魔道祖师》《天官赐福》，抄袭霹雳 - 大锤八十小锤四十的文章 - 知乎 备份：墨香铜臭这个霹雳老粉《魔道祖师》《天官赐福》，抄袭霹雳
光毛加油吃的都是剩饭
//@小猫幂妙妙:隐藏👍🏻网页链接 //@小猫幂妙妙:防范意识一级早开了大家可以再搜搜万能🔗把赞和超话记录都隐藏下
//@-大锤八十小锤四十-:回复@桑小昀:笑死了，墨香铜臭抄袭粉，眼睛不需要就捐了，原来墨香铜臭这个霹雳老粉抄袭霹雳原剧视频，标到哪集哪分哪秒，不存在呢，墨香铜臭及其粉丝曾经的所作所为 - 大锤八十小锤四十的文章 - 知乎 墨香铜臭及其粉丝曾经的所作所为 //@桑小昀:要是真的是墨香铜臭抄袭的话，你自己怎么不 ...展开
//@-大锤八十小锤四十-:回复@若影十三:口口声声不是霹雳原创的，墨香铜臭抄袭粉，肯定能找出与武君罗喉【人名相似+人设相似+剧情相似+配角相似】的小说吗，三个要求不高吧，大众梗嘛，不难为你吧 你不会找不出来吧， 匿名用户: 墨香铜臭的《天官赐福》是否借鉴融梗霹雳布袋戏？ - 知乎 //@若影十三:回复@-大锤八十小锤四十-:有些东西并不是霹雳原创 ...展开
//@代餐墙:🐎//@纸片人bot:码一下
太爽了
我喜欢你老师
没错这就是修帝//@o好哆鱼:没错这就是修帝…… “去往能填补我心之人所在的地方。”
光毛是这样的
萌
物理我要杀了你 ​​​
啥掉同学，这个热度是非蹭不可吗，原排锁乙火了，就去搞。立个鸡毛人设啊，跟我说看不来一本小说，转头又跟别人说自己买了好多那个小说的吧唧，还装抑郁，长得跟他妈张飞一样，要是真抑郁就赶紧去亖行不行啊，留在这ex什么人 ​​​
感觉我就是这样的，平时可以和你开玩笑非常随和，但是如果你触碰我的逆鳞我就会让你知道什么是真正的黑暗 这种就是童脸狼，表面上单纯天真，实际上圆滑通透。你不可能算计得了他，因为从一开始你就被他布局了。他是棋手，而你只是棋子，若你违逆他，你会知道什么是残酷和黑暗。我从来不缺雷霆手段也不 ​​​ ...展开
