#近日# _教资证的福利越来越丰富了！今年领到了音乐会员、免费按摩+小吃、咖喱饭、茉酸奶等等！_跟着同事去摘向日葵🌻、打板栗🌰，一切都新鲜又有趣～_试课了好几家瑜伽馆，最后选择了有冲浪板的一家店，在核心床上抖成筛子的我，居然意外享受汗珠大颗落下的瞬间，希望自己能坚持 ​​​ ...展开
偷快递的人都该死！！！气死我了啊啊啊啊啊啊 ​​​
#这周# 野生鹰嘴桃好好吃椰奶米冰面包还不错好久没喝椰子水啦🥥终于用上了年初买的漂亮故宫书签📚用一周时间看完了《流俗地》，好喜欢银霞，总是忍不住为她欢喜又忍不住为她流泪，她说，“难得木讷是君子，难得静默是良人” ​​​
原来七夕节也叫女儿节～美好的一天从收到妈妈的祝福开始今日七夕，宜勇敢说爱 ​​​
#这周# _种多肉绿植啦_摘野生板栗，第一次吃了生板栗，脆脆甜甜的，好特别_爱上隔夜燕麦！每天晚上想到第二天一早就能吃到刚做的燕麦杯，连睡觉都会变得更幸福_电饭煲也能做麻辣烫_真的很爱吃串串_看上去很健康的果蔬酸奶竟然是风味发酵乳，喝完运动让我反胃想 ​​​ ...展开
#这周# _度过愉快周末和朋友在小家当酒鬼！她调了好多漂亮又好喝的酒，最喜欢那杯“绝对日落”，第二喜欢的是意外兑出的玫瑰啤酒+旺仔～我又做了部队锅，真的好爱吃韩料！微醺的时候，一起看了老电影星际穿越，预期是想边看边哭，结果我们的钢铁心不允许_沉迷邪修做 ​​​ ...展开
#这周# _有在好好吃饭——一分钱买了盒马的新品蛋糕（报吃）五谷丰登馒头看着很好吃，但其实一般般～非常喜欢邪修做饭法，谁发明的用电饭煲热麦芬，同时窝个蛋啊，自制版帕尼尼太好吃了！脆红李好吃！无花果好吃！-世运会当天和同事们一起守着旧电视看开幕式，莫名有一种上世纪八十年代看春晚 ​​​ ...展开
#世运会开幕式#刚刚宣布世运会开幕的是一位女性！外国人致辞时提到了我们女性省长的名字！谁懂我的开心！我们女性就是要站在更高的地方！我们女性就是很牛！ ​​​
#近日# _去看了成都蓉城的比赛～主场氛围真的超级好，球迷们有超多自发口号，“成都雄起”“不踢就滚”“裁判傻逼”…也是第一次看到有门将被罚红牌的，最后2：1赢啦！赛后谢场还有星光演唱会～_全场有40818人观赛，很疑惑成都球迷为什么这么狂热啊，无意间听到隔壁小姐姐说，是不是全成都的直男都 ​​​ ...展开
欢迎收看在韩玩耍vlog～社恐人士尝试配音感觉很奇怪，最后索性把背景音全去掉了旅行的库存终于全部整理好发完了，感觉这是比旅行本身都更耗费心力的大工程，但是记录本身真的充满意义，每次翻看都有新的快乐诚邀大家感受快乐！ Redamancy2426的微博视频 ​​​
特种兵之旅DAY 7旅行最后一天～已经玩不动的我们放弃了济州西线就在街道随便走走也很舒服一路都很幸运的旅行在结束的时候遇到了延误，但也正是延误让我们终于有时间好好翻看照片📷7天很短，短到还有很多美食没吃到美景没看够7天很长，长到已经快记不起第一天出发的激动回想起出发之前，各 ​​​ ...展开
特种兵之旅DAY 6济州岛真的好美！！！打卡——牛岛城山日出峰涉地可支月汀里咸徳海浴场司机师傅的中文说得超好，他也在感叹我们的运气很好，一是天气转晴，二是上岛没排队，三是坐快艇也没排队不过有时候天气过分好也是一种负担…一整天都在海边暴晒，全程都靠冰水冰 ​​​ ...展开
特种兵之旅DAY 6 ——被济州岛的海景美到～ 特意用他的手机发了live图，诚邀苹果用户们一起来感受济州的海🌊🌊🌊
特种兵之旅DAY 5在首尔汗如雨下…经历地铁坐反的窘迫…离开首尔出发济州岛～天气预报突然显示天晴☀，并且又将在我们离开第二天开始下雨🌧这就是被眷顾的感觉吗～真好呀！ ​​​
特种兵之旅DAY 4其实非常疲惫但也是真的快乐！今日最喜欢的行程是在汉江边上边散步边聊天边看太阳落下，风轻轻柔柔的，心也跟着安静。天完全黑了之后，我们随意坐在台阶上，聊天南地北，最后聊到了农耕文明和海洋文明。“农耕文明让东方人沉稳内敛，海洋文明让西方人热情澎湃。”“可是看着 ​​​ ...展开
特种兵之旅DAY 3旅途的意外发生了…在青岛留下的痕迹是就诊记录hhh但也还是很快乐～希望接下来一切顺利  ​​​
#孙燕姿就在日落以后巡回演唱会##孙燕姿青岛演唱会# 我从初中或者更早时候开始喜欢孙燕姿，在不能带手机的寄宿学校里，mp3里下载满了孙燕姿的歌，熄灯之后是她的歌陪我入眠。初中班上的每个同学都知道我喜欢孙燕姿，当时每次年级大考我都会买一瓶她代言的冰红茶，很偶然的，每次我都能考第一名，于 ​​​ ...展开
特种兵之旅DAY2才旅行第二天就已经累了……用Plog记录为什么10点刚出门，而13点过我们就决定结束今日行程了……Anyway，希望晚上的演唱会，我俩能像打了鸡血一样 ​​​
特种兵之旅DAY 1太太太太喜欢青岛啦！！citywalk超舒服～天主教堂很美～栈桥人巨多也是真的很好看～金茂湾日落绝了～夜晚海边散步很惬意～吃了很多美食，快速剪了个小视频做总结～一句话总结今日——一起看日落的人比日落更浪漫 ​​​
在出发之前，清一清近日库存～看到了很有创意很感动的影子戏节目！而我们表演的节目是植物大战僵尸……15元一个的冰淇淋刺客腻得吓人去海底捞给朋友过生日啦遇到一车猪猪一个月后的复健dance遇到bp的新歌jump希望接下来的几天都不要下雨， ​​​ ...展开
#这周# _和妈妈去逛万象城吃黄油年糕试漂亮裙子_打卡何大九全牛串串，网红店的串串果然不好吃，大众点评推荐的多肉花卷也非常一般_没见过几次面的远方侄女侄儿莫名其妙地很喜欢和我聊天，给他们两个小挂件的时候，特意跟小女孩说，要好好读书走出农村去看更大的世界，她眼睛亮亮地看着 ​​​ ...展开
吃甜食真的是分泌多巴胺最快的方法今天心情非常非常不好💢💢💢刚刚出门买了一个小榴莲一路走一路猛炫每吃一口都在感叹好好吃现在心情非常舒爽有种原谅全世界的感觉世界不能没有甜食 ​​​
#这周# _很久没有自己做意大利面吃了，好吃～_逛泡泡玛特被这组娃娃吸引，喜欢“不可驯服”和“不止可爱”_去茶山超好喝！是每次都能被惊艳到的那种好喝～_周末去吃了一家很好吃的日料，三文鱼真的太太太肥美了，鹅肝吐司和蘑菇也很好吃，是想立马二刷的美食_和姐姐们 ​​​ ...展开
工作快两年了，我已经完全学会不去为工作的忙碌和困难而难过伤身了。但是遇到傻逼同事还是完全忍不住我的愤怒！！！什么都不会做的话为什么要来工作！！！什么都不会还不愿意学只会做伸手党的人为什么要来职场祸害人！！！😠😠😠😠😠😠 ​​​
#近日# _日本留学的好朋友回国点名要去吃烤匠，比起烤鱼，我还是更爱他家的芝士焗红薯_第一次去面包节好快乐！好多好多可爱好吃的面包，终于吃到了想吃好久的燕麦抹茶脆墩墩，最后和撩曼把买的战绩放在后备箱拍了一张hhhh_爷爷不泡茶的荔枝冰酿一般般，树夏一如既往地好喝，村上手艺人 ​​​ ...展开
