#石凯眉钉#真的好帅！！ ​​​
期待石凯！！
期待！！
#石凯Lost Control#🧩#石凯#”~💙💚
期待！！
“#石凯云海在唱歌实体专辑#🌊#石凯#”~💙💚
“#石凯晚安早安#🔅#石凯#”~💙💚
“#石凯暗流#🌐#石凯云海在唱歌演唱会#”~💙💚
“#石凯一些#✨#石凯暗流#”~💙💚
石凯超话 ✨#石凯云海在唱歌#✨#石凯的星系观测手记#✨“对你的爱像循环播放的电影 从未停止”𝐋𝐨𝐯𝐞 𝐟𝐨𝐫 𝐲𝐨𝐮 𝐢𝐬 𝐥𝐢𝐤𝐞 𝐚 𝐫𝐞𝐜𝐮𝐫𝐫𝐢𝐧𝐠 𝐦𝐨𝐯𝐢𝐞 𝐭𝐡𝐚𝐭 𝐧𝐞𝐯𝐞𝐫 𝐬𝐭𝐨? ​​​ ...展开
石凯超话  sk#宝藏男孩石凯# sk#石凯的星系观测手记# ＂希望如约而至的不止是春天，还有你.＂ℐ 𝒽ℴ𝓅ℯ 𝓃ℴ𝓉 ℴ𝓃𝓁𝓎 𝓈𝓅𝓇𝒾𝓃ℊ 𝒷𝓊𝓉 𝒶𝓁𝓈ℴ 𝓎ℴ𝓊 𝓌𝒾𝓁𝓁 𝒸ℴ𝓂ℯ 𝒶𝓈 𝓅𝓇ℴ𝓂𝒾𝓈.@石凯KAIK ​​​
石凯超话 sk#石凯演唱会上海站官宣# 秋光缠绕诗的半截 落下枯黄的叶 定格爱的瞬间@石凯KAIK ​​​
石凯超话  sk#宝藏男孩石凯# sk#石凯演唱会上海站官宣# ＂是寒冬里绽放的白梅 是骨骼里不枯的玫瑰 是我永远的热爱🦋.＂𝓘𝓽 𝓲𝓼 𝓽𝓱𝓮 𝔀𝓱𝓲𝓽𝓮 𝓹𝓵𝓾𝓶 𝓽𝓱𝓪𝓽 𝓫𝓵𝓸𝓸𝓶𝓼 𝓲𝓷 𝓽𝓱𝓮 𝓬𝓸𝓵𝓭 𝔀𝓲? ​​​ ...展开
石凯超话 七夕节快乐！@石凯KAIK ​​​
石凯超话  sk#宝藏男孩石凯# sk#石凯maybe one day# “星辰晦暗 风总在迷茫中狂野 少年借着星光成长” &quot;𝓣𝓱𝓮 𝓭𝓪𝓻𝓴 𝔀𝓲𝓷𝓭 𝓸𝓯 𝓽𝓱𝓮 𝓼𝓽𝓪𝓻𝓼 𝓲𝓼 𝓪𝓵𝔀𝓪𝔂𝓼 𝓲𝓷 𝓽𝓱𝓮 𝓬𝓸𝓷𝓸𝓾𝓽𝓱 ? ​​​ ...展开
"石凯超话  ✨#石凯一米八二阳光开朗大男孩#  ✨#宝藏男孩石凯#“落笔写下的日记被时光掩埋 我的光跃出同我跳支舞” &quot;𝓣𝓱𝓮 𝓭𝓲𝓪𝓻𝔂 𝓘 𝔀𝓻𝓸𝓽𝓮 𝔀𝓪𝓼 𝓫𝓾𝓻𝓲𝓮𝓭 𝓫𝔂 𝓽𝓲𝓶𝓮, 𝓪𝓷𝓭 𝓶𝔂 𝓶𝓮.&quot; ​​​ ...展开"
石凯超话#石凯南京演唱会# 演出顺利！ ​​​
文韬Stefan超话  🍑#‍全世界最好的文韬# 🍑#文韬密室大逃脱大神版#“一帆风顺不算成长 我要你逆流而上” &quot;𝓢𝓶𝓸𝓸𝓽𝓱 𝓼𝓪𝓲𝓵𝓲𝓷𝓰 𝓲𝓼 𝓷𝓸𝓽 𝓰𝓻𝓸𝔀𝓽𝓱. 𝓘 𝔀𝓪𝓷𝓽 𝔂𝓸𝓾 𝓽𝓸 𝓰𝓸 𝓪𝓰𝓪? ​​​ ...展开
石凯超话  sk#宝藏男孩石凯# sk#石凯maybe one day#ᴹᵃʸ ᵉᵛᵉʳʸᵗʰⁱⁿᵍ ʸᵒᵘ ᵐᵉᵉᵗ ⁱⁿ ˢᵘᵐᵐᵉʳ ᵇᵉˡᵒⁿᵍ ᵗᵒ ʳᵒᵐᵃⁿᶜᵉ. 愿夏天遇见的一切，都是属于浪漫的刚刚好@石凯KAIK ​​​
"石凯超话#石凯一些##石凯晚安早安# 繁星之下盼晨曦，黄昏之后思蝉鸣，皎月清凉你是我的方向. 𝓛𝓸𝓸𝓴𝓲𝓪𝓼 𝓪𝓯𝓽𝓮𝓻 𝓭𝓾𝓼𝓴, 𝓽𝓱𝓮 𝓫𝓻𝓲𝓰𝓱𝓽 𝓶 ​​​"
#石凯方发声明# #石凯律师声明# 支持维权！！
不信谣，不传谣
支持✊，清者自清✊#石凯发声#
文轩超话  🐺🐟#文轩 专属偏爱#＂浪漫定格在瑰海中，永不落幕爱意四溅.＂ 𝐑𝐨𝐦𝐚𝐧𝐜𝐞 𝐢𝐬 𝐟𝐢𝐱𝐞𝐝 𝐢𝐧 𝐭𝐡𝐞 𝐬𝐞𝐚 𝐨𝐟 𝐫𝐨𝐬𝐞𝐬 𝐚𝐧𝐝 𝐧𝐞𝐯𝐞𝐫 𝐞𝐧𝐝𝐬.「图源水印」 ​​​
"文轩超话 🐺🐟#文轩 世界第一甜#“你与明月都好看，皆是人间浪漫” 𝐘𝐨𝐮 𝐚𝐧𝐝 𝐭𝐡𝐞 𝐦𝐨𝐨𝐧 𝐚𝐫𝐞 𝐛𝐞𝐚𝐮𝐭𝐢𝐟𝐮𝐥, 𝐚𝐫𝐞 𝐫𝐨𝐦𝐚𝐧𝐭𝐢「图源水印」 ​​​"
