#画一朵小红花捐一片卫生巾##38大小孩俱乐部宠爱计划#  ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添安康#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添开心#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
最近光顾的饮料铺左上角的纸花 很有古早味儿 ​​​
怎么会有那么多的无奈和烦恼 ​​​
还是要想苦中许多甜 下班到家前看到了 有一朵云像小熊的耳朵 ​​​
开始体会到小伙伴说的做了BP真的会不快乐这个点很多的不确定性，就连认识多年的朋友刚才和你发消息还是在看公司有没有培训预算，能有合作只能劝自己切换视角周五晚上了 不了工作了 ​​​
这只铅笔✏️已经不记得是多久之前的物件了，那么多年一直跟着我，也在偶尔使用。偶尔翻到萌生欢喜 像一个老朋友  ​​​
下班路上听些不一样的 ​​​
两年半了才理机米姐当年离职之前的话 多年leader走心之语，不与欺也。感谢kk妹妹的特调  ​​​
加油加油
回忆杀
当有人说你不行时 不是你真的不行，而很可能是你获利不符合他们/她们的利益，一个培训人才发展经理不会上核心课程。公司说没关系 给你招个下属她却对内部竞聘的同事说 这个岗位很重要的 要求很高的。which 只是一个第三方的职位。呵呵哒#上周五听前同事妹妹讲故事有感 ​​​
带着我的行囊开启了新公司的第二个半天版的workshop借着对DEI的诸多讨论 聊了很多体验因地制宜，相信大家的智慧 ​​​
干净
真好。致幼年的自己
一杯冻柠茶
那么多纷纷扰扰。 很像五月天的《疯狂世界》
真的是长时间没有听东南亚人讲长时间做presentation了。听的更困怀念当年在飞家做Talent Parnter期间的global team ​​​
#520对我来说只是普通周一# 真是个有趣的遭遇 转发了一张图 被jin了那么没有盐轮自由 是想让大家都润嚒？ ​​​
可可爱爱
周六早上第一次睁眼是5:30 有朋友连发三条消息 帮所谓的其他朋友问美容 医美的内容…我真的会谢也应该反思 我朋友怎么会如此不为我考虑 ​​​
开卷有益
和同事姐姐一起午餐后特种兵准备返航 ​​​
我真棒微习惯打卡  ​​​
当年妖妖推荐给我的歌 一直很喜欢
今日最佳：徐志胜男人最好的医美 ​​​
不要给人生走戏 不要给糟糕的事情赋予意义。#今日学习# 来自播客 ​​​
“长大了，就要学会，心平气和的面对各种兵荒马乱，心狠手辣的解决各种刁难。光善良没有用，心软也没有用，哭更没有用，你要强大你自己。”                                        ———  杨绛 慢慢修吧 ​​​
#bilibili# 小三爷yeah的视频 ​​​
#bilibili# ZXD路的视频 ​​​
从小伙伴那里get到了一个可可爱爱的学外语小工具 ​​​
#bilibili# 黄简妮的视频 ​​​
很多时候 就突然悟了之前的死死心塌地不计回报的为组织为部门 特种兵出差，加班加点。终于在两年都没有吃到饼，也没有吃到饼上的芝麻时，忽然就醒了。早些醒也比晚些醒好，有些舒适圈还是要趁着不那么晚 突破看看。#有点痛的领悟# ​​​
#温暖# 补记生活中的小美好昨天下班发现早上的口罩被自己弄丢了，于是乎向公司的相熟的阿姨讨一个口罩，阿姨爽快答应，并取出了好几个可爱的口罩给到我。我很感激，阿姨还顺势说“小姑娘，我很喜欢你哒”好感动 ​​​
//@花呗:我也是！俗话说得好，吃好喝好长生不老～你们有没有好吃的小零食推荐？刚吃完晚饭又馋了
