你终会厌弃我无法洗去的悲观 ​​​
独立 平静 放宽心 ​​​
讨厌一切没有边界感的人！一切！ ​​​
拆盒悬念，精彩上演！我拆到了#loopy#系列【普通款】主页皮肤装扮套装，快来一起抽取专属于你的幸运装扮盲盒吧！SSR交换站超话#SSR交换站##稀缺装扮##微博会员# ​​​
直到我们不会再见面 我才体会到什么是永远 ​​​
今年夏天没有苗条的身材和漂亮的衣服还是会有点难过 不过没关系 因为我要当妈妈了 ​​​
你已经长大了 可以从童年那场大雨里走出来给自己撑伞了 ​​​
常常想着自己能够独当一面 却永远是个遇到事委屈到掉眼泪的小孩 又时常在睡不着的夜晚里想着过去的对与错 我盯着天花板思绪飘到了好久以前 窗外是静谧的夜 里面是一个孤单的小孩 ​​​
