难以接受，避重就轻，隐瞒真相
男司机
男司机，人家被害人还走在人行道上
//@麦卡PU10P:所以说，杨同学是在救人。不然迟早有一天肖妈擦屁股的类型要拓展到处理校内交通肇事//@lost爱弥儿:想起来肖某今年校内超速八次，万幸没出事
//@_Reno_挚爱FF:三个月后提交湿疹报告//@雪球补充道:太阳刚了吧//@小喵喵喵美美:线上：用女号，装女人，给女人泼脏水。  线下：穿女装，装女人，给女人泼脏水。  横批：“阳刚之气”
早日平安回家
有人挑起对立
//@我见青山多可笑:官方打假来了。 查看图片
//@用户7969192149:独生子女zc的直接目的不是男女平等，就是人口太多了，资源不够社会压力大，所以要急忙刹车控制人口。它客观上造就了男女平等的推进，但不代表其主观意图。东北推行好，很大部分是因为当时工业化程度高。像河南，脱离不了种地，工业化程度低，独生子女zc阻力非常大，最后的效果当然也 ...展开
//@幸运的小五上海:自我以上阶级平等，自我以下阶级分明。精英男日常贬低自我以下，但帐还是算的很清楚，底女跨越阶级后还能用性别歧视压迫，总比底男跨越阶级好拿捏，所以他们对底男更严防死守//@_Reno_挚爱FF:还有人没听过力工思维，我给补到图3了，最近男性圈子都在聊这个，一个男博主发明的，还有 ...展开
这不跟历史上常常发生的经济不好先打压女人对上了吗？真传统啊
//@_Reno_挚爱FF:啊？//@_轻成一只飞燕_://@xQ7mL4z9:掏学值得我们反复研读，常看常新//@用户8018157528:好笑😁//@麦卡PU11P:之前看过这个传闻，不知道湿疹，不，是真是假。如果是真的，其实再给他一次机会，希望他知道可以用其他理由的，比如解释说自己犯了湿疹，用瓶口止痒一不小心滑进去 ...展开
//@费加罗夫人:（引用来自《凯列班的女巫》）长达三个世纪的猎巫运动覆盖了文艺复兴和宗教改革时期，这时期人口危机/政治危机/信仰危机三大社会危机，让女性多生育（流产/避孕的草药配方等被列为巫术）就成了解决危机的一揽子方案，女性被逼迫退出社会化分工/减少流动，固定在家庭和生育的功能上。
受伤的是我
//@发呆的樱桃君-:全社会厌女妥妥的。。。。。//@赫敏在逃卷发棒:我基本上每一次的态度就是“这还不骂？”（男方）“这也值得骂？”（女方）
#官方通报女乘务员拍肩乘客称力度太大#哇哦，恶人先告状啊 ​​​
//@卡卡布拉啧:“捷径”？只在出苦力方面和男人平等了。家庭内部权力结构毫无改变，会后退也和这个没变有关。分利益方面更是扣扣搜搜，如“十万女兵齐卸甲”以及宅基地不分给女人。多出利，没获利的按社会主义观点是剥削啊//@_Reno_挚爱FF:这就是我一直不太明白，为什么要吹别人好，要学别人，把自己说 ...展开
一个毫无科研成果且无社会影响力的人说不认同还要求别人也一起不认同显得如此可笑。说现状就是“混淆黑白”“打击敌人”，你是会扣帽子的你的现实理论呢？没有。只会搞个“性别本质主义”的帽子批发。//@介错人_藏宝猎手_戏法师日玉:社会现实和生物学成果是可以被注入、迁就立场甚至创造立场的， ...展开
一个不承认生物学成果也认不清社会现实的人所说的讽刺没有意义//@介错人_藏宝猎手_戏法师日玉:完了，到现在都看不出来我在讽刺顺性别社会恐跨逻辑本身就是模糊底线标准和作茧自缚的//@卡卡布拉啧:你是承认了基于染色体的性别差异客观存在，且随意更改存在未知不可控危险喽// ...展开
你是承认了基于染色体的性别差异客观存在，且随意更改存在未知不可控危险喽//@介错人_藏宝猎手_戏法师日玉:你要知道折腾自己疑似是很多人闲钱多的红人的一个癖好，但是基本没什么嘉宾敢冒着这层“挑战风险”拿有触及性别方面的东西纯当玩具消费，我暂且蒙在鼓里//@卡卡布拉啧:因为没有需求，人家也没要 ...展开
装外宾就没意思了//@及川彻的梦幻之逼: 普通男人的特权是啥//@卡卡布拉啧:是滴，和一个普通男人一样的特权//@及川彻的梦幻之逼:啥？不是你在渴望特权嘛//@卡卡布拉啧:呵，和男的一样只是想骑在女人头上。你做梦//@介错人_藏宝猎手_戏法师日玉:既然选择了从它的痛苦里完成自我，就不要再抱怨自我在它痛 ...展开
农村只给他们分田地、宅基地。城中村给他们更多的补偿指标。高考一些专业以及公务员事业单位考试和企业招聘降分（要求）录取。父母只给他们买房，升职加薪先紧着他们。还有多了几千万男人。//@及川彻的梦幻之逼: 普通男人的特权是啥//@卡卡布拉啧:是滴，和一个普通男人一样的特权// ...展开
因为没有需求，人家也没要改啊。和“整容能治容貌焦虑”有异曲同工之妙。反正医院挣钱，你们开心双赢的事，至于对身体有什么损害，谁都不关心。最后那个问题不是你们强烈要求做手术吗？//@介错人_藏宝猎手_戏法师日玉:“还告诉了你们不可更改”，那主流顺人们为什么不去做呢，不是没有更改吗？还“疾病 ...展开
