今日日记本来给了自己十天假想要远离家里的环境（出发前一天睡眠5个小时）在成都的第一天晚上，跟我说睡觉，然后两个人在回忆过去（睡眠5个小时）在丽江的第二天，跟我说a不靠谱，受不了在香格里拉的第一天 打电话跟我说，受不了a不靠谱了，不确定什么时间走，要晚上聊一聊，确定搬走的时间。（睡 ​​​ ...展开
小学：周国琴 罗林初中：胡建霞 高中：马壮 张赛男 周志慧 付立鑫 大学：陈佳欣 刘雨晴 师阿燕现在亲密关系：程 ​​​
今日日记：成长的课题主要是靠自己，其她人都是辅助。现在所产生的情绪，（背后是一直以来的不被满足，想要得到更多的满足）目前自己的行为并不能导向我想要的满足；人在被认同的时候，被理解的时候，心情会得到缓解。在描述自己希望对方做什么的时候，先肯定对方目前的行为，再想去提想要更多 ​​​ ...展开
就是降低期待，自己满足自己的需求 ​​​
不过度解读他人想法，学会拒绝把自己需求放在第一位 ​​​
今天日记：遇见了一个91年的小姐姐，天蝎座 isfj给我的感触就是：我们对很多想法都很共频小姐姐是之前一直从事运营工作，去年换行业到保险，换行业最大的感触是：不那么内耗了，周围环境对自己是有正向反馈的，现在的状态也会比之前工作时的状态好，对于未来，是可以按照一步一步的目标去实现的。 ​​​ ...展开
以前好像也没有那么在乎，需不需要得到回应，自从懒得开始写小作文开始，情绪越来越多需要靠外界去排解 而不是已自己去想通（有些不敢翻阅从前的一些想法，不敢直接去面对曾经的自己，还是有些胆小懦弱。自己认为自己变强大了 其实是更加懦弱了 不敢面对真实的自己，一直在隐藏。）哪有那么多感同身 ​​​ ...展开
真是受不了墨迹的人，你想干啥干啊，来回嘴上说也不行动墨迹死了 ​​​
搞背刺真的太离谱了 ​​​
日常下头，好人好事好话都让你说了，整的我多不懂事 ​​​
