看到报备的帅脸一天心情都是好的 ​​​
什么时候再出现值得我花钱算牌的人？ ​​​
我测要不是怕留痕迹真的想打锁骨钉。。。。谁来懂一下 就是中间那里 ​​​
谈一下别管了 所有发给我的只给我看的我都收藏里 ​​​
好甜蜜//@guidetoiceland:专门截图最后一张素......？
不好意思又遇到真爱了 ​​​
老子不行了//@评论罗伯特:那咋了，找185聊聊天，也是生活小确幸啊
我就喜欢和不同的185聊天那咋了 ​​​
我真不行了这比学上得我好想哭 ​​​
天才是我啊 我恨的媚男女真4全家了//@我最讨厌理科:骂到这里我是真正地笑疯了 查看图片
一到周日晚上就焦虑得睡不着于是开始和朋友疯狂蛐蛐人。。。。更睡不着了@我最讨厌理科 恨你 ​​​
我希望我也能成为独立能干越来越好的人 ​​​
胖猫粉下去陪胖猫不好吗。非要在这里折磨别人
老子服了老子想吊的全都没点赞一坨屎缠着我是什么意思啊 ​​​
6666666
好痛苦 ​​​
好崩溃 ​​​
不是大姐你怎么又。。。 ​​​
这个185富二代到底喜欢什么类型。。。。急死我了。。 ​​​
我太害怕了 怕的不敢入睡 ​​​
@互联网小狗队长复活版
为啥我这么废啊每次喝多一次都得缓3天 ​​​
//@小奶球:歪个楼，为什么我身边也有很多男的都在欠债让家里还钱，女的极少我身边目前没有一个……
终于看到李小鹿发了这个 爽死我了
最讨厌听到下次来找你这种话了 哪里会有下次 ​​​
这个世界真的存在双向奔赴吗我靠？到底要怎么做 ​​​
对不起我急了我要主动出击了 ​​​
//@你知道我要说四个字母:这27w多人智力筛选是不合格的
遇到喜欢的人只是想把他拴在身边罢了！ ​​​
我老是在该留下来的时候跑回家 ​​​
后悔了。 ​​​
我崩溃了我真的不喝酒了 ​​​
//@求求你了我要放假:男的总是把女人之间的关系简单的归结为嫉妒，认为女人之间除了身材长相恶意竞争之外没有别的情感，没有别的关系是吗？这就是不把女人，当人来看待
卧槽脑子才清醒 喝多的时候怎么烟都会抽了。？？ ​​​
刚和新行情玩完一天转场新crush就很照顾我说要送我回家 幸福死了 ​​​
笑晕了
//@包子云mm:他长啥样重要吗？重要的是15岁肯定就是个小孩啊
我开始相信想念是相互的了 上次聊天都是去年12月了……我收到这个信息要吓晕了 ​​​
5个小时才打完A本 剧本杀真的考验耐心 ​​​
喜欢
笑疯了
太宠了//@Last_Nite_in_Room_505:李小鹿史诗级宠粉的一集
//@浮月骨桑:不小心撒了一泡尿但是却要说女人的月经可以憋住
男的吃点屎收拾收拾去死吧
我滴老天爷啊 怎么不和一些人纠缠过后男人如流水……这么多……而且我属于0社交的那种 惊人。。。只能说 人为自己而活就会吸引别人 ​​​
我属于是梦到谁爱谁 ​​​
4年了 偶然发现备忘录文件夹还是你的生日 ​​​
我知道 是不是因为我的queen sized bed 只有queen能睡所以旁边没有一个185帅哥 ​​​
他妈的来姨妈流血都能流死 昨天流到差点在学校厕所睡过去（一直特别特别困眼睛闭上 可能是要晕过去了因为上次来姨妈很难受的时候也这样）难受得坐了快2个小时 吃了泰诺没用吃了布洛芬才活过来 活过来的那一刻感觉世界好美好 有种劫后余生的感觉 ​​​
每天躺在床上听着歌重复几个想法 （）自己 喝酒 抽（） 还有（） 我知道这听起来很蠢 但是躺着的时候 就想逃离一下现实世界 不过什么都不会做的 想想而已嘎嘎嘎 我不闲我很忙 不是作业太少的原因 ​​​
一周一杯 我就开始画画 ​​​
真心祝学校保安早4 ​​​
冬天我不喜欢你。因为穿的厚拍照不好看
//@顺直绞杀者:老中人的温良在此刻体现的淋漓尽致
感觉现在已经是顶级淡人了而且没有任何分享日常的欲望和习惯 他总是问我为什么起床不和他说 不是为什么要和你说啊！还有其他人也是开始跟我分享日常我就觉得完蛋了 就开始已读不回了 我不喜欢这样 ​​​
//@悬谷子:就这样旁若无人地起来
我就这样和朋友蛐蛐人以及规划旅游 ​​​
To:我讨厌的人：“（）（）小气鬼”“算了，（）（）撞大运”                                  ———大运汽车 ​​​
我滴老天爷啊笑死我了//@六沅一斤梨:这个男的多久给哪吒贡献点票房再来国内营销吧……不然就少来刷存在感 没人在意
//@赛博痔疮:看到女的去国外读书就开始触发关键词了女的干啥都能让一些人急死
倒放挑战真的好玩 让我想起了之前去日本和朋友玩的猜音乐 ​​​
我就这么爱看这哥 睡醒了看睡前也看 恶心也要看 我还爱特我朋友去看 ​​​
不是哥们 我梦里还能和人开玩笑呢 我问Leo哥what’s the thing scares u the most? 大哥还能回答besides u? 我他妈服了 我也是癫了 ​​​
到底怎么把5小时睡成8小时
每周二周五早上8.30固定辱骂老师 ​​​
笑死我了我操
尼玛啊啊啊啊啊啊啊啊啊
//@ShinyCaster_:难道不是杀人＋吸毒数罪判罚而是长期吸毒神志不清可以减刑
//@马加爵的妈妈:现实打飞机两分钟就累了
我巨他妈讨厌临时约的男的 ​​​
突然觉得 警犬这个名字听起来只是警察的附属品or所有物 但是如果叫犬警的话 就是真的是小狗警察的感觉 ​​​
每天晚上都睡不着我的天呐搞得我晚上不敢睡了只敢下午睡一会 ​​​
吓晕了
//@Leklchenn:嗯//@江南大野花:瑟瑟发抖//@清狂Aling:哭了//@万事屋纸纸酱:真的//@鹿巻://@桐谷家小企鹅://@艾德爱德埃德://@很烂的番茄炖牛腩://@起司鼠卷://@想要飛往宇宙盡頭_://@开心果茉莉喵://@原味炭烤布丁:到后面就不敢随便说话了
我的老天爷啊看得我鸡皮疙瘩真起来了
我不行了//@Aprs00:dick sick
恐怖异性恋吃点屎去吧
//@rowvena:单休的国人眼里光芒万丈
一想到动画电影赚得再多外包公司的牛马拿得还是低低的没有任何分工的死工资还要被折磨得头发都没两根就觉得好黑暗啊这个世界 ​​​
对我就是聪明的小笼包//@评论罗伯特:成熟的小笼包，懂得细嚼慢咽，不再轻易吐露馅儿里的秘密
我是真成长了。。。再也不会口无遮拦…… ​​​
难受
//@喂我真的不想学医:一帮脑残
上个日语课让我厌蠢症严重 ​​​
太美
//@贝果收藏家:男的就这样
我也从来没有这种感觉 不够就是不够 别跟我扯什么极端
我笑吐了@我最讨厌理科 @AITHRA @互联网小狗队长复活版 //@围墙之外会有蔷薇小姐在等我吗:萧楚南，魏乐道观，湘乡里，亥亭风赋
我要发力了 闭关学习📖一学期我一定要努力努力 ​​​
萌死了卧槽
如果幸福是隔壁班一周只来一次线下下午的课 那我就是同样课题的班但是每周2次线下早9还要坐在这里无所事事3个小时老师鸡毛也不讲非要我们过来坐着画画的贱人 ​​​
//@我的cp回来了:这话术已经锤了
笑晕了//@温森不喜欢早起:我只有一个问题:就是当航班飞过山东上空时女性要不要收起座位上的小桌子？//@黏性曲奇藥果:什么时候进行到着汉服坠高楼
//@小奶球:#做爱与和平#//@JwiabxfGSmowVYnsuz:意思是新增栏目：#爱与和平#
以前以为自己的悲伤都是社交不够造成的 社交多了整个人更犯恶心了而且很浪费时间 虽然确实没这么无聊了微信bilibala 响 但是0个人是我想回复的 别他妈天天问我为啥不理你了 我真不知道为啥一定要回 ​​​
//@了了又遡了:怎么跟猪一样卧槽啊//@恋钞脑:一天到晚吃做睡
Wcnm没吃过屎的可以看看这篇
果然还是不喜欢和陌生人聊天啊 ​​​
//@__人不爱美天诛地灭:你这14天到底存了多少💩
我就是那种刚说完要发奋图强然后吃完饭直接犯食晕用一种很诡异地姿势马上昏迷在床上然后被吵醒的时候发现天已经黑了的那种人。 ​​​
