收
一日三城，游玩、工作、应酬、沟通，拉着行李箱乘坐火车、飞机、汽车……满洲里两日，套娃景区、国门打卡，工作圆满完成海拉尔只停留半日，工作应酬晚上到达哈尔滨明明才工作了三天，感觉过去了三周 ​​​
民族自信//@杨紫:跨越千年 品味芳华锦绣❤️希望有更多海外朋友来看中国电视剧 感受传统文化之美～
先转，回家再看
我们积蓄能量，我们从头来过
杨紫超话#杨紫已经三次陪跑白玉兰# 杨紫有实力傍身，早晚有一天一定会拿到属于自己的荣光。我会陪着你一起见证……何惟芳周一见啦#杨紫何惟芳# ​​​
#何惟芳如何呢又能怎宣传片# 
收到何惟芳祝福，杨紫享受今晚
好好好好，何惟芳终于来啦
金疙瘩来啦
共赴锦绣芳华//@杨紫:#锦绣芳华灯火长安预告# 渡自己渡万民，何惟芳义不容辞！#锦绣芳华#
//@佑菓:当白玉兰的提名名单第三次写下“杨紫”的名字，这朵从童星光晕中生长出的“演技之花”，早已在角色的淬炼中绽放出独属的锋芒。入行28年最年轻的小戏骨杨紫三提白玉兰，连续两年提名视后，杨紫早该得奖了！我是观众我支持并重点期待优秀又努力的杨紫在第三十届白玉兰拿下白玉兰视后！  ...展开
一周美食 ​​​
打卡日月山→青海湖→茶卡盐湖这辈子没吹过这么狂野的风我这体格，都能被风吹着跑司机师傅说，车门打开的时候要拉着点，风大会吹跑车门和我的同事们在风中互相搀扶着、挣扎着……帽子被一次次吹翻，已无法遮掩三天没洗的头颅，吹吧吹吧，就当给头发定型了……好心态决定好心情 ​​​ ...展开
杨紫杂志采访  ​​​
缅怀//@杨紫:#5121428#缅怀逝者，致敬重生，勇毅前行！
#杨紫果子熟了无糖茶全球品牌代言人# 果子熟了无糖茶
太棒了吧
拍摄顺利，全体演职人员平安健康归来
白菊白菊//@就早日退休呗:#杨紫白菊# 经幡摇曳，听得见@杨紫 白菊内心的声音。褪色的旗帜，在风里讲述坚守的悲壮。正义不仅是信仰，更是身后的雪山大地。每一个黑暗与光明的交织的时刻，都是白菊的无畏前行。生生不息，且尽我生命之山，亘古长青。期待@杨紫 白菊🌴#杨紫生命树#
静待破土#杨紫生命树# #杨紫白菊# 
#杨紫白菊# 好看好看
#杨紫白菊# #杨紫生命树# 
紫明天来青海，我明天离开我还会回来的
#心动榜官宣代言人杨紫#
家业发发发火火火
151天这么快过去了，与杨紫一起，又陪着一个新的故事杀青啦。期待与李祯的相见，关注墨文化
真有李祯制墨小视频啊
李祯制墨全过程小视频发来看看//@杨紫:#家业首支片花# 千难万险，李祯守制墨初心不移！#电视剧家业#
晚安喽
祝紫妹在无数个选择中走向自己，无所谓意义，祝你是你，永远热烈 如风自由！ 等李祯杀青
西宁的第二周 ​​​
致敬先烈//@杨紫:#清明节##家国永念#致敬先烈，吾辈共勉！
我曾经喜欢的男演员和我家紫儿双厨狂喜坐等官宣
早八的乌鲁木齐再见！希望下次再来，不是因为工作 ​​​
喀什，即将结束新疆的面食真的好吃……过油肉拌面、辣皮子拌面……还有一堆没记住的面条名字……烤串也好次这个季节，晚上9点天还亮着，夏天日落得到12点了，刚适应过来的时差，回家还得调熬夜圣体适合的省份，也适合吃不胖的人天天大半夜出去干饭 ​​​ ...展开
哈哈哈哈哈李祯带我
宋征也是非常灵动呀
还是城里好，城里人多车多饭店多有一种刘姥姥进大观园的震撼感明天喀什接着进村据说满天乌鸦 ​​​
离开五家渠，前往乌鲁木齐中转，再去喀什记录在五家渠炫的饭 ​​​
#中国台湾省# //@杨紫:#中国台湾省#台湾必归！
李祯在黄山
#杨紫apmmonaco全球品牌代言人# 太好看了吧紫啧
#杨紫直播#
#杨紫丸美全球品牌代言人# 官宣就下单
#杨紫丸美全球品牌代言人# 
先存
去年期待的雪，这次看个够了 ​​​
