#想飞的女孩导演直播崩溃#朋友上周去看了这部电影，回来直骂很垃圾，直呼浪费40多元的票钱！很好奇到底会有多难看呢？现在发电影都这水平了吗？ ​​​
#余生请多指教开播3周年#今天在家打开电视，腾讯视频选择余生请多指教开始三刷，不知道开播三周年，有点巧～～ ​​​
#金秀贤承认与金赛纶恋情#真是服了，一个韩国艺人天天上国内热搜！关注这些烂事真是闲的没事干了～～ ​​​
#射雕英雄传为何今天仍能触动人心#郑州市也算一线二线城市了，可射雕英雄传侠之大者今天所有影院的排片不是早上就是晚上的，而且排片场次很少，有的就一场还是最早或最晚，几乎很少黄金时间段的场次，作为路人想去看选个时间段选个场地都很难！这是为什么呢？ ​​​
大年初一开始闯江湖！
#徐克选角#永远相信徐克选角的深度！ ​​​
第一次在微博里回骂这个混蛋玩意儿，他把我当成了粉丝，我真不懂粉丝语言，从今天开始，我得熟悉微博用语，这个孙子，你等着我，我记住你了，我会再找你！ ​​​
#肖战冬至晒了三个饺子#三个饺子代表：浓人淡人和我们 ​​​
年度十大正能量粉丝团评选，冲刺巅峰！我已为@肖战影音会官微 推荐了6次，一起搜索#凝聚V力量#为你心目中的十大正能量粉丝团推荐吧，为我们的年度荣耀加冕！ ​​​
#徐克射雕用的83版音乐#射雕音乐一响，60岁的老阿姨很激动～～徐克再现经典，肖战新一代精彩的郭靖展现，票房大卖！ ​​​
#难听#这些黑子们，你大爷的，不黑别人你家人就不健康吗？积点德吧！故意黑别人的网络变态疯子不会有好结果的，也会影响你们的下一代的健康成长的，喜欢就听，不喜欢可以不听，别诋毁别人！作为路人，肖战的个人专辑很好听，歌声让人能安静下来听，尤其歌词直击他人心里～～ ​​​
#肖战庄达菲版射雕亮相推介会#作为一个60后路人，特别期待徐克武侠再现经典，也更期待优秀演员肖战的经典版郭靖上映！ ​​​
#于适被赠予德艺传承丹卷#看不懂了：徳在哪里？艺又在哪里？徳不配位艺不明啊！路过就觉得尴尬，自己尬不？ ​​​
#肖战两黑粉被强执8713元#有些人线下就是一个怂包，可在线上就发泄肆无忌惮的诋毁别人！这类人很悲哀！ ​​​
#王一博向野而生#正主和粉丝都起一群野人！还野呢，再野就没边际了！管好你的粉丝别再野了！ ​​​
#大一新生陈芋汐#了不起的有实力有能力有内涵有文化的世界冠军 ​​​
#陈芋汐真情告白教练#外界对陈芋汐的否定根源还是在于她的母亲和周继红的一番话引起的！陈芋汐很优秀很漂亮单纯的小女孩！外界不该这样对她！ ​​​
#吴艳妮预赛遇生理期#这么大的比赛怎么很多都说是遇到生理期？生理期可以通过药物推迟几天的吧，为啥总会有这类原因呢？不明白 ​​​
#大半个娱乐圈都去了张杰演唱会#难道有奥运会就不能开演唱会了吗？人咋那么难理解呢？ ​​​
#陈梦卫冕冠军#低调内敛内心超强大的陈梦值得冠军称号！为陈梦喝彩点赞！牛牛牛！全场不看好你，但你最牛气！打脸场内不公平的国人！ ​​​
#邓雅文是肖战粉丝#高雅文好样的！厉害牛牛牛牛牛！飒飒飒飒飒飒飒！ ​​​
同样是冠军同样的优秀同样的很年轻的小姑娘，得了冠军高位热搜都没上，抖音微博都是乒乓球冠军和跳水冠军～～冠军还不一样？不就是冷门项目吗？同样是为国争光啊！而且邓雅文是历史首位此项目冠军，更应该得到赞美表扬宣传！每个冠军都来之不易！ ​​​
