…读博
音频重点 02:19
//@珠珠寓猪猪:北大心理系特别受欢迎的普心毛利华教授说了，这是从原始社会男人狩猎需要专注进化过来的，而女人照看孩子的同时还要时刻观察四周是否有危险+煮饭+补渔网等等，这些工作是女性聚在一起完成的，所以也不耽误和其他女性聊天，因此女性可以同时做很多事也可以同时拥有多项技能，这也是进化来 ...展开
放你妈的屁。你这种混淆事实的瘪三，祝你赶紧滚
人家热心群众问一句，你就开始攻击上了？你这么爱撒野，怎么不去别处拉屎//@全宇宙最好的蛙蛙侠:蓝底白字出了，官方通报不信，还要怎么办？别来屠龙评论区撒野//@无与伦比Cassie:屠龙姐 打扰了 于朦胧的事怎么办啊 //@屠龙的胭脂井:破坏喜马拉雅山生态至少几十年，把始祖鸟十年利润罚没了，算是便 ...展开
…
说真的，外界环境一直在模糊视线，让人分不清啥时重要的
别啊//@屠龙的胭脂井:我今天又看见自己这条。我想到了一个新的问题：中国下一代进入非独生子女时代。等我们老了，很多年轻夫妻就都是非独生。必然出现大量一对老人对N个孙辈的现象（就是姥姥和奶奶都有n个孙辈）。光靠老人带孩子就人手不够了。如果建立不了育儿社会保障体系，在这种情况下就意味着更多 ...展开
呃
赞同
关注
//@屠龙的胭脂井:我也想到一起了。这件事都不谈对错，法律上逻辑自相矛盾啊（至少这逻辑我就没想明白）。如果发生了婚外性行为，不能算证明出轨，那同居怎么就能算事实婚姻？。如果宝强证据不能证明马容出轨，那么那些证明事实婚姻的人都是出示什么证据的？还有“重婚罪”咋定义啊？ ...展开
//@屠龙的胭脂井:实际上，精神病在法律上如果属于考虑因素，必须满足“杀人者当时没有正常犯罪逻辑”：比如冲到街上杀了一个人，不知道跑，还自己报警，或者自己一边杀人一边捅自己等等。如果没有这些明确行为，精神病不能构成不判死刑因素---抑郁症更不能构成。抑郁症的逻辑行为判断跟正常人完全一样 ...展开
说真的，客观、辩证地看待一个事情，是一种能力。只能看得见缺点，就证明你没有这种能力。任何事情都是一体两面，人没有所谓的优缺点，人只有特点。你要是只能看得见缺点，看不见对应的优点，那你根本就不懂，怎么把人放到合适的位置上。
//@屠龙的胭脂井:香港经济下滑现在仅仅是起点，后面会更废---我为这句话负责任，咱们三五年后看
，…
"//@至尊包OR秋大海:天生我辈,既不智之,又不愚之,乃予之以不愚不智之身,而困之于不生不死之地"
搜到，感谢//@清泉柚上流:Reply@什么时候有橘猫:太感谢啦//@什么时候有橘猫:回复@清泉柚上流:v  搜索  这个世界不是连续的，连续是我们的幻觉就可以看到//@一小小只奶黄包:求推荐这位博主
//@什么时候有橘猫:应该是 董可人//@一小小只奶黄包:求推荐这位博主
像这种荒谬评论以后就别放出来了。真的要起诉赔偿精神损失费
我就没见过不算计的男人//@可可黄油曲奇_月光版:是 所以好多美女心里男人大方不计较更愿意给情绪价值 我：？？？？
这个世界是一个信念的世界，是精神的世界。“变美”“靠男人”这种宗教，就是来给你精神殖民的。你就不要怪被殖民的人了，那太冷血了。想当年，中国半殖民地半封建时期，多少劳苦大众，受了多少磨难？你要将语言、将焦点对准这些被剥削的人，而不去炮轰强者吗？被殖民的人是需要关怀的，殖民别人的人是 ...展开
