想美晕谁……
筋将军：男角色就该女演员来演👐 ​​​
有些人真是一看就知道适不适合当朋友，完全没法跟优绩主义精英感卷批沟通，更别提交友了，看到他们就想逃跑啊啊啊啊🏃🏻‍♀️
。。。
//@LuckyNimblewit://@果冻出走:我晕//@在也门钓鲑鱼://@Atranslationofthenight:同样的还有瓦内莎斯普林格拉所写的《同意》，只看书中内容，我想原po和转评一样会发出“这本书并不能带来什么力量”的感慨，然而正是这本书推动了法国性同意年龄立法，这些对自己创伤的袒露是告诉有相同遭遇的人，你可以 ...展开
#善意的竞争# 我吐了，善意的竞争剧版药剂吧干啥，我能理解把女主吃的控制沙//仁欲望的药物改编成聪明达，以影射现实。但我无法理解把女二设定成找男的doi求刺激的设定，还把女三改成闷骚色魔，有病吧，一个高中生女同向剧搞这些是干啥？一边吃女同红利一边还要拍女二的异性恋doi场景，两头的钱都赚了 ​​​ ...展开
善意的竞争超话真不行了，嗑得我发大水啊啊啊😭bg言情：不行！百合言情：行！虽然剧情到现在有点莫名其妙，但摄影和剪辑很强，悬疑味拉满。还很喜欢一些意识流的手法，虽然是三次元却有漫画感，都能想象漫画是怎么画的。演员也好会演啊啊啊浓浓的cp感嗑死我了😭连夜看完四集还想去补漫画😭 ​​​
永久心情
疑似痛经毕业，本可儿音得的😌💅🏻 ​​​
同样是啃老，在家就是死宅，在街上就是街溜子，在游乐厅是无业不良青年，但是在星巴克坐一天就是自由职业。 ​​​
有没有人想被这双鞋踩的？全国可飞（bushi） ​​​
大笨狗之家超话 我也有自己的笨笨了🥺囡蓬游在“不知道什么节日但想送礼物日”帮我生的，看到这个库洛米的娃衣实在太喜欢了，顺带也买了🥺囡蓬游看到后都啧啧称奇，这个汉堡盒还有游戏王卡的设计太有趣了，200多个月的孩子真的很需要这样的玩具🥰 ​​​
不要自己给自己贴金了，我骂你讨厌你都只是讨厌你本人，而不是因为你是男性还是女性。我这样做当然也是希望被同样对待，不希望被扣帽子划阵营，我可不想搞什么dang争骂战。如果你非要把我和你之间的分歧上升为男vs女或女vs爱男姐，那我要拒绝跟你交流了，没脑子的巨婴，只会仰仗集体的安全感存活，你都 ​​​ ...展开
#坠落的审判# 采访事件中的#陈铭# 老师，让我回忆起以前看过的他主持的《非正式会谈》。这档节目是从韩国买来的，所以原封不动地把“嘉宾都是男性”的设定也给搬来了。我不相信只有男性能代表他们国家进行文化交流，比如“临时嘉宾”星悦小姐姐就说的很好。在华的外国女性也肯定不在少数。所以全男性的 ​​​ ...展开
有没有人当我m，我要逼你看100遍i got you的mv🥰🥰🥰TWICE超话#0202twice先行曲igotyou# ​​​
这辈子有机会去国家地理工作吗😭
本人的投稿（）对，我就是恋母🥰
没那么无私，不理解为什么劝别人不生孩子。他们想生就生呗，尊重祝福，双手支持，以后还能给我们续养老金。我自己不生我就偷着乐😋 ​​​
其实我觉得没必要拆穿别人炫耀的“幸福”，因为每个人对幸福的理解都不一样。有些农村妇女，老公对她们好，在她们眼里就是幸福。你偏要走过去说，姐妹别被骗了。在我看来，女性在网络上分享幸福已经成了一种危险，除非这个女性的家庭或伴侣非常有钱。我认为这是一种中产的傲慢——瞧不上底层人民的幸福 ​​​ ...展开
说自己对钱没兴趣，其实只是确信了自己挣钱能力一定会很差。于是降低心理预期，给自己一些心理安慰。真的很羡慕能勇敢说出想要发财的人，我是真觉得自己和钱无缘，都不敢直呼它的名讳。不知道有没有懂的…… ​​​
曾经，我也不敢对他人提出自己的要求或拒绝，认为这样是不礼貌的。然而后来，我发现明确提出自己的要求才是对他人的尊重。这是一个渣男教会我的，他总让我“不要弯弯绕，不要让别人猜”。于是我就懂了，对不爱你的人，你是无权委婉的。只有爱你的人才有时间揣测你的小心思。总期待别人自觉按你舒服的 ​​​ ...展开
想统揽你的全菊。 ​​​
我可以共情陈朗，但这个博主用自己的日记作为论据在微博上声讨另一半，只让我觉得好笑。不能多买一张桌子？不能向他提议自己也想用这张桌子？非要把自己塑造成默默付出的圣母，这跟父母说的“我为了养你省吃俭用”有区别？不过是想获得道德优越感罢了，我苦我有理。完全不同情，甚至很反感这种叙事。
一毛一样……
大学生不能裸聊但可以裸考。 ​​​
我真的见一个拉黑一个//@椰只泥:痒了
