第四十一个教师节是我的第一个教师节  ​​​
#高校教师日记# 学生问我：“老师，你怎么什么书体都会写呀。”下周继续棒棒哒～ ​​​
明天试着用夸克ai做ppt晚安啦 ​​​
早C晚A 下午黄芪水  做得不错咱就是拼命把所有食材都吃进肚子里我要把自己养得像庆奶一样气血充盈国庆节回家继续补起！！！ ​​​
#高校教师日记# 下了课后的那一个下午，最幸福的时光。虽然是老师，但我始终觉得自己还是一名不断学习精进自己的“学生”。学习，永不止步 ​​​
师大欧阳同学 我的最最最最爱35人在我前面 我疯了  ​​​
为了把一篇摘要写出来，大量补充新知识中，难过的是，自己研究生错过了那么多该学的 撩啰与嘿撩的微博视频 ​​​
#高校教师日记# 课程思政的思考下课的时候，收到一位同学的反馈，她说自己对书法课不感兴趣，坐到了教室的一隅，于是我开始思考，是不是我的课程出现了什么问题。今天我阅读到一本关于课程思政的书，现在高校课程思政明确指出将课程思政融入到课堂教学的各个环节，之前新入职教师培训会的时候也提到 ​​​ ...展开
姐们，我明显地感觉到一个问题。我以为书法课是一项很简单的课，就是示范示范就好了，但是！！！这门课真的需要极高的专注度，我给学生示范每一个字每一笔一画，甚至写笔锋的时候都要高度专注，屏息凝神，不能出错，毕竟我是老师示范字的时候不能写不好看吧！！！所以我就这样高度专注 ​​​ ...展开
虽然一天没吃饭（为了身上没味道）饿到胃疼，站到脚抽筋，嗓子说不出话，眼睛还很疼，但是我还是不能放弃我的美食课后学生说，喜欢我的课，觉得很有意思很好玩。拼死拼活一个个下去点评，一个个教，把所有人的姿势、运笔全都纠正了一遍，把她们喜欢的字都示范了一遍，虽然累但是有成 ​​​ ...展开
#高校教师日记# 明天即将迎来第一门课，新生军训后的第一次课。我一门课要准备多少材料，我都要累坏了。明天要带在手上的，教学四件套，大纲、教案、日历、过程表，一个班的书法用具，拷贝ppt，教材包括仪容仪表的打扮，希望不要出太多bug在这里，致谢CC同学，在我崩溃到不行的时候时刻送上 ​​​ ...展开
#高校教师日记# 今天监考啦！！！从自己答试卷到看别人答试卷，心情真的很不一样。最最最深刻的体会是，原来老师们什么都看得见，看得见学生的脸上的忧愁，看得见学生们的小动作……研究了一下考试试卷，发现每位学生其实都很有想法，主观题无论答多答少，每个人都有长处都 ​​​ ...展开
现在精力管理的程度：竟然能做到每天看完1-2本书，一本学术类一本闲书，每天练习1-2张书法作品，每天运动1h，每天听课2h，之后还会分配大段的时间去研读文献，提炼和写作。社交卡掉，手机卡掉，稳定良性的关系，健康优质的饮食和净空的大脑，美丽的外在和优雅的举止，在心情高度愉悦的基础上，养成 ​​​ ...展开
看看耳朵 永远不会亏待自己的我永远会让自己美美的我 ​​​
幸福多一点 ​​​
累不成声 ​​​
无论在哪个地方都没有归属感 很奇怪 ​​​
昨天又对一位很有母性的女孩子喜欢得不得了后来发现她周围围着好多女生…… ​​​
week2️⃣ day1️⃣ #高校教师日记# 今天参观了廉洁文化基地 强化作为党员干部应该具备的政治素养·正在阅读张静《学会提问：如何提出有价值的研究问题》提到学习的关键 如何专业性提问 如何培养系统性思维 明天继续阅读精进·甲骨文字班也开始上课啦～我最最最最最最爱的古文字 我的精神食粮上 ​​​ ...展开
week1 开学日记📔这周除了培训就是培训新老师一天开好几个会～因为刚入职 很多东西没有安顿好我的todo list也做得不尽如人意不过还是看了几本书的几场报告中关于科研的讨论有一点灵感是一个南开的博导讲述青年教师的教学路径引发深思备课教案本来被驳回现在我开始有思路怎么去上一堂课 ​​​ ...展开
开学快乐 热死了啦 ​​​
今天听了三个培训 深深深深地感觉到学校对我们教职工真的太好了！学习资源取之不尽，用之不竭，感谢学校给我们提供的强大资源库，是我们科研路上的强大后备力量科研路上继续放心产垃圾，再也不用为找不到资料发愁了 ​​​
今晚的文艺晚会非常好看！！！！！感觉像买票看话剧情景剧！！！ ​​​
嘿嘿 ​​​
踏着正步向前走 ​​​
长大了真的好好终于可以重新养自己一遍了对自己超好的我 现在谁也没办法欺负我了 ​​​
