“听说世间所有情爱的事 不过是浪漫的想象所致”
我刘哥鼠了
我还是更愿意回到云里雾里把对方的滥情当成喜欢的那一晚 ​​​
丢人 ​​​
到底啥算有好感啥算朋友真的恨了以后有人对着我给我干如何事发出任何信号我都不会觉得这个人喜欢我朋友朋友大家都是朋友宝子你继续交朋友 ​​​
能不能变成永恒的问号 ​​​
电卷风驰从此各自上车 ​​​
受不了了//@紫m99:这条路，我走了684天
我也想问
//@发亿条退网:要么环境改变，要么我扇烂所有件人的脸
笑死我了
其实林忆莲特别有性张力 ​​​
卧槽我在等//@盆塘区时尚达人:啊？什么意思啊什么意思 查看图片
卧槽第一张完美的没话说
卧槽这什么接接接
帅
我同学
活该被挂吧只能说我菌实惨
#崔然竣将11月solo回归# //@崔然竣_YeonEpoch:为庆祝然竣出道六年正式solo出道，🧱发此条原博，然时抽50个9.13，正式solo不易，还请大家多多关心多多宣传另外solo存钱罐也已经上线，有能力的宝宝请多多支持微博正文
分享图片 ​​​
//@April须臾未央:🐞和乱约的时候 倒一点没见他们含蓄
卧槽卧槽我没看错吧终于
孽如缘 ​​​
人群里谁喜欢我，谁讨厌我，我们自然的感受是非常明显的。现在之所都在以为爱找痕迹是因为我们太需要爱了，而爱太崩坏了。 ​​​
我个人不接受被对方周围任何人进行调侃 ​​​
donda…
zfq笑死我了
每次听mla的那阵时不知道都感觉眼前出现了金黄模糊的光然后开始走马灯 ​​​
相遇又不能重头 谁先来？谁先走？ ​​​
人定胜天的暴力 让所有胜利不如一点委屈 委屈不如无情 无情不如成全它本可能造的悲剧 ​​​
我唯一进化的一件事是到现在好像可以慢慢接受感情已瓦解成雨 ​​​
如果没感觉就不要给错觉 ​​​
快乐过一时 痛苦过一时 一时相思 说完我爱你 一起消失。 ​​​
小飞机场听多了感觉自己变成了一个十足的恋爱脑感觉现在世俗上所有感情都满足不了我，必须要跟他们歌里唱的一样，我才满意 ​​​
你去死吧最恨耍我的人，真的恨你一辈子 ​​​
ohno
分享图片 ​​​
//@无尽的大便:纯恶意
//@賣勾靠杯://@Meow_Miaow:大爷叫张培生，一个会给小猫让风扇、捡棉袄期待冬天的人。他的死亡撕开了这个时代的体面假象——当一所大学用外包制度吞噬劳动者尊严时，它书写的不是教育，而是吃人者的墓志铭。
如果爱上你只是一个梦境 ​​​
一句煽情的文艺话我现在都说不出来只想扇飞你 ​​​
也许我喜欢你但我更喜欢赢过你 ​​​
我们是飘零在风裡的纤维，只能远远避开彼此的周围。 ​​​
分享图片 ​​​
没错
随便复盘了一下聊天记录我感觉大哥哥你有点直肠通大脑，同时大脑平面光滑无比没有褶皱。 ​​​
不想我再逗逗你吗？我不逗你了你不会很想我吗？ ​​​
帅爆了
尖头高跟好性感
亲密产生轻蔑 虐待产生忠诚。 ​​​
嘴角 衬衣 眼睛 笑意 轮廓看不清。你的温热还没快散去。 ​​​
我当然知道你对我仅仅浮于表面的好感，是我把脑子剖开拆分你的话，强加给你你从来没有过的想法，让你在这个尴尬的时期变成了我的一切情绪载体，焦虑，欢喜，惊讶，期待，遗忘。我通通投射给你。我敢说自己这些天确实爱上你了，很夸张，可你永远不会知道我是这样和你不一样的人。我们并不能互相懂得，发 ​​​ ...展开
就是一些俗念放在这里，控制自己。 ​​​
如何拉近这一段芬兰距离。 ​​​
唱的太洋气 ​​​
一分钟抱紧 接十分钟的吻 制造这次兴奋 ​​​
我室友
柳智敏你帅哭我了 ​​​
太帅了
你以为我对你这样是我本来就这样对很多人都这样，其实我对别人并不是和对你一样 ​​​
不是不明白 太想看清楚 反而让你的面目变得模糊 ​​​
卧槽
我笑的难受//@紫m99:难以想象2025年还能听到顺口溜三个字
管不了那么多了，呻吟就完了
卧槽我不行了//@陈粒_:我是北京孩子//@马頔-麻油叶:你是谁？
生日快乐，安溥。 ​​​
MAYHEM刚出的时候听到blade of grass只是觉得抒情好听的，但是刚才在床上静静的听到这首歌才真正体会到了歌里唱的“来吧把那片草叶包起来，像石膏缠绕在我手上”是一种什么样的情感，没有办法用语言描述的悲怆，浪漫，直到最后一段副歌唱完，感动的眼泪也流了下来。 ​​​
MAYHEM最感人的一定是blade of grass ​​​
就是这样啊
不管什么爱豆不管女的男的看见留指甲的爱豆都很恶心 ​​​
//@吃不吃小猫使:本质就是要为无辜丧失的生命发声，说一百遍，扭曲一百次，本质就是如此，不会变的
看哭了
路过一家店偶然听到了一首熟悉的歌，想了半天想起来是霉霉姐的begin again，想起在我还是十分能幻想的中学时代听了好多遍，回去后挑了早期专辑的几首歌播，原来每一首都是能跟唱的程度，原来这么熟悉，中间有很长时间没听霉，但其实发现不管中间对她这个人的好感度上下波动了多少次，霉霉姐的歌都贯穿 ​​​ ...展开
确实//@邹智林:她翻唱王菲那么多首没有一首能听的
其实还挺有理有据
坐等坐等
就是啊//@在我的逼里刻下你的名字:一定要挑衅 连这个都接受不了收拾收拾别搞什么女性主义了
唱的好但是真没法碰瓷王菲 ​​​
救命啊
我现在觉也不睡了就看这个
好美好美
我现在前一排就有一个在散发恶臭//@Beehowyoung:胖子出行应该坐冷冻车//@共你飘到半空中://@美国站街女:真的好烦‼️
好喜欢那个短裤
搞不懂为什么有些韩娱丝又怂又爱犯见打也打不过//@千岛DIM:谁求这种泡在混混堆里的东南亚跑男当🐴啊 转发区饭见的tss和故作松弛的糊比棒🕰️一起冷脸洗内裤是抖m犯了想被lh用烟头烫了？
右边秒了
哇哇哇
太喜欢这个了
好涩
救命
#SVIP体验卡免费领# 我已成功领取3天SVIP体验卡。快来点击卡片领取，主页访客、留言、去机型小尾巴、动态头像、评论气泡等超多尊贵权益等你来体验!   ​​​
呃呃正好五一可以再去看一遍//@兜傲天:我准备去看第五遍了//@用户集小兰:我准备去看第五遍了//@Mangetsu_:到底谁想看超雄男童和男同//@Mangetsu_:多搞笑呢，要不以后改成影院常驻吧。
//@一只欲晓:还有一直说哪吒是为了冲前三才延的一看就是很久没关注票房实时动态的人说的话，现在票房增长很慢，靠延期冲票房已经是不大可能的事情，继续延期无非就是还有人看，电影院需要继续赚钱，票房则是能多一点是一点罢了
救命
啊啊啊啊啊
好美
笑死我了//@太妃糖吃掉了:我会支持这对情侣永远//@·上好佳佳豆·:？//@藕师傅炒饼铺 :不er “我会支持这对情侣永远”怎么莫名捡到了啊！//@毛糰小劍劍 :哪吒的肉体早餐哈哈哈哈哈//@琉珈_Ryuka :笑得打鸣
笑死我了
好萌啊啊啊啊
笑死我了
最后一句话饼今晚要遭罪了
