你来了一次可未曾见过太阳 世界很美却不能见面。 ​​​
希望你会继续勇敢 站在有光的地方活成自己 ​​​
大海很美，但上了船终究要靠岸。 ​​​
不用活的太明白 做个快乐的人 看淡所有人和事 惜我之 我惜之。 ​​​
 ​​​
分享图片 ​​​
拧巴的人身边一定有一个有耐心的爱人 ​​​
好像什么都来得及，又好像什么都无能为力。 -拿铁不加糖ya的微博视频 ​​​
在自己的节凑里 安静和热闹我都喜欢。 ​​​
在一座陌生的城市 还好有一位熟悉的人 -拿铁不加糖ya的微博视频 ​​​
不能接受就改变 不能改变就接受 ​​​
焦虑。 ​​​
当感性大于理性时 就像变了一个人。其实我感觉本没有什么对错之分 理性是用脑思考的 感性是心的感受吧。 ​​​
我深知自己自私又强势 低头少之又少 爱说反话 但你对我的好我永远都记得 什么都会变的话 那我说谢谢你陪我的那些天 ​​​
当你遇到一个很好的人 就会原谅过去的一切 就像朋友之前总会说 会幸福的迟早的事 ​​​
此刻 在寂静中享受着内心的波澜 ​​​
时间会教会我们很多东西 ​​​
不是文案 是那一刻让我感动的他 -拿铁不加糖ya的微博视频 ​​​
你应该跟着你自己的心去做你该做的事情去寻找你认为的幸福 ​​​
没关系的 大家都会莫名其妙的不开心 会突然崩溃 但不妨碍吃吃喝喝吹晚风 都会过去的 ​​​
