国庆快乐今天在图书馆学的特别心慌 没有归属感 可能是因为过节吧 但是无论如何 坚持！加油！加油！加油！ ​​​
16完型 坐下！就这个英语爽 ​​​
12分钟24选择 坐下！ ​​​
不er 马政经你想咋滴❓ ​​​
15分钟大纲样卷选择 坐下！ ​​​
无语操蛋的一上午 cnm能不能别搞我心态 sb小区sb公交sb共享单车但是 ​​​ ...展开
完型坐下！ ​​​
考研暂停！我生日！其实是明天 今天提前过了 我相信 我今天许的愿望一定会成真！一定会！！！ ​​​
英二完型 坐下！ ​​​
醍醐灌顶！茅塞顿开！100多天！干就完了！ ​​​
实习你一定要一切顺利啊！！！！ ​​​
考完试 我要狠狠看电视！！！追剧！！！把我失去的全部夺回来！！！清单：子夜归 花儿与少年5 7 ​​​
2025年8月15日🎶删了至此 全部娱乐软件删除明年此时我要已经拿到录取通知书并且在美美旅游！ ​​​
最近深感自己状态的糟糕 所以把🍠删了 希望12月能给自己一份满意的答卷 ​​​
关关难过 关关过2025.6.20 ​​​
当大脑突然冒出一个特别狂热且冲动的想法时 我选择立刻行动 ​​​
不要跟别人比进度 也不要比时长！！！！你咋这么烦！每天做好计划了 完成了就行了！别管别人干嘛了！！！你再这样 我将讨厌你 ​​​
你现在最大的问题是太容易被别人干扰了！！！一定要明确一个点：别人怎样都与你无关！！！摒除杂念，做好自己的事！按部就班！！！因为你已经有明确的目标了，那就什么都不要想！不要再因为别人而影响你自己！谨记。2025.4.11 ​​​
在抖音刷到好多一路生花 也看到了好多又美又优秀的女孩 明年的今天我也要一路生花！！！ ​​​
今天看到一句话“因为我失败了，所以我不配说来时路”读完这句话，心理感觉很沉重，不知道为什么我感到很共情，当你成功时，你可以将你的来时路你的努力你的一切分享给别人，也会有数不尽的人愿意听一个成功者的来时路。但反观失败者，没有人会在意，只有自己耿耿于怀。明年的今天我不知道自己会是一 ​​​ ...展开
永远不要为未来没有发生的事产生任何焦虑或担忧又或痛苦的情绪只需要立足现在 立足当前 做好目标 做好计划行动是打败焦虑和不安最有力的武器2025.2.28 ​​​
我永远爱我的妈妈一件很小的事情：那天在浴室的时候我突然开玩笑的说我不要跟你们穿一双拖鞋（冬天的时候家里会放一双拖鞋在浴室方便洗澡），其实之前每次我都是穿那双拖鞋，但那天就是突发奇想地开玩笑说到了，其实我就是随便说说也没有真的要让妈妈给我单独备一双拖鞋。结果第二天上午妈妈就拿着一 ​​​ ...展开
怎么能释怀呢今天突然翻到自己高三时候的资料 试卷 笔记 每一道题每一个字迹都是自己努力的痕迹 你问我高三够努力吗 我已经记不得了 但上面的每一笔每一划都是答案 高中三年的努力让自己的每一次模考都稳定前几名 但高考自己在什么位置 我不知道也不想知道 22年那个夏天 那个下午 那个考场 我拿到数学 ​​​ ...展开
今天，身心俱疲，anyway，请再坚持一下吧，这将是最后一个痛苦的期末周啦，下学期就好了！一切都会好的！！！ ​​​
2024.12.15今天很开心！！！我的室友z是一个很好很可爱的小女孩跟她相处总是好快乐！虽然有的时候她很气人但是这并不妨碍她是一个很可爱的小女孩！为什么说她可爱呢 因为每次一勾她吃东西或者玩游戏 无论她在干什么都忍不住同意我的邀请！哈哈哈哈哈真的好可爱 我特别喜欢和她一起出去买吃 ​​​ ...展开
2024年11月18日 天气很冷很冷今天很不开心 为什么会不开心呢？🙁是因为减肥明明吃的不少 但还是不满足 还是很想吃甜食吗 明明前几周都坚持的很好 为什么这几天又坚持不了了呢？到底什么时候才能瘦呢？因为馋所以无心学习吗？因为每天都在焦虑 但是又不知道在焦虑什么吗？还是因为紧张教资面试呢？ ​​​ ...展开
睡不着睡不着睡不着睡不着怎么快速睡着怎么快速睡着怎么快速睡着求入睡教程求入睡教程求入睡教程 ​​​
4.29 晚23.07今天一点都不开心 9点半就上号 最好的好友一直没上 列表有很多好友 但他们好像都有自己的队伍 只有我没人玩 来围脖想dd人一起玩也没人理我 从10点到11点总共没巅几次 还速的扣了10多分 我的朋友你在哪里 为什么今晚不上号 我的好友你们为什么不拉我一起玩 此时一个小女孩轻轻的 ​​​ ...展开
