让我润
我碎了。。
#留个日zhi吧# 又喘不上气了 ​​​
#留个日zhi吧# 好烦… ​​​
#留个日zhi吧# 本人决定明天尝一尝25英一到底有多💩 ​​​
#留个日zhi吧# 好累好憔悴好烦好难过 ​​​
#留个日zhi吧# 太抓马 昨天知道缩招今天出推免朋友圈怎么这么多保研的哎真的是 ​​​
#留个日zhi吧# 我真的真的好难受啊…本来就觉得自己估计是踩着线还可能上的…这下真的game over了我真的好难受啊… ​​​
#留个日zhi吧# 我真的好想哭 这下真的还没上岸 岸就离开我了这个世界对22级真的太差了 ​​​
#留个日zhi吧# 困啊 ​​​
我真的有点想哭了 你总是这么好
#留个日zhi吧# 这把要是还能考的上那我真的…天注定…但是现在这样怎么考的上excuse me？？我要碎了 ​​​
#留个日zhi吧# 我有点想哭这下真的考不上了… ​​​
#留个日zhi吧# 发现了一个规律…每次开学因为读书的事回家最后的结果都是大吵一架我真的不想再和你们分享这些事了 ​​​
炸烂全世界…到底要干嘛为什么我这么苦难 ​​​
#留个日zhi吧# 他爸的不准考不上啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊 ​​​
#留个日zhi吧# 睡了…早上还得早起 ​​​
#留个日zhi吧# 我不敢想明年的成绩，一定差的很难看…每天都在质疑…没有一科是行的，333是一直背一直忘的，专二是做的一塌糊涂，术语背了就忘，概念也迷迷糊糊又因为最近没时间又犯懒没去好好看…英语也不行，还是错一大堆。政治…呵呵等于0，完全没记住一个字。恭喜啊七个月的学习抓什么都没抓牢，怎 ​​​ ...展开
#留个日zhi吧# 焦虑到睡不着…最近教原怎么都背不下来，做题也是一塌糊涂。什么都学不好，还有这个什么导师…我真的崩溃了，到底在急什么，为什么现在就开始写，都跟你说了在考研，请问为什么这么不理解呢…我真的很累很累，每天脑袋里都在想考不上了考不上了考不上了，后面还要实习，现在感觉什么都做 ​​​ ...展开
#留个日zhi吧# woc真的要考不上了妹子 读点吧… ​​​
#留个日zhi吧# 我好迷茫…最近效率奇低 ​​​
#留个日zhi吧# 🐭学校祝你永远评不上双一流我真的要被你害惨了 ​​​
#留个日zhi吧# 好崩溃…什么都忘了 ​​​
#留个日zhi吧# 搞mie啊…那么多人考感觉很不nice ​​​
#留个日zhi吧# 我死命回踩你营业是不营业的，上综艺是要营造傻子人设的。粉丝个个恶霸，真以为自己几斤几俩呢他谁呀…粉丝天天污蔑无辜的人，无理取闹，高贵的要死。一个个装什么可怜…哟哟哟对对对你家哥哥被所有人唾弃，那是他活该！死装男，装什么高冷不营业啊！拜托我们可是你的衣食父 ​​​ ...展开
#留个日zhi吧# 我现在讨厌nyn…好恶心每一个都讨厌🤮🤮🤮🤮 ​​​
#留个日zhi吧# 其实说了这么多 最终的原因是我真正喜欢的不是他 旧爱才是真理 我回来了灿尼 ​​​
#留个日zhi吧# 来个人收走我的娃吧…看得我烦… ​​​
孩子 再加把劲吧！//@早麦稻子谷:今天和学姐的聊天又点醒我了
#留个日zhi吧# 真不敢想明年的分数。。感觉会很emmm ​​​
#留个日zhi吧# 又觉得自己要完蛋了总觉得落后别人一大截 这怎么办啊 ​​​
#留个日zhi吧# 希望休息过后接下来的一切顺顺利利 继续加油💪 ​​​
#留个日zhi吧# 加油💪 ​​​
#留个日zhi吧# 我靠了这个点还没睡是要干什么 ​​​
怎么又什么都不会了呢 ​​​
#留个日zhi吧# 美妙 原来弄懂是这种感觉 ds我爱你🤟 ​​​
#留个日zhi吧# 要嘎了 怎么越做越不会 越做越发现这么多不懂 ​​​
#留个日zhi吧# 愁啊…咋就学不会呢 ​​​
今天和学姐的聊天又点醒我了
#留个日zhi吧# 越读越不会 有没有人管一下然后难受一下继续读继续难受继续读 每天最怕的就是读专业二 还能怎么办呢政治都没时间听完蛋了真的是 ​​​
#留个日zhi吧# 为什么一天的时间这么少完全不够用 ​​​
#留个日zhi吧# 跨文化一定要憋出字啊。。写满字就好了。。别无要求了。。 ​​​
#留个日zhi吧# 还好读过语言学不然都不知道咋办了。。 ​​​
#留个日zhi吧# 这个xhs太坏了。 ​​​
#留个日zhi吧# 害。。怎么办怎么办。。我暑假要女娲补天了这期末的东西也忒多了 ​​​
#留个日zhi吧#求自己别吃了。。真的是要完蛋 ​​​
#留个日zhi吧# 累炸了。。什么都不想干啊。。手机也不想玩 ​​​
#留个日zhi吧# 开心一下这周的主观题 难过一下现在本人啥都看不下去复习不下去的心情。。 ​​​
我为什么又开始焦虑。。这不是没有固定答案怎么写怎么对吗。。为什么好焦虑。。😵 ​​​
恨不得一天当240h用 ​​​
#留个日zhi吧# 太坏了太坏了太坏了我好急啊啊啊啊啊啊啊啊 ​​​
#留个日zhi吧# 每次写完主观题看到chuang一大串字的想法：好有成就感但是真的好累，然后又觉得自己写的都是废话呵呵 ​​​
#留个日zhi吧# 竟然真的上头了！好喜欢他啊啊啊啊啊啊啊 ​​​
#留个日zhi吧# 猜一下这次会喜欢多久 赴山海快播我要看啊啊啊啊 ​​​
#留个日zhi吧# 就这样一边焦虑自己不要再吃但是又想吃。。 ​​​
#留个日zhi吧# 晚上都没读啥 早点起来读吧 不急不急 ​​​
#留个日zhi吧# 恭喜这个小女孩语言学步入第三章 ​​​
#留个日zhi吧# 呃啊啊啊啊啊吓死我了我以为真的考同一所 补药啊。。就算是也不要告诉我 ​​​
#留个日zhi吧# 呃呃呃啊啊啊我的语言学终于吃下第一章了啊啊啊啊啊啊啊🥹今天继续复习第二章啊啊啊啊啊啊啊啊 ​​​
明天我一定要完成任务啊啊啊啊啊啊 ​​​
我特别希望有个女团早日糊掉早日解散 特别是里面那个谁 ​​​
感觉要好好花时间出来整理一下到底要干什么了 ​​​
读不懂。网课也听不懂。还要补前三张的内容。啊啊啊啊啊啊啊啊啊啊我他妈不想搞学校的作业了啊 ​​​
语言学我正式来啃你了啊啊啊啊啊啊啊啊！ ​​​
完了真的感觉学养胃了恶心恶心 不知道该干嘛 感觉做什么都不感兴趣。。 ​​​
我也好紧张啊。。 ​​​
或许就不该回家 感觉更乱了 ​​​
或许南方真的不适合我…所以我要逃…我要逃离这里！我要实现之前的梦想！我要弥补之前的遗憾！ ​​​
好难过好难过好难过 ​​​
感觉怎么都做不好 好无力好无助 sadsad 谁知道明年到底会不会有好结果啊太倒霉了 ​​​
这个鬼地方克我 完全静不下心不知道为什么 好想浑水摸鱼 好想成为很厉害的人 但是怎么都做不到哪方面都抓不住想减肥但是肚子饿的特别快特别想吃憋住不吃就很难受 吃了又特别后悔 到底在干什么啊 怎么变成这样了呢 同时也很焦虑今年一整年 真的很难过 我是一个很怕失败但是又很没用的人 ​​​
我有点崩溃了 好想哭 怎么那么不顺 感觉很倒霉 ​​​
我决定这学期摆烂到底 只听自己觉得有意义的课 不求高分只求能过 ​​​
