🏋🏻健身饮食打卡🏋️ ​​​
今早起来发现自己已经低人七等了📱                                                   −来自iPhone xs ​​​
去年收到了一份很有份量的生日礼物 这份礼物总是无时无刻出现 改变了一半的我 让我感觉成长了很多 希望今年的自己能健康 顺利 ！ ​​​
今天跑步机没人 龙门架没人 卧推凳没人 ​​​
佛山有没有禁止会员练腿的健身房啊？🏋🏻每次练腿我都可以盯着地板发呆半个多钟⌚️  ​​​
我的抑郁症又要加重了 ​​​
电工日记👨🏻‍🔧电工真好玩 根本学不会 下辈子还干电工 ​​​
我妈觉得单身狗休息时间也不知道干嘛 干脆让我跑滴滴兼职算了 ​​​
龙门架的侧平举 一片没感觉 两片又太重就像方便面一样 一包吃不饱 两包吃不完 ​​​
男人过了25就只能聊天了🥤  ​​​
保加利亚和罗马尼亚这两个地方我都没去过但是感觉就特别累 一想到臀腿就酸 还抽筋 ​​​
我去姑姑家 她朋友送了一条刚出生的小金毛给她 她说送给我养了 我开心到不行 我正想去抱狗狗的时候 闹钟响了～ 闹钟响了～ 谁他妈休息日定了个闹钟啊 我操 ​​​
同事们说健身的人只有物抗没有魔抗。  ​​​
前天臀腿冲了极限 昨晚疼的睡不着 今天下班跟朋友去找个地方按摩 老板按我的时候说我斜方肌堵住了 我说你冒昧了 他说这次团购项目还有按肚子 你有腹肌的按不了 我嘴都笑歪了 我说没事随便按按 他按一半跟我说 你今天没拉屎吧 我按到你肚子里的屎了 我跟老板对视 互相都没有说话 我朋友憋不住的在那里笑 ​​​ ...展开
今天520跟双马尾一起运动🏋🏼‍♂️回家还喝了加勒比水果味的奶茶🧋  ​​​
⛈💨 ​​​
佛山刚开的漂流 有点踩雷💣  ​​​
朋友给我做的练后餐 一锅乱炖 鸡蛋不剥壳也放进去一起煮 无油无盐 挑战味觉 ​​​
⛰️ ​​​
晚上从公司回家骑电驴 没穿秋裤 一路发抖 ​​​
有朋自远方来 必须拿出我的招牌菜招待 ​​​
湘行散记📝  ​​​
🌄 laugaaming的微博视频 ​​​
Excuse Me 十周年快乐今晚听到了很喜欢的歌 它的不插电版本感谢打扰一下陪伴了自己这么多年 一起听歌的人 一起看演出的人 歌里的故事  打扰一下乐团超话 laugaaming的微博视频  ​​​
🌇 laugaaming的微博视频 ​​​
带了个柚子上班 把公司的刀干坏了 ​​​
下个月开始每天都要带饭上班了 公司饭堂一顿要32块 今天包了一百多个饺子 放冰箱做存货 下次上班可以慢慢带去吃 ​​​
开始恢复训练🏋️ ​​​
FFF MARKET🛒 ​​​
朋友家的狗第二次见我居然很黏我 第一眼在路边都认出我来了 隔着马路乌漆嘛黑都要扑过来 我真是狗狗的好狗友 ​​​
咖啡店的小狗狗🐶 ​​​
好久没有用过家里那张卡了 今天接到奶奶的电话 问我怎么最近怎么忙起来了么 没给家里打过电话 问我最近的生活 她想问什么却又不敢问什么 我都知道 我最后就说我给她买了一桶花生油 买天猫超市的 可以放家门口 就不用去菜鸟驿站拿了 ​​​
🐶 ​​​
🥈 ​​​
脑袋都不知道干嘛了 回家问了奶奶要买什么东西 为了凑个满减 开了淘宝88会员 结果昨晚为了设置地址分开付账了 卷没用上会员白开  ​​​
今天的鸡蛋让我破防了一天🥚 ​​​
健身房大哥说：你今天练这么大我帮你拍个照片吧 ​​​
⛰️  ​​​
不信佛 不敬佛 ​​​
