收藏吃灰
//@知书少年果麦麦:我要认认真真地活在每一个瞬间//@雪霏Sophia:还要开开心心 丰富多彩 自在畅快 有滋有味//@Tiger公子://@江南大野花:好！//@这是一个很高冷的ID:好！！！//@你别说还真是这样:好//@西升月:好！//@小狗斯特:好！
//@亭林镇无业青年:“躺平也是一种反抗”//@舞榭孤笛剩离歌://@牙科有科牙://@憨憨的toothless:真是这样，但凡能看到一点希望，也不会躺平
//@知书少年果麦麦:说得真好，女性的叙事变得越来越多样化了//@资深少女龙小脸:讲得真好啊，袁子弹女士
"//@硅谷王川:绝大多数人并不是缺乏力量，而是缺乏对于力量运用机制的理解力，缺乏突破自身觉知局限性的主动性。  可以把自己想象成电影 interstellar 里的男主角，在片尾他进入到一个所谓超立方体 （tesseract), 可以观察到过去的自己和家人的生活，他拼命的捶打着超立方体的墙壁，试图和过去的自己沟 ...展开"
原来我喜欢一边看番茄小说一边看微信读书是这个原因😆
//@知书少年果麦麦://@嫣然追守:去写那些你不写出来就无法呼吸的东西。
//@知书少年果麦麦:是这样//@矮周迅://@剪刀手轩辕:现在经常看完一部名作也会想“如果我十几岁时看到它就好了”。//@蒋胜男:对的。所以年轻的朋友们别在本应该多吃杂粮的时间里，急着抱团求认同“排雷”圈地“自我纯洁”，盖住了自己的眼睛，封住了自己的心灵，也等于折断了自己的翅膀，关闭了自己未来 ...展开
没有方向的船 任何风都不是顺风
//@知书少年果麦麦:就是这样~//@凌清宵:世界的吸引力法则是物以类聚，人以群分。逐渐发现虽然不擅长交朋友，但只要自己在有热情地在做一件事，就算是自顾自地输出，也会有同好被吸引过来
//@知书少年果麦麦:我相信我自己！//@Fleurs_x:我超棒！我会获得钱和幸福！
//@籾山阿亚:再代一遍//@籾山阿亚:冠军哥的小猫
//@亭林镇无业青年:好哦//@M大王叫我来巡山:跨过去！//@王太弱:好的 跨过去//@快递员吴彦祖:好对。当某个困境突然消失，知道不是运气好而是自己跨越了//@人可以老但不能胖:好//@老魚u://@谈美功课小号:人生课题和必须经历
//@知书少年果麦麦:先照顾好自己//@桑浦土匪:因为你只有照顾好了自己，才能去照顾自身之外的东西。
//@知书少年果麦麦:先把自己当成植物养吧//@瑞八卡啦是只喵:嗯。记得谁说过，能量耗尽的时候，就先把自己变回植物，瘫倒不动，休眠。能爬起来的时候再变成一只动物，不思考只满足基本需求，吃吃喝喝，养精蓄锐。一直到有能量重新变成一个人。
//@五方莲子:谢谢你们//@-连雨山-://@咪口米口咪://@灯芯砼://@战斗田田仔:对的对的//@丿乛冂十二了一://@十山厈://@jagaimotatop:我的网上邻居们特别好特别好//@深海鲨鲨YUU:感谢每个溺爱我的网友//@扑扑张嘴吃糖:说得太对了，感谢每个溺爱我的网友
//@知书少年果麦麦:别人会把你赶进牢笼，但你总能选择自己走出来//@桃子与司康:这恶意泛滥的时代，很多人会揪着你过往的小错漏要给你判刑，但没关系，你自己不去服役就好。
//@知书少年果麦麦:这三分钟我比谁都快乐充实//@shallis:我说，三分钟也有三分钟的热度。
//@知书少年果麦麦:专注，具体，行动//@亭林镇无业青年://@安妮要开心哦://@tomorrowisanotherday__:不，是接受，是接受消极，接受焦虑，接受迷茫。对抗反而会被拖进深渊，焦虑症治疗的核心是接受自己会焦虑，症状反而会减轻。
//@知书少年果麦麦:复读//@马达的加斯加:我将变得不好惹//@夏目家的小诗哥:养成讨坏型人格👌//@铺起满地刨花:我要这样//@Tr1ppy狗酱:我不想//@桃萃星冰乐:太需要了。
//@知书少年果麦麦://@Cyril_Y:“这不是一个问题，也不需要你的回答。” //@快醒醒啊指甲盖:继续走就会发现，这儿没有问题，而你也不需要答案
#春晚#眉毛哈哈哈哈 ​​​
//@都说了叫笙://@famfamfam://@反射弧超长星人影九://@不能发芽的种子://@冬暖柚子茶://@狐疑吱吱吱://@红麟or阿莹://@鲛猫_Shark-Cat://@F-汪汪汪://@_ashKHZ://@微生人_://@Akumas_://@夏树://@请保持薇笑://@西莫歌:记得最右说的麻醉这事//@岛兰图娅://@出版人周筠:// ...展开
//@推拿熊:“你人生遇到的一切，都是为你而来的。”我要记住这个瞬间，记住这句话，内心重复一万遍//@不生气这个名字可以用：就是因为能解决所以才来的  相信自己的力量💕//@plastictrash:竟然觉得感动 你人生遇到的一切 都是为你而来的
//@知书少年果麦麦:不寻求理解就是自由//@Yahile:“永远不会有人理解你，认识到这点就是自由”
//@一颗蛋__://@Orelinde://@Arilllliah:Repost
古希腊掌管中奖的神啊！请保佑我这次能中个奖！我一定多喝牛奶
