快来参与活动吧! ​​​
！高考加油！高考超话 ​​​
我参与了#校园公益市集#活动，快来和我一起助力校园公益吧！ ​​​
崩溃 真的崩溃 真的学不懂工科啊 啊啊啊啊 这么恶心的专业 居然是我自己选的#啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊##啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊##专业# ​​​
喜欢在大眼仔发疯🤪 因为根本0人在意 有种私密的公共场合的感觉 莫名很爽哎！！ ​​​
“下一站，往幸福” ​​​
#三八国际劳动妇女节# #“三八”国际劳动妇女节#
不敢忘 不能忘
好困啊 什么都不会人真的不用冬眠吗 专家你再查查呢 ​​​
🥹原来 在妈妈还是宝宝的时候 我就已经陪着她了～
#生活手记#早上起来愣是找了一个小时的眼镜🤓谁懂啊 散光加近视👓 没有眼镜宛如失去了眼睛👁️眼镜重度依赖患者～^_^ ​​​
北京化工大学超话 美丽美化～  ​​​
买了一串白白胖胖的烤鱼丸 一口爆汁 刚好穿着厚厚的白色羽绒服 鱼丸汁滋了我一身  现在 我也像一个白白胖胖的美味爆汁鱼丸 ​​​
一早起来就开始焦虑了 焦虑的摆烂… 我是一个焦了的 圆圆的 被生活压的扁扁的 细碎的 煎鸡蛋🍳 ​​​
❄️下雪了🌨️ ​​​
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊aaaaāa啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊我真的应该好好反省一下自己 但不应该是谴责 而是改过自新 要振作精神才是啊 ​​​
#生活手记#突发饿疾 ​​​
呼呼呼 深呼吸😮‍💨黑色星期四 好忙呀 也可能是因为我总是拖延好饿 好困 还有作业要写 没打到卡 giao 完蛋日子完蛋过更迷茫焦虑😕想回家 啊啊啊 ​​​
羽绒服和雪糕更配哦 ～#生活手记# ​​​
啊啊啊 有时候真想跪下来求求自己别玩了边焦虑边玩 真的是 没救了#生活手记#为什么我期中考的这么shi呀感觉身边的人都特别优秀 啊啊啊好强烈的负面情绪呀 ​​​
