作为小时候被👵🏻带大的人 真的太能感同身受了
配导居然是陈老师，期待
//@秋裤睡不醒啊://@KORYILI://@-Riku陸-://@同位素氢:来点江宁名人名言 查看图片 //@西湖阿拉蕾:我也记得最右这句话，其实后面的变体就是“向下的自由不是自由”//@泪之海漂流://@椛山語_://@中岛毛毛://@杏核月亮:这事真的把我恶心坏了。我记得当时有不少人说“女性是命运共同体”，结果 ...展开
//@1047叻:还真别说，江停真喊过文某少东家但是没喊过严峫这个来着
不愧是主唱
刚听到这个
吞海第三季番外，往年，今年，年年和解行if小剧场。每次四部全刷完还要单独听几遍这几个
我漫播榜单名著，仅次于玲珑月和人鱼陷落
牛了大逼
😷好了吗
//@橄榄不菜:？不许骗人//@夏目家的小诗哥:最喜欢的网剧😭编剧一定要是小吉祥天和原班人马//@里没睡饱没:不许骗我 我这就重温前几季//@堪破三春景不长:骗我的话这辈子拉不到广//@六点准时打卡:我尼玛前几季剧情又忘了一半//@用户集小兰:大姐真的假的骗我没亩
什么智障，这都看不懂
嗑
#吞海#舞台没选墓地表白那场啊 ​​​
#吞海#葱花鱼99 ​​​
#猫耳FM# 北南原著《碎玉投珠》广播剧·预告 - UP 主: 声罗万象工作室 @猫耳FM 北南原著《碎玉投珠》广播剧·预告 ​​​
#碎玉投珠#国配白月光，碎玉投珠YYDS ​​​
碎玉投珠YYDS
YYDS吞海广播剧仙品
#猫耳FM# Naoki煦正在直播，进来唠个五毛钱？ @猫耳FM 网页链接 ​​​
这么好的饭为什么不让我们春节吃呢，大过年的
新年祝我爱的人和爱我的人都能身体康健，平安顺遂，一切顺利，心想好事都能成 ​​​
#春晚#最喜欢的歌之一  方的言 ​​​
#猫耳FM# 五喵迎新年·锦鲤添福气 网页链接 ​​​
大师
好开心呀
致敬//@吞海广播剧官博:总有一天，我们都将得到永远的光明和自由。向所有禁毒英雄致敬！卷+关，揪5名葱花鱼分别送上喵酱摇摇乐无料*1，再揪5名葱花鱼分别送上喵酱钥匙扣无料*1。 抽奖详情
2025希望全家身体健康，平安喜乐，诸事顺遂 ​​​
新年快乐呀，，期待新剧
好好听啊
时来运转
啊啊啊(ಡ᎔ಡ)不要完结
好演员很多很多
我踏马最恶心的就是胡子拉碴的昆仑君，每次看见说剧里两位都贴小说就🤮，昆仑君不长那样OK?!从造型到演技白某都很差
#电影好东西#好看的 ​​​
🐟宝
看着就上头
最爱的一个番外
有木有二搭计划啊
MK
原来卡掉了这么多牛逼格拉斯，这是要保提名的哪个啊
37%
推广
不愧是专业的
//@旭旭要有好运气:真顶//@爱吃鱼腥草的主任:眼睛一睁又被骂了//@小朋友冷静点:原来如此//@脆皮鸭颜究員:悟了//@夏目家的小诗哥:原来如此//@latnt世:精辟
越来越水
天呐，太可爱了
评论有些🌸真是不要逼脸了
今年非常非常喜欢的剧，精致又不乏生活，总之很喜欢，感谢剧组各位的努力
小郭老师和小陈老师啥时候CP一次
双一刘
红红火火恍恍惚惚终于被宠幸了！感谢金主@张思王之，感谢@微博抽奖平台！一起分享我的喜悦吧&gt;&gt;&gt; 微博抽奖平台 ​​​
百万福利  主题曲
恶心🤢
//@96度希:每一次录制充满欢笑， 每一次完结总有不舍， 从接到这个角色到最终完成经历了内心的诸多变化； 肯定与否定，打磨再打磨，角色的成长亦是我们的成长。 感谢作者给予我们这么好的作品！ 感激所有参与的录制组成员！ 感恩辛勤的编剧和火辣辣的后期们 我们剧里再聚首。#吞海广播剧完结#  ...展开
//@泽西锅-陈张太康:#吞海广播剧# #吞海完结# #吞海广播剧完结# 万般不舍，故事还是到了终局，不仅是剧中角色随着时光流逝实现了成长和沉淀，剧外的我们亦然。感谢作者带给我们这样好的作品和那么多的感动，感谢一路走来所有并肩战斗过、支持过、陪伴过我们的老师和各位听众朋友。祝福《吞海》广播剧圆 ...展开
收藏了
特别用心的告别，看出来对小鱼付出了很多心血，事实证明听众听到了，太康天选吴雩，感谢吞海有你，因为吞海欣赏你，祝未来佳作不断
舍不得，剧组辛苦了，太完美了 
大结局一直在哭😭舍不得，做的太好了
永远爱吞海广播剧，制作组辛苦了
吞海广播剧太精品了，质量上乘之作 ​​​
#猫耳FM# 淮上原著｜广播剧《吞海》第三季（下）·第二十一集 - UP 主: 吞海广播剧 @猫耳FM 淮上原著｜广播剧《吞海》第三季（下）·第二十一集 ​​​
从唐山大地震开始就喜欢子枫妹妹，太有灵气了，妹妹不要恋爱脑，接着搞事业，当影后，有你的片子都支持 ​​​
欧豪这次真不错
看了两眼藏海🌸实在受不了，我这么喜欢陈明昊的人居然因为张鲁一完全看不了这部想当年红色的时候我是多么热爱徐天啊 ​​​
无论谁拍志愿军只要能完成一部分任务就值得了
明天看
看着有点想吃😋
从另一个角度，电影工业也需要有人在做，各种题材，中影八一厂就要担起这个责任，你算下来的厨师路演，这些也算就业啊，短视频才是挣快钱吧，那些个短剧爽剧，把钱都投着里面，若干年后能留给后人啥东西，不过短视频也有存在是必要，教员说的好，百花齐放百家争鸣
#智博爆料男友出轨#炸裂 ​​​
一个SB的糊歌粉丝在那狂吠说潜伏暗算都比不上伪装者，本来我也算是伪装者粉丝了，想客观帮他说一句，就评论了一句说伪装者除了男女主都很完美，结果这SB破大防了删除评论还禁言我，仔细一看是胡姐粉丝啊，看来不是伪装者粉丝，毕竟容不下别人夸伪装者里的真演技派，只能吹自己主子。果然low货粉丝都跟 ​​​ ...展开
#山花烂漫时# 我的评分：全是优点，必须拿奖 ​​​
#电影志愿军存亡之战#买了中午的票 ​​​
#吞海#今晚听着广播剧一直在哭(╥﹏╥)，宋卉孟姐😭 ​​​
#吞海#我永远爱吞海，永远爱吴雩，永远爱葱花鱼，永远爱吞海广播剧，爱陈张太康的吴雩 ​​​
百年好合，永结同心
好听//@问陆lu:笔芯大家一直以来的支持
保佑我一直身体健康无病无灾🙏
//@王宁是司小幽:#盲盒剧场癫倒计划#  #动物园规则怪谈之制造死亡广播剧#  这道题太难了！我不会做————
宝贝🥹//@王宁是司小幽:为了将喜怒哀乐无一遗漏  自由自在精彩燃烧每一天吧
//@顺子sama:情人节要互送礼物。 查看图片 //@我叫刘思岑:情人节，怎么过呢？ 查看图片
三哥//@彭尧-三途彼岸:借小番外祝福中秋快乐安康！希望以后带给大家更多快乐～
哈哈哈哈哈哈//@阿空-毅:我的小菩萨！快跟我回家吧～
炸裂  步子突然迈好大//@泽西锅-陈张太康:又虐上了太苦了吧兰玉
作秀炒作
都是什么SB词条，扔词条建立者嘴里
唉，网易云//@NAOKI煦:别问，问就是给宿主安排了一个超赞的世界～
《四面佛》-UP主:梧桐外工作室 @漫播  四面佛 ​​​ 查看图片
《从万米高空降临 作者寄语✈From左岸》-UP主:回声漫响工作室 @漫播  作者寄语✈From左岸 ​​​ 查看图片
虽然预告没听懂，但是会继续跟//@倒霉死勒:赵没有，有种爱我。 查看图片
哈哈哈哈哈//@倒霉死勒:放心吧各位，等我当上厂长就让大家都过上好生活！ 查看图片
完结补一个ft吧 谈谈剧
永远爱吞海 ​​​
//@96度希:#吞海广播剧# #吞海开播# 吞海的海是海鲜的海！伸手.GIF 东星斑，来！//@泽西锅-陈张太康:#吞海广播剧# 这次大方了！愿成为10人当中的一员！（已经在查怎么做东星斑了！）#吞海开播#
我的天呐 这都是在干嘛呢//@刘明月阿:#捡个明星弟弟当老公# 你好啊，乔医生。
人间富贵花还得是景甜
