笑屎在评论区
“我不再相信任何完美婚姻，因为我知道那大概率不存在。但也不忍戳破或怀疑任何看上去完美的婚姻，大概率那两个人都非常辛苦。”
遇事不决，可问春风；春风不语，即随本心 ​​​
中中中
学习了
不要自己困住自己
//@知书少年果麦麦:不寻求理解就是自由//@Yahile:“永远不会有人理解你，认识到这点就是自由”
以前跟风嘲笑大冰，现在看直播切片，发现他是一个非常真诚善良的人。 ​​​
中
每次刷到女硕士走失被“收留”的信息，都好气好气，孤寡老人怎么不见你收留 ​​​
“于清晨极静之时，听到鸟鸣，令人不敢堕落。”
//@知书少年果麦麦:看着就好幸福//@夏目家的小诗哥:四季清单//@什么小面包:我要永远收藏这条，提醒自己每天都是值得幸福的。
单位派人出国挂职锻炼半年。多么难得的机会，是我日思夜想的机会，竟然被自己搞砸了。书到用时方恨少，恨自己的不学无术 ​​​
//@汪有:最右这段太好了，这就是爱的意义。现在很多人被异化后，把感情当成刷题刷够事业成功的奖品，“我月薪X X万岂不是随便找”，把情感也纳入进系统，这是可悲的。//@来去之间://@陈生大王:值得一看。没耐心的话可以从图2中段开始看。全民跳入漩涡，为1%的优胜者，伤害100%的孩子。//@罐头辰:// ...展开
笑鼠哈哈哈🤣
//@本溪小哈啤:哈哈哈哈哈哈//@咖啡当茶茶当酒:不能一个人瞎 查看图片
哈哈哈🤣
//@南郭刘勃://@那罗陀_银子:贷款买房生二胎，该踩的坑都踩了，还是IT这种高危行业。总之就是，宣传什么就要警惕什么，促消费啊提生育率啊学理科好找工作啊……听听就算了，跟普通人不搭噶的。//@科学自由剑:很残忍。
名利场写诗
徐老师年轻时骚柔，现在是老城持重🤓
//@严锋:退化的过程：博客——微博客——视频——短视频……越来越短，越来越碎，越来越扁平@牯岭街少女:「语言是构成思维的官能，语言的边界就是世界的边界。」
