 看看我 看看我请评价～ 查看图片
正义终将会到来！！！中山大学6名博士生被他们的导师苏士成当白老鼠，做癌试剂实验，6名学生均患癌症，生命即将走到尽头，这个导师苏士成曾经去过日本留学，苏估计已经是给日本利用的汉奸了 ，苏的家族势力颇大，把事件压下去了，热度也没了，6个博士后的估计也差不多……没了苏士成学生集体患癌。学 ​​​ ...展开
中山大学6名博士生被他们的导师苏士成当白老鼠，做癌试剂实验，6名学生均患癌症，生命即将走到尽头，这个导师苏士成曾经去过日本留学，苏估计已经是给日本利用的汉奸了 ，苏的家族势力颇大，把事件压下去了，热度也没了，6个博士后的估计后来也差不多……苏士成学生集体患癌。学生们的导师苏士成，之前 ​​​ ...展开
