草拟蟆的 再坚持两天。。。。 ​​​
查了一下 今年犯太岁 确实是啊 开年就病了两个月 一语成谶都好几次了 脑子里不想发生什么偏偏就发生什么 想要努力抓住什么 什么就会溜走 感情事业也不太顺利 经常情绪反扑 可能这些就是我的报应吧 哈哈哈 不过还是很感谢天让我这么早遭受报应 提前让我醒悟 让我知道了以后该做什么 不该做什么……emm不 ​​​ ...展开
我跟狮子座的就是孽缘… ​​​
swh我昨晚睡觉梦到你了 ​​​
分享图片 ​​​
受不了了 睡觉被舍友吵得神经衰弱…… ​​​
今晚一不小心吃了一万卡 ​​​
犹豫了一个小时 还是决定了下去买提拉米苏吃 ​​​
你怎么就不能喜欢我一下呢？ ​​​
//@静候节假日:全盘托出
头发一长就想去剪短 短到肩膀的那种 ​​​
原来我是引导型
啊T的牛油果甘露 你怎么可以这么好喝？ ​​​
28 心乱如麻 @QQ音乐 ​​​
怎么又到星期一了 我不想活了… ​​​
又要跟我姐绝交了 哼 ​​​
气死我了气死我了气死我了气死我了气死我了 ​​​
分享图片 ​​​
真的很喜欢的话就是会希望能有很多很多个瞬间啊 一瞬间怎么够 这样我会疯掉的
好吧 其实我就是学她打的鼻钉舌钉 结果后来越打越上瘾🌚
61.5kg了 ​​​
不喜欢跟太自我的人聊天 ​​​
头要炸掉惹 ​​​
困的快猝死了 到底哪个傻逼排的五天早八…… ​​​
就这个生日场爽！ ​​​
喉咙好痛 晚上要喝点酒给喉咙消消毒 ​​​
冲冲冲！
一点点太猛了 今晚不知道几点才能睡着 ​​​
好想粗去丸～ ​​​
醒了，谁来爱我
被发现惹 偶其实素小太妹（bushi）🤣💅 ​​​
我到底啥时候才可以去收拾行李？ ​​​
我今晚： 嘿嘿
不想开学 ​​​
太好了
嘴巴随时都想吃点东西 ​​​
含金量 懂？
还有上护发素 吹头发前上护发精油 吹半干还要梳一下头 吹全干还要梳梳头再上一次护发精油 谢谢er
“玉米人”哈哈哈哈哈哈 莫名其妙的萌点 ​​​
太有生活了
今天很开心～🥰 ​​​
羡慕头发多的宝宝 ​​​
有没有s  要能把我调成晚上十二点就能准时睡着的那种。。。。 ​​​
Dream a little dream of me ​​​
喵。 ​​​
今天开始戒宵夜 ​​​
刚刚卷出来了一条近乎30cm的鼻涕虫⁄(⁄ ⁄ ⁄ω⁄ ⁄ ⁄)⁄ ​​​
感觉自己好没用…一吵架就泪失禁…… ​​​
只有打了舌钉的人才能懂、、、、 ​​​
我寒假状态：
破纪录 今天吃了八个蛋挞 ​​​
为啥我get不到生椰拿铁 感觉无论点哪一家的都好难喝 ​​​
表面对掐自己脸蛋的人生气 实际上在暗爽 嘻嘻嘻嘻 ​​​
(＞_＜) ​​​
再也不去喝酒了 ​​​
刚看了一眼今晚拍的照片 崩如溃 鹅蛋脸变圆脸 下颌线直接消失 看来湖城真的把我养得太好了 ​​​
今天不开心 ​​​
讨厌死装子 喜欢真实真诚的人类 ​​​
刚刚睡觉梦到了自己买50的刮刮乐中了五万块啊啊啊啊 我真的不想醒来 ​​​
最近疯狂迷恋Joey的歌 ​​​
我要化了
开心开心开心 今天点点老师请喝咖啡了～ ​​​
好喜欢zara的裙子 ​​​
