#允许自己把衣服在椅子上堆成小山#然后又慢慢得把它收拾掉，就觉得格外清爽。 ​​​
爱图2的紫色🟣
真的很讨厌单位里那些整天七嘴八舌议论别人家事的家伙 ​​​
图一
#雁回时好像疯走了#这个场景和女主母亲揭露庄老爷是义子那会儿是一样的，同是同归于尽，却也有分别。 ​​​
#雁回时好像疯走了#阿芝是无辜的吧 ​​​
#雁回时#看了13 14集  还不错  但感觉还差了点啥  再看看后续发展叭  女主母亲真的很刚强  最吸引人的就是女主母亲的演绎了 ​​​
[锦鲤附体]
[锦鲤附体]
#雁回时#今晚这两集真的忍不住吐槽一下，真的女主的行为有点奇怪，虽然没有上帝视角，但真的有点不符合常理在众人面前质问母亲。按逻辑，聪慧女主明知母亲有苦衷，母亲一向不愿和她说出口真相，为什么不直接找宇文从他那里寻找突破口呢好吧，真的很奇怪不是吗。如果父亲真心疼她母 ​​​ ...展开
#雁回时#感觉今晚11 12集的剧情，有点搞不明白啊。女主明明一开始就从奴婢姝红那里得知绿豆糕是下人才吃的东西，怎么会后边还因为这个对庄父的行为感动流泪了，明明她那天都没吃绿豆糕。而且从女主回庄家那一刻开始，后来听见宇文和母亲的对话，她知道母亲有苦衷，加上庄父后来夺了母亲的掌家之权，怎 ​​​ ...展开
从今天起，我变成一株植物，只要水 阳光 食物，我就能活得很好。 ​​​
[锦鲤附体][锦鲤附体][锦鲤附体]
@00Kkling
#当你连续吃一家饭100次会有什么发生#习惯性依赖不可以。我怕自己吃不到了之后会不习惯，会难受。 ​​​
难过也不可以说的。不可以说的。 ​​​
每天都要告诉自己一句:我很好，不要看别人，只看自己！我就是很好很好很好！ ​​​
祝我自己，冬至快乐。虽然很多很多很多事情我都没怎么想开，但我相信  我一定可以解决所有阻碍自己的人事物  去尽可能靠近那个理想的自己。 ​​​
我永远都不会原谅给了我一刀的他们。 ​​​
最恶心最恶心最恶心的事情就是，在明知道你不舒服的时候  是家里人给了你最后的那一刀。 ​​​
我会想明白的， ​​​
职场上 不管怎样的同事  只要看到别人被坑  他们总能毫无教养得发出刺耳的噪音大笑。 ​​​
你的同事总能让你觉得无语又无语  ​​​
一天天的，神金病真的挺多的 ​​​
得不到的我不要了 ​​​
是的，没错。
我不要了
最近发现自己有点毛躁了我要降低我的物欲！降低欲望！ ​​​
不行！！！不能再买东西了！！不能再剁手了！！！！啊啊啊 怎么回事，最近购物欲望太强了…… ​​​
面对情绪闭口不谈视若无睹 ​​​
#13岁男孩性侵8岁女童警方不予立案#世界这么癫狂了？？？这种事情，每一个字都狠狠戳在没有受到实际保护的受害者身上 ​​​
所以……人心情不好的时候就会想要疯狂购物吗…… ​​​
对！
