无条件溺爱！ ​​​
五个月
拜托30号也要有好吗好的
出现即焦点，闪耀伦敦
好好珍藏这个小甜甜 ​​​
太宠了
这个男人 绝了
吴磊就是生图的神
怼脸拍都帅成这样
#吴磊出发伦敦时装周# 完全带入“这次，他要拿回属于他的一切”。 ​​​
十年，弹指一挥间//@吴磊LEO:#琅琊榜开播十周年# 十年一瞬，看过人间风雪，苏哥哥放心，飞流安好，只是又想吃甜瓜了。
真中奖了，从此开始连连好运吧 ​​​
我可以
上次的裤子这次的鞋 ​​​
小哥哥终于换头像了，让我们谢谢白央 ​​​
接个无缝//@Lynne豆豆:还有//@生花烹饪铺:开机大吉！吴磊还有一部电影在谈！
刷到央的路透，一眼以为是宋三川。 ​​​
@陆桂雨 @鹿龟鱼工作室 这都干不好？我请问呢 ​​​
心软的神温柔地说“好不好”
#吴磊空降金九# 熟男和可爱小狗的反差感，谁懂 ​​​
吴磊超话 太帅了 ​​​
只要把我磊拍得帅帅的就行，轻轻松松拍完进剑来吧 ​​​
怎么还跟花臂大哥hey bro
好有活力啊！
我天，好宠
好近好帅
趴趴磊你好请多多饭撒 ​​​
小嘴叭叭叭，爆米花吃不停🍿
@吴磊LEO 今天七夕，发组自拍看看实力 ​​​
难不成这套的灵感是来自小说 ​​​
让我好好看一看👀
转存
陆龟鱼什么时候衮，又给小哥哥穿丑衣服和厚底鞋 ​​​
华为真的好会拍
不是大牌不是高定有什么发出来的必要
djd让我磊烫个泡面头是让妆吧 ​​​
看完我整个人都不好了
#吴磊让A市总裁有脸了# 就是这个v领好 ​​​
#吴露可逃# ​吴磊实惨 ​​​
转存珍藏
太帅了，宝格丽磊就是无敌的 ​​​
太好品了 ​​​
#吴磊官宣费德勒超级挚友之夜# 宋三川限时返场 ​​​
djd换宣发好吗，现在这老人味十足的宣传吸引0人进场看。 ​​​
太心疼我家孩子了 ​​​
东极岛(2025) 我的评分：#电影东极岛# 超绝视效盛宴，imax观影体验太棒了。阿荡太美好了，吴磊太会演了，那双眼睛让人难忘。 ​​​
//@失联养樂多:牢记//@烫金真爱册:好//@歌木木朵:好恰当的类比//@王太弱:yes//@快递员吴彦祖:不放大 不缓冲 拒绝像素级审视//@蒙蒙懵懵哒:yep//@宣和一人:远香近臭//@Bnoye:流畅播放就挺好，1080P太高清了对彼此都不是好事。。
转一个晚点回家看
哈哈哈笑死
这个阿荡的衣服有🌊
霸总你好
报喜鸟拍的真不错
点击看吴磊撒娇
这一套我真的很爱，被吴磊帅到不知所措路演copy这套来一场好吗，好的！ ​​​
这两张我好爱啊，尤其图二，咆哮的小🦁 ​​​
弹跳力这么好啊
没看见思君，明天是tina的概率又大了一点，tina我们需要你啊 ​​​
这个djd终于有张不错的海报了 ​​​
🍿我也喜欢这张呢🍿 ​​​
卷毛阿荡小可爱
哇喔
#吴磊古早风白月光# 对着这张脸我只想说：我可以我可以我可以我真的可以 ​​​
我家小哥哥变形记，吴磊爆改阿荡 ​​​
阿荡，8.8见！//@吴磊LEO:#电影东极岛上岛下海幕后揭秘#从第一次下潜到完成拍摄中的这些“不可能”，每一次突破自我的极限，都更能体会到阿荡心中的坚韧。#电影东极岛#8月8日，大银幕见！
红帽子黑帽子 ​​​
宋三川漏个脸吧
排面🈶
太牛了
//@安妮学姐爱生活:“我们以后就讲这个！”
吴磊超话 阿荡，冲 ​​​
阿荡，8月8日见//@吴磊LEO:#电影东极岛还原83年前的渔村##东极岛主创被渔民的热血感染# 是平凡的中国渔民，也是最了不起的人。#电影东极岛# 8月8日，影院见！
这意思是男主定了，齐静春定了，瓜主们别跳了
我磊真的超长一条，比例超级好#吴磊电影东极岛# ​​​
太招人稀罕了
好有趣
老工，跟着跑这活儿我能干
剪得太好了
实锤某人就是捡漏 ​​​
我们家帅气可爱吸睛开朗的小哥哥站c位怎么了？零人要看干瘪老头好嘛 ​​​
这才哪到哪啊就破防成这样，谁蹭谁啊，一群皮偷偷。路演的时候让我家小哥哥带你们见世面，什么叫国民度。 ​​​
学习//@暖小团:好的//@快递员吴彦祖:我学习//@颜文字君:学习//@鹿巻://@你们的老攻洛蝶://@松岡徒:学习//@草莓奶霜加冰:学习//@cancer二次方:学习//@阿华田酷脆酱厨:学习//@天野雪子://@NAGIKORI_IZAYOI:自勉//@-赤道逆流-:逐字研读//@大荼丸子:转发
你是一枚可爱的巧克力豆
我家哥哥穿ysl多好看啊，请多穿。m那个q能不能别再穿了，卢桂玉选不出几件好看的。 ​​​
#吴磊撞脸Labubu# 东极岛有自己的leibubu ​​​
#吴磊来华为发布会了# 夜礼服假面 ​​​
码一个回家看
#吴磊 我的屁股变得开朗了# ​​​
谁懂，我笑的停不下来
#东极岛明日定档# 阿荡，我们暑假见！ ​​​
gxg和jqq，拍一部扑一部！ ​​​
#吴磊穿了镂空内衬# 咱就是说下次可以不穿内衬吗？ ​​​
//@请你吃垃圾://@甜霜啊://@亚尼大帝:凭什么呢//@芸豆和雨豆://@桃子与司康:正常人都可以莫名其妙被关进精神病院，专挑弱者下毒手的“精神病人”为什么能自由上街杀人？如果“精神病”就能免责，那就该由直系亲属担责，没负好监护责任危害社会了，精神病人进精神病院，直系亲属承担连带责任坐牢去，看 ...展开
 ​​​
希望你受的苦和所有的努力都有所回报 ​​​
车开过去了，可以梦一个进组吗 ​​​
@凯旋1664 全平台公开道歉！
这身是老杰吧
太可爱了
小北，你哥rua耶耶的视频居然有30秒
闵行区舞王重出江湖
