爱豆这样的职业请多交给这样真正热爱的人去做吧
有点太般配了….
//@Ericaliga:多么复杂、细腻、洒脱、浓烈、尖锐锋利却也比天地厚重宽广的情义。
卧槽
人生有很多美好的时刻。如果问我最喜欢哪一刻，我的答案是作业写完了下班了走路回家戴耳机听音乐的20分钟 ​​​
人更能共情有相似经历的人，曾经实习过的学生工作后会主动关心实习生，就像他们在帮助曾经的自己一样 ​​​
医院洋人同事评测：-直男真的很喜欢对别人wink-假睫毛长度和温柔指数正相关，假睫毛能扇出龙卷风的女人都温柔似水-看着像40的白男可能才25-能当上doctor的都是黄皮肤亚洲卷王- doctor发量和病床上的老头差不多- coordinator的大红领巾颜色很土但是戴上好帅 ​​​
我恨这个抖鹰土嗨DJ配kpop美女就摇身一变升咖进行曲的世界 ​​​
推荐页之于微博，就像三中心之于red velvet一样卵用没有看了还心烦 ​​​
满脑子都是老三巡演和乐队一起嗨的场景了🙏🙏
😭
我就是那种去医院实习前和白人同学老师强装镇定彼此祝福have fun，扭头和亚洲同学说我好想死的那种一分钟变脸十次的苦命男子 ​​​
有一种直男是笨拙但可爱的，给他带了瓶水他能从健身包底层翻出来电解质粉给你两大勺强制灌到你水杯里，傻呵呵和你讲这样水就变好喝了 ​​​
我们松鼠完就是换了新公司也是团魂满满依旧2周宣发期 ​​​
别的kpop团在抖鹰土嗨摇几百万赞出圈上热搜的时候red velvet五女子还没有抖鹰官号 ​​​
wbg你真的有点陌生了
北京达不溜币季你猛到我不敢看直播怕心脏受不了🤦
对红丝绒支持的极限就是让自己认识的所有韩国同学拿出melon给我点赞听歌（没有melon的现场下载 ​​​
不管什么歌朴秀荣嘴巴里过一遍都仙得不得了……. ​​​
糕大人我们喜欢你😭
糕女王我们喜欢你🫶🏻
糕女王怎么这么会唱🥹
松鼠完solo3敢不敢rap一整首歌 ​​​
糕女王饶命
李成洙你ig给red velvet点个赞会死吗 ​​​
姜涩琪怎么萌成这样🥹
姜涩琪就是那种有活动感恩主办方，上班感恩同事，上学感恩老师，回家感恩爸妈，演唱会感恩粉丝，然后不管吃到多难吃的餐厅都要感恩食物的一款清澈愚蠢虔诚的感恩系女子 ​​​
我们老糕怎么艺术成这样
桃晚安你再这样我就要叫妈妈了
前脚说完八月对我好一点，后脚发现需要在八月写完6000字论文考一场没有选择题的大试还要学一个online课程拿到证书🫶🏻 ​​​
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
红丝绒女孩的命运就是不管solo大队小分队一律回归提前2周开始宣发
RedVelvet就是那种在短视频平台打火机变装手势舞进行曲白济娜那个团开始翻红结果大家发现已经解散甚至发视频都要蹭smtown的号连个自己官号都没有的那种女团 ​​​
RedVelvet超话  不是乐比的人永远不会懂diamond开头裴珠泫姜涩琪和伴舞排成两队齐步走向延伸台的老公感 ​​​
你怎么知道裴珠泫姜涩琪在曼谷场又摸脸又戳腹肌还唱跳rbb了，麒麟批吃得很好
裴珠泫姜涩琪不要忘记RBB
🥹
金艺琳你再演恐怖片苯胆小乐比就没办法支持你的票房了 ​​​
看演唱会都没有的戒断反应，医疗系统实习给我搞出来了，现在大街上看到一个头发白一点的都想过去扶一把评估一套fall risk😅 ​​​
除了关系很好的一群朋友聚会，其他的饭局真的要控制人数保持3人以下，不然很难进行比较深度有效的对话和沟通 ​​​
二女子能不能分我一口
去年fancon被金艺琳看了一眼我已经激动到四肢解体手机360度旋转震颤了，你们接到饭撒不手抖的人是不是磕药了 ​​​
和你们在澳门的人拼了！ ​​​
😶‍🌫️
你们在pyq刷屏bp到底是因为喜欢这四个人和音乐本身，还是感觉发了bp会让自己变时髦 ​​​
无条件喜欢和那种天天叫他宝宝但是不会觉得你喜欢他的直男打交道 ​​​
最近生活的好消息就是牛马实习幸福地结束，全程英语和别人hangout也可以很丝滑，以及国内的好朋友旅游签下签来找我团聚 ​​​
人怎么能帅成这样
接触了18岁的老外真的会怀疑人生，思考人怎么能松弛开心到这种程度我是不是老了陪笑不动了 ​​​
暴走小兔子🐰🥹
有时候真的很想把午餐吃咸鱼罐头泡米饭还加热坐我面前的不丹同学关进监狱 ​​​
上满八小时的shift后练两个小时hiphop的人做什么都会成功 ​​​
哪家养老院收20岁的老人？ ​​​
labubu我们喜欢你//@substitutebutme:拥护这个labubu
拉布布比自己的粉丝有品味//@只留下尸臭就走了:拉布布比自己的粉丝有品味
我以前对labubu的态度：好丑怎么这么多人跟风😓朋友抢到了十几个要送我：喜欢labubu的人都好善良好有品味💅 ​​​
怎么能般配成这样
和搞红酒生意的人喝酒就有种和飞行员坐过山车，和PhD刷高考题，和姜涩琪学舞蹈基本功一样被学霸带飞的感觉 ​​​
练了几天hiphop要把脚腕拧断了有感： ​​​
苯人南半球冬季浴室取暖秘籍就是打开烘干机 ​​​
一技能：抵制二技能：只期待三技能：图好美ip地址：Chinese mainland ​​​
心飞到首尔去了
嫌歌手的歌曲不够高级，又不听red velvet irene&amp;seulgi小分队的tilt，和这群难伺候的人没什么好说的 ​​​
本发ins不会用配乐功能的土狗每天都在偷裴珠泫姜涩琪孙胜完朴秀荣金艺琳IG配的bgm ​​​
Repost
在SM的生蚝营销下70mv预告ig数据已经倍杀cosmic了🙏我恨这个好歌曲不如好营销的时代🙏 ​​​
我受不了了//@法棍馒头:🈲//@夢境溯洄://@Allforditch_肥麦中文猞:救命啊//@江赫:吓死人了//@不睡不吃我病了:看完预告怎么感觉真的会出现这种编舞//@PopgunII:是这样我看到了
爱女是你的谎言//@VVTONT_:我看看是谁男凝了
每次坐公交车都能精准坐到阳光直射的那一侧 ​​​
好吧
对我的眼睛很友好
感觉Tilt下一秒就要“heyyy～Dont think about tomorrow”了
啊啊啊啊啊啊啊啊//@法棍馒头:啊其实东南亚人也在哭诉因为小分队没开马尼拉的场笑死我了。。。
那又咋了//@EmotionSubstance:take me too high 那又咋了//@听着萧邦的夜曲解方程:没问题
啊啊啊啊啊啊啊啊啊啊啊
啊啊啊啊啊啊啊啊啊啊啊//@全自动取猫机:上野千鹤子又在搞男凝了//@substitutebutme:送给（） 查看图片
wendy能不能唱完校庆就去歌手当飞行嘉宾 ​​​
心情是：
冷知识：其实@RedVelvet_official 三中心官号运营发完定时微博就睡觉了，不会多加班一分钟看评论区 ​​​
我就这样小发雷霆//@VVTONT_:顺便问一下为什么要踩西瓜
别开团票了，开个乳腺结节体检团购吧 ​​​
小姐姐你妈妈知道你一点书不读一天到晚抱着手机同时给安琪拉甄姬杨玉环记者调香师红蝶裴珠泫张元英柳智敏宁艺卓宫胁咲良发微博维权吗？ ​​​
看到那种一会给王者荣耀英雄维权，一会给电竞选手维权，一会给明星维权的维权姐就头风发作，帮各种次元人物维权的次数比315晚会一年维权数量都多 ​​​
我就是那种十天下载了五个洋人短剧app看一些无脑剧情练英语听力磨耳朵的IG信息流ad推广大师 ​​​
全世界跪迎！！！
戒酒的乐比有福了…….//@VVTONT_:我受伤了。。。
我和姜涩琪的区别就是逛上海古着店不消费我会被老板翻白眼 ​​​
感觉今年除了我所有人都是刷完多邻国拿着大疆pocket3去玩室内攀岩 ​​​
抵制小分队回归的不要和我抢票🥵🥵🥵🥵
五月回归就是两周回归预热然后预告期双休的意思🤝//@VVTONT_:有点太赶了吧？//@今天也很好看呢:居然五月❓❓❓
完全我苯人
cosmic就是那种不续约了才会有一大堆人吻上来听的神曲 ​​​
临时加场你真的挺有病的
啊啊啊啊啊啊啊啊啊啊啊啊
