今天是我的生日10月07日，来祝福我吧~  
":客体Objekt一词来源于拉丁语中的动词obicere，有阻挡、劝诫、指责之意，其中蕴含着它的否定性。作为消费的客体，商品完全缺乏obicere的否定性。它不会指责我、控诉我，也不会与我针锋相对。与此恰恰相反，它依偎过来讨好我，诱我喜欢上它。对立和相对的缺席正是当今社会的认知特征。
越来越感受到围绕商品的生活是远离人的生活，商品的传播中自带了一套话语，悄然改变了人的认知方式和行动能力。当一个人无法书写自身的个人志，而是通过商品建构自身，可能会面临像布迪厄描述的“文化失语”，从而只能背离自我去谋求新的文化资本。"
我分享了 @董董Mercurio 的头条文章存在之焦虑是生活的一部分。它在重大生活事件或重大职业里程碑之后特别明显。它似乎特别影响聪明、有抱负的人。我认为一些人之所以如此努力工作，是因为他们不想花太多时间思考这个问题。对于你有这种感觉并不是有什么问题；你不是一个人。 Sam Altman的30岁人生建议  
开音响听exile的时候觉得这个世界简直棒呆了  
离家不远的唯一坏处就是坐地铁比回家的高铁还久  
