依心而行 无憾此生. ​​​
和老师说决定放弃上交的那一刻 我突然想 我去了红房子 不一定有儿中心快乐 ​​​
东南已经打电话给我让我确认了 沪上双C还没一点消息 ​​​
你和儿科的交集 马上就要止步于此了还不止呢 我和上交的缘分 马上也要止步于此了但你和复旦的缘分马上要开始了世间安得双全法不负如来不负卿 ​​​
给乌萨奇洗澡 ​​​
可能就是纠结型人格吧 虽然拿到了梦院offer还觉得不踏实 红房子的教育处老师真的凶（而且动不动翻白眼）儿中心那边的老师偏友好温柔 而且红房子是不是不发正式通知 我都担心被拟录取是不是真的 虽然加上了导师微信不真实不踏实 ​​​
爱喝桂花味白啤的乌萨奇#桂花# ​​​
很难再搞清当时报儿中心直博的初衷和出发点是什么 没想到拿到offer后却成了我内耗的源泉 成了烫手山芋 ​​​
现在每天都在左右脑互搏就承认吧 只是贪恋上交直博的名号罢了 还有他的待遇 ​​​
offer要显贵 基础款就不能再搭基础款学校基础 专业就不基础专业基础 学校就不基础 ​​​
目前手上两个offer全是基础款搭不基础款 东南消化专硕 上交儿科直博上身基础 下身就不基础 ​​​
拿到儿中心直博的优营了 ​​​
仁济肿瘤所的导师真的好真诚人生路上得遇良师是一大幸事 ​​​
儿中心真是个老六疑似被儿中心做局 ​​​
儿中心 你如果真的非要选在七夕节出结果的话 你是有什么恶趣味吗 ​​​
现在我爸的选调梦又更近了一步 ​​​
东南结果出来之后 就再也不是没有offer的野孩子 ​​​
本来已经压力很大了 想找个安静的地方学习而已 还tm有傻逼来恶心你 你踏马是不是自己不学习有仇恨学习的心理啊实习生谁都敢来说几句 狗路过都敢来朝你叫几句 ​​​
出了学校之后 就算这示教室没人用 他们来开会你会离开也没打扰到他们 还她妈来说几句风凉话 就算她自己也没来过几次会 人家护士上次都说了公共资源可以用 阿姨可以进来睡午觉刷手机 我就不能进来看书？你tm还说我去问问这什么资源 教育处老师都说了可以在示教室看书你门口那么大个示教室三个字你眼瞎 ​​​ ...展开
还有一年毕业 能让我赶上211的毕业证书吗跪求南医矿大爸爸收留 ​​​
“你幸福的话 杳无音讯也没关系”你现在已经回校了吗 是不是已经开始你的研究生新生涯了呢 我们的距离是不是近了点 （可那又怎么样）这个暑假 你有没有出去旅游 去了雪山和草原吗 你说这是你想去的地方 玩的开心吗 永远失去了你的消息 我好难受 虽然理智告诉我 你做的是正确的选择 ​​​
我要笑死了 出事了“知名医科大学”没出事的时候是四非二本无人care ​​​
如果你没退网 我是不是就能看到你知道霉霉结婚消息的反应了 你会不会说“我一直在哭”但我想你肯定是会祝霉霉幸福的吧 不是不婚主义 不是必婚主义 而是幸福主义 ​​​
我的网易邮箱现在连续给我发消息都是附件超过72小时没下载了 真绷不住了呀 ​​​
也许老师真的会看到标题就不点开了 ​​​
儿中心 你不会要在七夕节发结果吧 ​​​
#霉霉订婚#还以为又是yxh造谣了 没想到是真的这次是真；你属于我照进现实了 ​​​
前几天看到我晚上回来还问我这才下班啊 不是你我再多说一句话就是对你曾经的决定的不尊重好吧 我就不该谈 当时只抱着没谈过好奇的心理谈一场 哪成想自己并不是一个拿得起放得下洒脱的人 刚上大学真傻逼的很 ​​​
谁知道这段时间时间撞邪了 总你妈碰到前男友傻逼前男友还来句怎么每次都是你 你不想看到我以为我想看到你嘛还奇怪总碰到我 那是因为我最近磁场很晦气 没有这么多巧合 没有人愿意看到让自己心里堵得慌的人啊当时看你没去苏州湾我真的一阵头晕目眩 ​​​ ...展开
每日一问：老师为什么不读我的邮件要疯了 ​​​
补了6.5在东南食堂吃爽了现在已经开始后悔没带正装战袍来了 ​​​
老师能不能读一读我的邮件📧 ​​​
要不是 酒店在京东上定了不好退 不然我真的不想去东南那个夏令营了真的很累啊 ​​​
 ​​​
来狠狠补雌了 受不了自己不行前三天好好的 第四天戛然而止  ​​​
到这个时候 竟然会焦虑失眠了 ​​​
说实话 已经不知道学什么了 ​​​
老师求你回复我好吗 ​​​
今天喜提三封已读不回 都没下载附件 ​​​
我真是 🤡本丑了 ​​​
发了一封给内分泌的导师 也是只读了什么都没下载 ​​​
又发了一个红房子的导师 只是读了一下我的邮件 什么都没下载 更没有回复 累了 毁灭吧 ​​​
南京药店买的布洛芬还怪好看的 ​​​
怎么一来南京就生理期啊到门诊还拉肚子 我真绷不住了 ​​​
这两天六点多就起来赶高铁 真累啊 今天要去省人医还是后悔了 一早应该多去蹲几个妇产博导的门诊 ​​​
8.20苏州晚霞 ​​​
不知道为什么 私面没有成功我的心里没有难过 反而是深深的愤怒 在你眼里 你的母校在你毕业几十年之后她就发展的这么差 甚至连给本科生提供科研训练的资源都没有 而扬大 他们的学生有资源去打全国竞赛 就是顺理成章 如果你不是徐医毕业的  我还能理解这样的偏见 而你也是从徐医出去的啊 你就这么侮辱你 ​​​ ...展开
学长和我说直博就像嫁人我当时想问他“学长是不是想嫁人了” ​​​
就我去面试 其他面试老师还说 徐州医科大学不是蛮好的吗 这就是情商懂吗 ​​​
人家上交的老师我去跟门诊 人家还和她的学生介绍我 这个是徐州医科大学的 绩点前三 人家都没张嘴就说徐州医学院的 ​​​
哦这老师还说徐医学生不是都没科研经历的吗 看到我有成果还很惊讶的 妈的你是被扬大的灌了迷魂汤了吧 在你眼里扬大比徐医还高贵？妈的我们徐医去年一个学姐复肿直博 一个学长上交直博 学长更是发了40多分的综述 我同学今年七篇SCI 你TM是对你的母校有什么偏见吗？？？张嘴就说我是徐州医学院的 你母校 ​​​ ...展开
你有本事说她六级说她绩点说她文章啊 就知道拿最水最被人不耻的拿出来堵人 什么垃圾玩意 就只剩做ppt经验发言经验了吧 其实这就是早定好的 随便拿个理由贬低你罢了 打比赛好就是成绩比我好了 滚呐 ​​​
今日笑话 扬大的打比赛厉害的比我成绩好我一般还是挺自卑的 如果别人不选我我都会内归因 觉得自己不够好 这个是真难绷 成绩好你说个92的我都心服口服 垃圾玩意儿也配和我们徐医相提并论说自己母校倒数 真好笑 一般老师还会倾向自己母校的学生 这个是从来不收徐医的 6 ​​​
老师说自己也是徐医的 但又说这么多年来没一个学生是徐医的 还说自己从排名倒数的徐医走到上海这边的位置 连自己都看不起自己的母校呢 这点交大老师情商就高的多 人家甚至说徐医和南医差不多 就算人家也只是场面话 但人家这样的好老师不一定要我啊 ​​​
聊完了 直博还是看情谊吧我感觉 那老师直言不讳说有个扬大的女生大二大三就联系上他了 成绩比我好 你倒是说说她绩点排第几啊 说是打比赛很厉害 笑死我了 就拿你简历的弱点堵你呗 导师一般只看文章 傻逼都知道竞赛是什么傻逼玩意 不想要你的人有一万个理由拒绝你 你说一个92的 或者就算是扬大的发文章厉 ​​​ ...展开
笑死我了
这几天感觉是我准备保研以来最内耗压抑痛苦的几天 突然对明天的见面没了什么把握果然算命的说 “不要让任何人走进你的内心深处”不然我肯定会深受其苦 面对心中最渴望的 我就是这死出 ​​​
是不是我对自己的要求太高了如果只是报个专硕 就不会有这么多痛苦 ​​​
累了 现在能不能直接跳到928 ​​​
虽然老师已读不回 但我还是决定周三去一趟上海最想上的我要拿出我的诚意 ​​​
和省人医导师求私面的回复让我想到红房子已读不回就更加难受😭 ​​​
玩弄大裤衩  ​​​
阊门城楼上吹吹风  ​​​
我之前给省人医导师发邮件想私面 一开始也是已读不回 但是他周四门诊还让研究生打电话让我过去了 可惜的是一开始一直没回我就在夏令营结束当天回苏州了这个老师已读不回是在考虑吗还是根本没有意思 面对梦导这种感觉就像被crush拒绝了一样心痛 ​​​
梦校梦导求私面已读不回 心已死 ​​​
#吉训明任协和医学院院校长#我要被首医和协和的拼好校笑死了 ​​​
我为什么能看成山塘街 站街区 示意图我真是个人才 ​​​
虽然一心想冲红房子的直博 但冷静下来想想 如果未能如愿又如何自处 直博 一个导师一年只有一个  除了自身的实力 可能还得有你和老师的师徒缘分 亦或者是一些私交 很显然在这方面我是得不到帮助的 妇产这个学科 如果不是嘴好的医院 那性价比真的是很低很低了 目前南医还没有完全联系好导师 我一定要给自 ​​​ ...展开
现在相信了你文章的审稿人不知是人是鬼 自从发了一篇英文文章至少收到三个审稿邀请邮件了经常有邀请你参加什么学术会议的 ​​​
也是坐上wzry专列了但我今天没听到我的闹钟我真的麻了 ​​​
都是🎣 但是对待最想钓到的鱼还是很紧张的但是老师的回复很中性啊 ​​​
星期五套了一个的梦院的博导 至今未读老师求你读一下好吗 ​​​
以后再喝☕️我就是 ​​​
下午喝了一杯咖啡 现在对自己今晚的睡眠很担忧躺了一个小时了毫无睡意我恨咖啡 ​​​
我怎么总是爱上会让我痛苦的东西 ​​​
秋天的第一杯咖啡☕️中午和我同学吃了一顿湘菜 家人们相信我好吗 下次没有胃口吃饭就找你的胖胖朋友陪你吃饭 他们吃饭真的特别想香看他们吃饭真的巨有胃口#秋天的第一杯奶茶##吃饭打卡# ​​​
突然理解了之前自己也不能理解自己的心理虽然我最想上的不是儿科 是妇产 但是毕竟还是去儿科老面前搔首弄姿了一番 还是发现她不选我我还是会很伤心的ok闭嘴不许哭超话 ​​​
上海的宠物鸭真通人性啊 在路上溜着遇到烧鸭店就不肯走了 看来他知道他的归宿在这  ​​​
上交的老师真的超级好 我爱上交 去跟门诊老师会很客气地和你打招呼 向她的学生介绍你 面试紧张还会安慰你  面试基本没有专业问题 主问老师是你报考的导师 除了老师突然问你昨天跟门诊印象深刻的三个病种 闲聊模式 感觉直博生面试就是纯看老师眼缘吧 挑一年一个的弟子 还是看你和她有没有缘分上交医 ​​​ ...展开
我这个导师是三进一  一个导师一年只有一个直博啊我同学好像是二进一 ​​​
感觉被美国儿童医学中心这个logo可爱到了 这个熊真可爱啊 ​​​
感觉我报的这个导师 研究方向很是小众竟然是负责罕见病的 这些病我都很陌生  ​​​
去报到的时候还顺便去仁济医院里面看了一下 仁济医院 仁术济古 ​​​
我同学说这辈子没见过这么多小孩 麻 ​​​
我那同学将近十点就到上海了 现在还没到医院 被上海的通勤吓晕 ​​​
北京实习的同学已经踏上了来上海的动车 坐一晚上动车我只要二十几分钟就到了 爽死他两个拿儿科练手钓鱼佬 ​​​
谁敢想象是江苏省GDP最高的苏州市中心 还有遇到大雨屋里就和下小雨了 命苦  ​​​
安得广厦千万间 大庇天下寒士俱欢颜夜里被雷打醒没睡着早上刚睡着 竟然有水溅到脸上 床头桌子全湿了 还不是顶楼 舍友的拖鞋被漏的全是水 ​​​
自从被雷轰醒后再也睡不着了 ​​​
谁懂很怕巨雷但又不敢拿手机的绝望闪电一道道晃在我的脸上真的害怕被劈死 ​​​
谁懂宿舍床在窗边的绝望真的会担心这个炸雷会劈进来 ​​​
五雷轰顶 ​​​
看到这个酒店的价格 我陷入了沉思。。。。。便宜的老的是不敢住的 因为我怕👻👻👻👻 ​​​
今天突然悟到了之前没有搞清楚的原因。。。也没有总想着吧。。。虽然觉得对方不管出于什么动机都做出了对大家都好的选择 但想通了之后确实释然了不少还记得以前在分手几个月后删掉前任的联系方式 还痛哭了一场 感觉像二次分手 但神奇的是后来再也没有为那段感情掉过眼泪 后来看到前任再谈虽然心痛的很 ​​​ ...展开
这个是真给我看饿了我的妈 太有感觉了 真的很欲 ​​​
真的帅死我了 第一次对乙男有感觉还是因为王者 ​​​
四年了 离你很近的一次 我们后会有期 ​​​
不在意人家的思想 人家的情感 人家的喜好 只在意的贞洁 你需要的只是一个干净的洞 你这种人也确实不配得到爱情 你的思想从来没有要把伴侣当做一个有血有肉的人去尊重去爱吧 你在意的只是女人身上的一个组织 而你在意这个组织的完整性将你的自私阴暗自卑暴露无遗 你只配和水管子一起过你懂吗 你每天只配 ​​​ ...展开
还好意思问人家是不是白纸 你tm以为谁都跟你一样饥渴压抑呢 真痒了拿钢丝球涮一涮好吧 ​​​
如果世界上只剩这种男人了 那我以后就一个人过好吧说自己复旦中山医院研0 有个屁用 连最基本的社交都不会 刚聊就问人家有没有谈过男朋友 完了竟然问有没有上过🛏 卧槽了活该你单身23年啊 连尊重女生都不知道 完了开始说自己家有A8资产 你是真求偶贴刷多了 真以为都是想找A几A几的🐔啊自卑阴暗? ​​​ ...展开
