//@维司塔:男方骚扰女方被起诉后，捏造事实说女方拜金、勾引（泼的脏水都太典了），并对南周记者说女方“诬告”，可惜这些在外国都不好使。男宝在本地太受庇护了，还是多担心自己在文明地界和新时代按老习惯过日子哪天被抓了吧。
//@洞姐donuts://@萝贝贝:留证据留录音及时投诉，出发点是杜绝更多伤害、保护更多女性，一次性骚扰投诉怎么会被污名化成这样
//@维司塔://@azzo驾到统统跪下:五仓农牧  李健超//@鞋带总开的蓝色: 查看图片 //@想发财的炎虎:先前那个胖猫影响那么大，为什么没几个人注意到这个女孩？
//@陀螺的ToroScope:今年是反法西斯胜利80周年，现场所有人都有损国格//@猪铁阿蹄:💖一句话把我们顺直男全哄好了
//@在也门钓鲑鱼:想要这样轻盈//@酒精胶囊:我要这样平衡生活
听完这一期的凌晨，会成为我今天的高光时刻
//@莫敢:采访仰仗他人的慈悲。感谢周一忱慷慨分享给我他与奶奶的故事。当他允许我写出奶奶的名字时，我感觉这个故事份量变得更重了。奶奶不再是个称谓，而是一个真实可感的人。
//@秦祎墨:不管是刑法的强奸罪还是意见里面的补充说明（新闻前面强调的），针对明知幼女的情况下都是从重处罚，这个两年，各位真的看完没冷笑出声吗？刑法强奸罪起步三年顶格死刑，幼女被侵害，从重从出个两年？
//@洞姐donuts:5️⃣//@洞姐donuts:4️⃣//@十两欢:三年了//@十两欢:两年//@十两欢:一年
Repost
Repost
//@手指与白栅栏://@刀卜卜://@杏仁核重新连接:那就是默认这个社会遵循一个性别有权使用暴力而另一个性别永恒成为暴力的容器的暴力逻辑。把社会恐怖事件归因为婚姻纠纷的溢出是这样，怕男的成为不稳定因素而劝女的快跟他们结婚也是这样。
//@尉迟燕窝://@有那么点小野心:我的视频已经被限流，我现在在蒙古宗哈拉，非常需要一位翻译帮忙，可以帮我转发让更多人看见吗？
//@陀螺的ToroScope://@水母:The test of a first-rate intelligence is the ability to hold two opposing ideas in mind at the same time and still retain the ability to function.
//@陀螺的ToroScope:仿佛是可以忽略的附带伤害//@微路:十年前轰动一时的学界丑闻，与几乎全员合谋似的包庇，就是曾经女性失权到何等地步的写照。近年稍有起色，仍远远不够。//@纳兰朗月月月月: 他当选考古学会委员时，我问老师其他委员一点不在乎他骚扰侵犯学生吗？ 老师沉默一会说：他们不在乎。
在生日这天终于毫无负担地认识到：我讨厌男人。 ​​​
分享图片 ​​​
之前缴蕊老师也在播客中提到尤其在法国文化中，言语上对女性的“玩笑”很常见，甚至是表现礼貌的方式。
Happy birthday to the best of you
分享图片 ​​​
