我就这样一直躺到showgirl发行急急急 ​​​
翻小箱儿看到了一年前这条留言 虽然我可以重新编辑回答 但ta应该不会看到了 只是过了一年我有了更多的想法也更愿意去讨论这个话题 在心里默默祝愿这位uu🧡 p3是23年的929 p4是24年的929 时间过得真快呀 25年的929我将蜷缩在被窝里听着窗外淅淅沥沥的雨声 任由思绪飘散 也终于可以在这个9月告诉自己  ​​​ ...展开
我永远爱
打个球大家都在感慨世界真小  4个人中2个自动化姐1个法学姐1个自动化转法学姐3个老乡3个以后留在北京1个高中同学兼室友1个经常一起唱歌的霉亲朋友 相遇就是一道经典的集合与元素应用题之后和星莞来打雷专场坐了一会儿 特别神圣的现场氛围呜呜呜呜 大四老油条感觉又变年轻了 学校的月饼礼盒 ​​​ ...展开
加上预备铃一节课的时间 好！
浅浅回忆一下我的夏令营之旅：15投7入（3线下） 2参营🍓7月初一边准备最后一场期末一边准备参营，北航14系第一年开夏令营就爆火，审核老师凌晨4点在群里感慨夸张的投递量，无考核的交流营活动安排却相当丰富，入营的同学们真的是全方位的实力强悍，听校友报告也是亲眼见到了巨佬侃侃而谈的风范。北航 ​​​ ...展开
糯米猫已经从校园里失踪2个月了呜呜但是没有领养记录希望她没事
图图猫被领养了性格稳定的可爱图图一定要被好好地照顾
And the years passed like scenes of a show. ​​​
天呐…rip
小女在10天之内拖着生理期+感冒的身体辗转四地 经历六场面试 收获六个offer 最终被梦校收留 顺便候补成功了回家的车票…can this be real?🥹 ​​​
昨天中午面完大工感觉老师对我不怎么感兴趣 回到高铁站想到这一周的奔波和面试连环大撞车每一次艰难的决策都迟迟没有回应 缩在椅子上紧张得浑身发抖 真的没招了脑子里冒出Hamilton的歌词And I pray. That never used to happen before... 后来的12个小时中 已经面完的5个学校4个陆续出了结果 yes每一个 ​​​ ...展开
太长时间没吃饭后稍微吃点东西肠胃就开始间歇性痉挛作痛 忙碌的日子碰上长久不遇的感冒和生理期 已经虚到刷个牙都要蹲下了 真真切切体会到按时吃饭好好睡觉的重要性 以后再也不敢仗着自己年轻力壮熬夜糟蹋身体了呜呜呜 ​​​
预推免结束我要去医院体检 ​​​
座位号是130耶 我终于有柜子了！ ​​​
我列表有一位自学跨考上岸清华的霉粉姐姐 之前我经常刷到她broken的微信状态 总是给我一种很纠结的感觉 我猜她可能不愿被打扰也就很少互动 后来我成为了她视频号的最初观众之一 看到了她在抑郁症的阴云下拼命考研的经历 好勇敢啊瑞思拜 我觉得她是一个不会只把热爱和梦想挂在嘴边说说的人 去往每个人生 ​​​ ...展开
必须是S.P.E.W! 不敢相信我们赫敏的人物高光影版居然全部抹去了呵呵 神秘事物司也很期待魁地奇世界杯感觉影版已经够详略得当了（原著极尽描述这场盛会的空前规模 全世界近10w巫师参与 小时候看书确实觉得不可思议 不过现在参考一下时代巡演澳洲那几站和慕尼黑人山站也很直观了 
好猫乖猫大e猫😺 ​​​
你林工院的老师们除了ljh真的是全员P人 而且是我见过最P的人的集合… ​​​
最爱当然是波妞的海 壮阔又不失温婉 每一滴海水都祝福我们的女孩 还有琪琪的海和悦耳动听的临海小镇&amp;四季更迭 千寻的海也很美 浅浅的 列车驶过激荡出心中的勇气和爱意
this is me crying…//@恋霉:我又想哭了😭//@ItsMadeForMe:😭//@桑荞Song://@bodeu_:我遭不住了//@hoax-love:我的天哪//@一大盆葡萄:我的天//@thelifeINanewHELL_:妈妈你一定不要不管我了啊//@TheLifeOfChristin_13:// ...展开
其实选择爱 而不是寻求“被爱感” 就会发现仅仅只是能够爱着对方 就已经圆满了 虽然我也没有恋爱经验 但我觉得似乎就是这样 就像Les Misérables最后的那句唱的一样: And remember the truth that once was spoken---to love another person is to see the face of God. ​​​
天要下雨 娘要嫁人#北京下雨#  ​​​
开心🥹 ​​​
一出门就和霉粉姐妹抱在了一起 然后开始神同步感慨 她说昨晚差点就要冲进寝室把我摇醒了xs ​​​
以后或许我的朋友们步入婚姻时我又会是什么感觉呢 ​​​
其实我对霉霉姐没有什么心理占有欲 只是特别依赖我们之间建立的情感依赖这根invisible string 一时的百感交集触动到了它而已 但只要霉霉姐还在她热爱的领域闪闪发光 还在对外输送能量 这条隐形线就永远不会消失 感到安心 祝福 我的女孩和女王
睡了个回笼觉感觉平静了许多 为霉霉姐感到幸福 ​​​
My friends from home don't know what to say ​​​
完完全全是的：
分享图片 ​​​
芭酒era的维密现场开始知晓此女 彼时我是一个没有感情的听歌机器 忠爱丝带和小三歌的经典口味 趁着名誉和Lover的之间的空档期以a=gsinα-μgcosα的加速度平滑入坑 开始关注此女动态 无奈高中三年追星压抑 此女顺利转型三封年专 但我毕业了还不会唱几首民永姐妹花 真正开始认认真真与霉女士通行还是上 ...展开
在家不是被认成高中生就是初中生…即将回学校当我的待毕业大四老油条 ​​​
Sadie能不能重新长小然后去演剧版HP的金妮 ​​​
我霉推推 ​​​
本上年纪的老太太真的熬不到2am啊啊啊啊啊啊啊
もののけ姫最后两句太绝美了😭 本会0句日语の小姐姐一发呆脑子里就会自动播放 ​​​
原来是CC呀 看好这个妹妹 她今年要去北舞附中读书了今年YAGP final有好几个雷蒙达都特别美！
专辑名公布后就想到了芝加哥啊啊啊啊啊啊啊啊啊啊啊啊啊啊 我霉一定要把female rage the musical的命题给做起来
