赴山海
淇淇 ​​​
高考顺利，一切顺利！  ​​​
#心动来电#同担快来粉丝团心动充电站 助力，我已为成毅充电2点电量！电量TOP3能赢得超炫的痛楼应援，走过路过的家人们都来电一下~#520# ​​​
我在成毅超话抽到了SR卡“风雪夜归舟”，快来试试你的手气如何！网页链接 ​​​
他强任他强，清风扶山岗！ ​​​
嘿！我在#星品影响力#上邂逅了一个疯狂心动的星品，快来看看，说不定你的心动之选也在这里哦！星品影响力
帝舵表特别直播正在进行中，快来帝舵表直播间围观，与品牌代言人成毅面对面，抽送帝舵表精美周边纪念品，开启敢为新一年！TUDOR帝舵的微博直播 ​​​
帝舵表特别直播正在进行中，快来帝舵表直播间围观，与品牌代言人成毅面对面，抽送帝舵表精美周边纪念品，开启敢为新一年！TUDOR帝舵的微博直播 ​​​
电视剧赴山海超话 #电视剧有翡# #电视剧推荐# #电视剧东宫# #电视剧灵域#
我推荐@成毅 为2024#微博年度星光人物#，Ta的美好永远闪亮，成为独一无二的耀眼光芒！你心中的微博年度星光人物是谁呢？戳&gt;&gt;微博年度星光人物推荐中一起参与推荐，加入粉丝战队解锁成就席位，还有机会赢取门票亲临#微博之夜# 现场哦~ ​​​
我推荐@成毅 为2024#微博年度星光人物#，Ta的美好永远闪亮，成为独一无二的耀眼光芒！你心中的微博年度星光人物是谁呢？戳&gt;&gt;微博年度星光人物推荐中一起参与推荐，加入粉丝战队解锁成就席位，还有机会赢取门票亲临#微博之夜# 现场哦~ ​​​
成毅的vlog
我推荐@成毅 为2024#微博年度星光人物#，希望TA继续站在热爱的世界里闪闪发光！一起来#微博之夜#推荐你喜爱的TA，加入粉丝战队，抢占成就席位，还有机会赢取盛典门票亲临现场哦！戳&gt;&gt; ​​​
我推荐@成毅 为2024#微博年度星光人物#，希望TA继续站在热爱的世界里闪闪发光！一起来#微博之夜#推荐你喜爱的TA，加入粉丝战队，抢占成就席位，还有机会赢取盛典门票亲临现场哦！戳&gt;&gt; ​​​
尊嘟需要你！家人们请速戳下方↓为我赠卡，本轮集卡数TOP30必得#微博之夜# 门票，快来助我登榜直通现场，为我们共同喜爱的Ta呐喊！#集卡去微博之夜现场#   ​​​
恭喜成毅超话成为年度星动超话！每一次心动，都是热爱的火花！快戳网页链接一起定格璀璨瞬间#超话大赏##年度十大星动超话# ​​​
我获得了#微博之夜#「之」等2张卡敲黑板划重点——每轮集卡数TOP30必得盛典门票，期待能亲临现场见到我喜爱的TA！一起参与吧！#集卡去微博之夜现场#  ​​​
成毅超话风里雨里，我在【奇毅果战队】等你！家人们速戳&gt;&gt;奇毅果战队 加入战队，一起并肩作战，解锁#微博之夜成就中心# 成就席位，还有机会赢得门票直通#微博之夜# 盛典现场 ​​​
成毅超话我已成为【奇毅果战队】的一员！一起助力@成毅 赢得#微博之夜# 年度荣耀~在#微博之夜成就中心# 中解锁战队成就席位，就有机会和小伙伴们一起前往微博之夜盛典现场各位uu们快来加入！ ​​​
我推荐@成毅 为2024#微博年度星光人物#，追逐心中热爱的Ta赤诚热烈，实至名归！来#微博之夜# 推荐你心中的耀眼的Ta，加入粉丝战队一起解锁成就席位，更有盛典门票等你赢！戳&gt;&gt; ​​​
尊嘟需要你！家人们请速戳下方↓为我赠卡，本轮集卡数TOP30必得#微博之夜# 门票，快来助我登榜直通现场，为我们共同喜爱的Ta呐喊！#集卡去微博之夜现场#   ​​​
我获得了#微博之夜#「之」卡，在集卡这件事情上咱是有点儿天赋的！本轮集卡数TOP30必得盛典门票，冲一冲就能亲临现场为我喜爱的TA呐喊，快来参与！#集卡去微博之夜现场#  ​​​
#狐妖小红娘王权篇#我在微博已经成功预约@电视剧狐妖小红娘王权篇 ，你也来一起点亮预约吧！  ​​​
