大喊一声妈
半夜又刷到养小鸟笔记，姐姐想你，我的宝贝 ​​​
他妈的好不容易路上喝多了回来一半清醒一半晕我爷爷突然说想装修 哈哈哈哈哈 ​​​
两年没怎么关注欧美圈，卡姐已经第四胎怀孕中了，时间真可怕 ​​​
//@推拿熊:最右的图片里那段话我看过好多次//@pretty_luckyRan://@柑橘调乌云_:爱自己，不应有恨//@榕仔-Lion:爱自己，不应有恨。 查看图片
想老全
明明微博名就是乃文宝贝
不想上班 ​​​
喝了咖啡没法吃布洛芬，太无助 ​​​
不想上班 ​​​
我要把朋友圈去旅游的都屏蔽，不是，你们哪儿来那么多假？？？ ​​​
好想你啊老全
一听张悬就想哭 这是揍骂啊 ​​​
这辈子没有命坐底盘特别低的车了，一钻车就碰头 ​​​
我又想起来她最开始做的腮红，盖子也是特意做成便捷可旋转的那种
想你了 珊
想老全
心情好的时候每首歌都是情歌 Sleep Away ​​​
嘿
太讨厌跟真暧昧男女打混双了，仿佛被绑架进了别人的被窝正在观察别人上上下下 ​​​
为什么换了新拍以后完全不会发力了 ​​​
我真的太讨厌排版了 ​​​
要不就是怀孕 哈哈
好的
生日快乐🎂🐈‍⬛👓🎮 ​​​
 亲爱的 我不是一个善于表达的人 我会嘴上说着没关系 回家之后因为打球打太差了默默流泪 ​​​
我精神也是快不正常了，全平台看美女明星然后大喊妈妈➕流眼泪，无所谓，我只是一个需要爱的普通小女孩 ​​​
我的老天 北京到底有谁在啊？这个天你真的能玩儿好吗 ​​​
秀姐跟妮也太好磕了秀姐跟妮在一起的每分每秒都速速变成老公姐 打啵J就是最好磕的 ​​​
想老全 ​​​
期待期待啊啊啊啊
听歌的喜欢列表就像我本人一样分裂，上一秒：我只好夜夜哼情歌～ 下一秒：Nobody pray for me ！！ ​​​
每次加班到深夜（不算今天），身边只剩下隔壁工位的前端后端程序员大哥们了 ​​​
//@陀螺的ToroScope:嗯嗯兄弟是这样的//@麦卡PU10P:女骑手的另一个隐形门槛，就是大量这样的工作群。不在里面就无法交流行业信息，也无法寻求同行帮助，跑单难度增加；在里面就得整天看这些玩意儿//@赵姥姥曰:阳刚量超标时的#职场那些事儿# //@顽强的打工入:这几天也是加班的比较晚，所以一直都没有跑 ...展开
其实到了今天，看到姗身边的家人朋友的动态讯息，她们在任何公开非公开场合，隐晦又真诚地表达着她们对姗的思念的时候，还是忍不住总有要流眼泪的冲动，我们都在平凡日子里适应接受着你已经离开的事实，哎 ​​​
到底是什么人可以理直气壮不回复别人微信 ​​​
亲爱的你现在真的是一双户外鞋了 ​​​
外面是下雨白噪音，家里是孙燕姿的我的爱，窝在凉席上酝酿感人的眼泪 ​​​
亲爱的酒吧老板，我不想吃烤土豆，我也不想吃什么烤串，我只想让你给我来一碗热腾腾的西红柿鸡蛋面 ​​​
基因真是可怕的东西，戴上墨镜以后简直我爷爷的翻版，叫一声老高都不为过啊 ​​​
现在再看老全的视频感觉距离我好远好远好远 老全什么时候退伍 ​​​
陈绮贞，光是唱两句就能给人带来所有感情幻想的艺术家 ​​​
这么短吗。。。。。
不是。 怎么能这么忙？？？？？？？ ​​​
头晕心慌 不知道是因为阴天气压低闹的 还是因为明天又要上班了 ​​​
崩溃惹 想老全
Down Bad怎么才悟出来这首？ ​​​
哈哈哈哈哈哈哈哈哈
想老全
看个电视剧要被气死了 ​​​
//@曾大大大大王:林在首波釋出的概念視覺，頭頂著赤蛇纏繞的「美杜莎慾望桂冠」搭配直擊人心的靈魂凝視，邀請大家加入這場「Pleasure」的探索之旅，「蛇」的形象代表慾望、誘惑與好奇心，透過雙眼堅定的凝視，蠢蠢「慾」動的蛇頭，彷彿要吞噬Jolin的靈魂之窗，整張視覺呼應著蛇象徵著危險卻又讓人忍不 ...展开
我妈年轻的时候真应该去学体育 没准现在已经是什刹海体校教练了 ​​​
亲爱的 每次看见你幸福着我就浑身刺挠 每次看见你加班见凌晨五点北京 出差双脚离地我就兴高采烈 ​​​
哈哈哈哈哈哈哈哈哈哈哈
沉默
真想杀了高德地图 连续两天定为出问题了 你们干嘛吃的 ​​​
有时候觉得抖上有的人也太土了五六年前的好歌现在才听啊 ​​​
笑死 今年也是
我想你！ ​​​
//@a土人:Emoji还是别乱用的好…其实不加那个表情不会显得这么没眼色。//@雪霏Sophia://@老八厂长:妈呀//@Tiger公子://@请问我到底起什么名字才能过:不懂在骄傲什么大环境那么难看是很开心的事情吗
夜深人静时刷到我们摇滚老全的视频才突然恍然大悟哥已经进去了 ​​​
岁数越大感情观越畸形 和家人朋友都讨论这事儿无一例外的对我感到诧异和不理解 但是尊重接受 关系和取向是太难的事情了 活着吧 ​​​
☕️ ​​​
抵制每一个在朋友圈过春天的人 ​​​
姐又创造奇迹美图了
最近爱上janden 了 亚裔高中生真的美晕我了 ​​​
过敏➕发烧➕大姨妈 现在已经管不过来了 哪个严重先治哪个 ​​​
过敏➕大姨妈第一天 生活真是祸不单行 ​​​
补药带走
我靠这套太牛了
怎么受苦的都是女性 苦吃多了能不起性别对立么？ ​​​
太可怕了
//@黄腿肠:好有画面感笑死我了……//@第1206個鳳梨罐頭:还是弄辆车吧，汪小菲是司机，张兰坐副驾，王大陆因为打不开车门和汪小菲吵起来，两人下了车互扇巴掌，张兰在旁边喊“打倒小岛子！”，然后王找了黑道过来报复，汪打不过跪地大哭，张兰当场断绝母子关系，喝了点酒有点上头的老舅闻声路过并用身体 ...展开
去你妈的现实 ​​​
饭也做了妈妈也叫了这个brand我能一直看一直看一直看一直看 美死我了美晕我了 ​​​
快手到底谁在看 看了五六个搞笑账号我一条视频也没看懂 ​​​
姐们 he only call me on the weekend 这没什么不对，万一她确实只有周末才有时间呢 ​​​
太可爱了啊啊啊啊啊
越是疲惫心慌的时候越想喝酒 ​​​
我真笑死了
你们有点自知之明吧
Whatchu Gonna...?
真的不能再熬了 ​​​
看了眼卡里余额 穷得笑出了声 ​​​
//@Boatofo_://@panc://@五七://@徒sophie://@HerzHan://@原来是西门大嫂:这些天每一个坚持发声的人都了不起！！！没有把舆论场让给疯子。请大家一起努力，呼吁平台不要继续纵容💪
难过是阵痛 好会儿坏会儿 ​​​
稳定很久的情绪被一场突如其来的 原本和我无关的离世被打破，除了在吃午饭（吃饭时不能忧伤）环节，剩下的时间总是零零散散会冒出来很多惋惜和焦虑的情绪，和我妈聊天，听我奶讲回老家轶事解闷，甚至冒着寒风去打了两个小时羽毛球。无解，情绪没过去就是无解，从场馆出来那一刹那呼吸满口冷空气的时候 ​​​ ...展开
