李现好帅好帅，歌声好温柔好听
李现好帅，唐嫣好美太好听了，二人对视好甜
#群星闪耀时# 我的评分：喜欢看，李现表演非常棒 ​​​
李现优秀，值得去游
值得观看，李现棒棒哒
优秀的李现帅气
好看
群星闪耀时好看，期待春色寄情人！
