…导员凶巴巴//@理应如此炫酷_LU:没那么好办
#许我耀眼# 我的评分：赵露思好漂亮 ​​​
轉發微博
轉發微博
轉發微博
#柳冈旻没出道#帅孩子没出道？？ ​​​
#男宝星球2决赛#周安信！ ​​​
sm你又缺钱了？
#台媒曝安以轩与三男友人泡夜店#那咋了？ ​​​
要哭了//@金知妍KimJiYeon:啊啊啊 等一下!!!!!!!!!😱//@吴宣仪_Betty:苞娜！看我微信信息！！！你登一下你的微信！
太美了
#吴世勋 第一个没有光头照就退伍的爱豆#欸什么时候入伍的 ​​​
//@一天脚滑八百次:上不认识奢侈品，下不认识农作物
看到“我知道父母是为我好”“我从来没有怀疑过长辈们对我的爱”这种没有偏向性的文字总是很生气，为什么你们总能原谅那么多人，为什么你们不再决绝一点，你们什么时候愿意补全自己的勇气，明明可以挣脱出来，为什么沉溺在时间和传统，环境的惯性里面，跳出来吧 ​​​
于朦胧超话 辟谣合集，停止造谣#网友呼吁警方发布于朦胧坠亡调查通报# 
谁来说说真的假的，那还挺团结的//@养胃冰茶:有时候我觉得skz的团魂已经到达了一种常人无法理解的恐怖地步。
#辛芷蕾梁婷和解#妈呀这功力……经纪人有这种表述能力 ​​​
让我抢到hk的票好不好 ​​​
于朦胧超话  来世一定会长命百岁好不好 ​​​
#网友呼吁警方发布于朦胧坠亡调查通报#希望得到一个详细的通报 ​​​
#zb1六团一#洁柔纸棒棒的 ​​​
不是，真的要让酒窝看到妈妈和这样的男人待在一起吗………
于朦胧超话  事情结束就让妈妈带你回新疆吧那里有爱你的人和你熟悉的一切，北京很好，下辈子不要再去了。 ​​​
于朦胧超话  你离开实在太突然我诧异到现在，这个世界为什么没有对你更好一些 ​​​
于朦胧超话  一打开就是你我真的眼泪止不住以前这些悲伤的bgm跟你有什么关系啊 ​​​
回复@丞里橙琦:首先你这是默认他被谋害了…..其次这个人已经被扒出来在带货//@丞里橙琦:回复@foreveryou_ng:证明自己是亲属？这不是自寻死路嘛会被资本找麻烦的
他走之前你们没有护住他，他走之后你们就这样默许谣言满天飞吗？？？
于朦胧超话 不要再阴谋论，不要传播不实的图片和截图。只是想让官方出来给一个详细解释@于朦胧工作室 ​​​
于朦胧超话  刚刚看到一个id说是因为时区不一样所以显示的时间要早一点。但是这条帖子有一点热度我不想删，不想让事情没有讨论。在法律上，当事人出事身边的朋友都要负责任的，希望工作室或者官方，和小🐟一起聚餐的朋友们可以出来给粉丝一个解释。讲清楚事情的经过，一个热爱生活和工作的人， ​​​ ...展开
于朦胧超话  不想看到任何造谣你和阴谋论的发言了，选择相信警方，愿你干干净净的离开。只希望妈妈赶快把你带回新疆，回到你热爱的故乡，不要留在北京了。作为路人粉以前总是抱怨你不爱营业，自拍发的也很少，现在觉得如果你活着什么都无所谓，哪怕你不拍戏不工作，只要你健康平安。我一直不信又什 ​​​ ...展开
于朦胧超话  晚安啊 ​​​
于朦胧超话  妈妈有带你回新疆吗你很想回家吧 ​​​
『明星微博书-为明星爱豆打call』网页链接 ​​​
谁来赔这一生好光景 ​​​
那个时候是高中还是初中，坐在电视机前看明月曾照江东寒
为什么你的结局是这样？掉下去的时候你是不是疼得很难受，那个时候你在想什么为什么没有人护住你？凭什么，我们所有人都知道你最温柔最善良，你走的甘心吗你那么热爱生活和工作，我不信你不会对自己负责，世界怎么可以这样对你 ​​​
为什么就这样离开…？？？ ​​​
你要活着好吗@于朦胧 ​​​
#于朦胧快出来辟谣#？？？？？？你不要有事你不要有事你不要有事啊我的天 ​​​
Repost
Repost
Repost
//@moralityless:就在找你这条，博主居然意识不到女生为什么紧张？？//@绝望的美人_:你自己也说了在你表达帅之前女生是很紧张的，在你表达善意之前对女生来说就是标准的男凝
Repost
//@乖咱不吃柠檬:“当一位女性握住麦克风，拥有不被打断的五分钟，她就很难只为自己发声。”
//@Sinsoledad赚大钱版:回复@赤茂霓都:我觉得不应该说猥亵活动，该说猥亵犯罪，不然还以为是啥合法的活动呢//@不严肃文学爱好者:按我说用词还是客气了，什么猥琐活动应该是流氓行为
女神
安宥真演我
#张元英柳智敏cha#两个女神 ​​​
//@纤纤小图:60岁面对视力问题还想学法餐去巴黎，这份勇气真的太打动人
不敢想住这里会多幸福☺️
大师级别……换其他人于正早骂s了
我的天//@黄星Eliot:有星星的秋天！//@邱鼎杰_kipuka:喜欢什么
我不行了//@邱鼎杰_kipuka:更亮的是✨//@黄星Eliot:超亮✨
卧槽//@黄星Eliot:对手是你的话，我可以败北🤔
#朴智旻宋多恩家中约会视频#阿噢 ​​​
上海到处是韩国人不开玩笑…
我不行了//@歧路远兮:是铭记于心//@芽芽甜甜圈:许你于晟来了
//@你好我正在想一个名字:我不行了 于正你的对手来了
//@源味奶盐糖:回复@Chase62790:可能是这个 查看图片 //@对不起酸甜是你爹:骗你就骗你了
//@桃桃子_323:怎么气温骤降//@月满思明:过得很好，为什么叫爱哭的大蒜……
是真的所有人都在喊wonyoung
别这样//@烧烤西米露:事实上只敢在厕所哭
你要天天开心
//@賣鈳蕬鮳馡珥徳:五千年的底蕴全体现在这儿了
//@我习惯没有你:从小吃到大
宝宝
#朱正廷发长文#这什么手机啊没认出来 ​​​
//@我不是诗人却鬼话连篇:cheapman
