难受难受难受。 ​​​
“健康的身体 丰富的生活 自由的精神世界”原来拥有一只小狗是这个感受：“它不会管你情绪好不好 只会拆了你的家 然后无辜地看着你 它没有一点边界感 想和你玩的时候就会强行要求你陪 这种野蛮的生机 反而会把我拉回真实的世界”“事情总是这样 一开始我们无拘无束 总在创新 后来有了成功的经验  ​​​ ...展开
吉光片羽 收集光芒
嗨呀 春天了能穿汉服了 可以cosplay了 ​​​
Yesterday I saw a lion kiss a deer ​​​
天气好了心情也好多了还有一些原因吧Anyway 戏腔美如画 好爱好爱好爱 ​​​
住的屋子如果能给自己强大的情绪价值 那就太美好了 全部都是自己喜欢的东西 ​​​
新的一天了呢 祝工作顺利 祝生活没有更坏的消息祝自我心情平和 和同事学会隐忍 祝看清眼前的一切 ​​​
的确是有点emo 都不用测试 身体告诉我 是在不开心了 ​​​
只留纯粹的初衷 不再有附带的一切做不到就不要了 承认自己的不胜任 ​​​
很多欢乐和幸福 都建立在一定基础上之前都太顺风顺水 没有曲折没有事故 像是在玻璃罩里 遇到的都是很好的事后来玻璃罩碎了 发现了社会的另一面体会了人性也有另一面 直面自己的无力和弱小 承认并非圣贤 自私和贪心 犹豫和纠结 缺点不一定是恶 也可能太过善良 不切实际 不带落地方案的理想主义 也 ​​​ ...展开
有时候觉得自己有大病 有时候觉得对方有大病 情绪稳定约等于不在意 或者完全降维包容和接受 情绪不稳定说明这还是我要修炼的课题 好反人性啊 ​​​
两点醒了 一直到现在 ​​​
过去塑造了我，但也禁锢了我，为什么无法知行合一，真的难 ​​​
没必要的拆分考核是真浪费时间 但真的是凡事都有两面性 kpi的合理设定是真的难 ​​​
1.最近有点疯但说服自己允许这个情绪存在2.被激素控制的一生自己心里跌宕起伏了一圈但表面平平无波3.想闯荡江湖快意恩仇四海为家但在透明玻璃罩子里明天还要上班 ​​​
要被这歌创疯了 ​​​
